iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,0.055188184,0.055188184,629,0.6002146890424573,0.6002146890424573,-0.06254787961418828,-0.0571298831548015,-0.057601407856760045,-13.723822789507484,-13.656525037922226,-13.704236302980126,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
1,3.838847696,3.89403588,629,0.6002146890424573,0.6002146890424573,-0.06254787961418828,-0.0571298831548015,-0.057601407856760045,-13.723822789507484,-13.656525037922226,-13.704236302980126,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
2,0.881326058,4.775361938,653,0.5997265252700212,0.5997265252700212,-0.0628746511213627,-0.057243902568866134,-0.057398410823717105,-13.723491985277587,-13.656875400349863,-13.70430874999397,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
3,0.085830432,4.8611923699999995,673,0.5975538396468512,0.5975538396468512,-0.06322953861015201,-0.058244136720565054,-0.05748796666812872,-13.718526871842487,-13.654036580507046,-13.700720753502555,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
4,0.174492318,5.035684688,721,0.597644001503244,0.597644001503244,-0.06563003308312332,-0.06124271333963849,-0.05943564986470151,-13.712751314937178,-13.650549830771784,-13.693042473411136,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
5,0.126959532,5.16264422,723,0.597644005099342,0.597644005099342,-0.06563001974646487,-0.06124270508614271,-0.05943562929393309,-13.712751314937178,-13.650549830771784,-13.693042473411136,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
6,0.232748624,5.395392844,725,0.5976476862359055,0.5976476862359055,-0.06562487344189893,-0.061236304671375086,-0.05942967727063664,-13.71275131317633,-13.65055226878141,-13.69304348749888,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
7,0.132278378,5.5276712219999995,726,0.5955253732273577,0.5955253732273577,-0.06633063901606606,-0.06150179698368996,-0.059077255318659816,-13.708917827126209,-13.648813967335187,-13.692517072268679,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
8,0.022960677,5.550631899,726,0.5955253732273577,0.5955253732273577,-0.06633063901606606,-0.06150179698368996,-0.059077255318659816,-13.708917827126209,-13.648813967335187,-13.692517072268679,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
9,0.096601552,5.647233451,729,0.5952279524256929,0.5952279524256929,-0.0664815029824447,-0.06157343131110127,-0.059148468089195716,-13.708642164741379,-13.648966043877236,-13.692495491800624,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
10,0.017585573,5.664819024,730,0.5950309481119679,0.5950309481119679,-0.06765212920994224,-0.06325201584131879,-0.060894426381401745,-13.706969937647004,-13.647064290625414,-13.689799276077869,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
11,0.016985591,5.681804615,731,0.5950576492060989,0.5950576492060989,-0.06764308880496084,-0.06324908881401847,-0.060828662709433656,-13.706959110316905,-13.646996710475563,-13.689979656492282,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
12,0.087836001,5.769640616,733,0.5950581879060697,0.5950581879060697,-0.0676432174489171,-0.06325049683796413,-0.060830365119677765,-13.706959103223356,-13.646994991271773,-13.689974209969488,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
13,0.008169649,5.777810265,733,0.5950581879060697,0.5950581879060697,-0.0676432174489171,-0.06325049683796413,-0.060830365119677765,-13.706959103223356,-13.646994991271773,-13.689974209969488,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
14,0.007944924,5.7857551890000005,736,0.5953032272831025,0.5953032272831025,-0.06796092919204233,-0.0637255701568159,-0.06109144322753213,-13.706752733332573,-13.646370468009753,-13.689824615575738,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
15,0.017684355,5.803439544000001,738,0.594016685239084,0.594016685239084,-0.06860473818101209,-0.06500821178258864,-0.06134443581673277,-13.70440149337449,-13.64321242172729,-13.689914608982713,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
16,0.126385943,5.9298254870000005,756,0.5930157975881575,0.5930157975881575,-0.0693443553658728,-0.06614076497499033,-0.06227434809233978,-13.703470334484477,-13.642944356426014,-13.689343409047817,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
17,0.114837787,6.044663274,758,0.5930157996431368,0.5930157996431368,-0.06934435519711302,-0.06614076356988874,-0.062274352054741966,-13.703470334484477,-13.642944356426014,-13.689343409047817,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
18,0.013583785,6.058247059,760,0.5930177333572006,0.5930177333572006,-0.06934150099636227,-0.06613771244496236,-0.062271365552212576,-13.703470335300338,-13.642943178764247,-13.689342932520914,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
19,0.008606148,6.066853207,763,0.5930176655608019,0.5930176655608019,-0.06937461553861546,-0.06600665527993055,-0.06223976216525229,-13.703397359143928,-13.64317192675855,-13.689638855532074,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
20,0.009740299,6.076593506,783,0.5927318629261902,0.5927318629261902,-0.07005926777919269,-0.06601092118601015,-0.0630287578162404,-13.701498553370618,-13.641735790378773,-13.688429738478032,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
21,0.013117755,6.089711261,785,0.5927318636815853,0.5927318636815853,-0.07005926153971198,-0.06601091224767497,-0.06302875093472826,-13.701498553370618,-13.641735790378773,-13.688429738478034,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
22,0.013302628,6.103013889,787,0.5927290194443803,0.5927290194443803,-0.07006423725788125,-0.0660169082883797,-0.06303449246594994,-13.701498551966184,-13.641732962700363,-13.688428932979848,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
23,0.00870429,6.1117181789999995,791,0.5925309208204895,0.5925309208204895,-0.06990540224668684,-0.06600898738840666,-0.06308588854683939,-13.701416477425672,-13.641162360388824,-13.68858961344546,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
24,0.016865509,6.128583687999999,819,0.5897892529916846,0.5897892529916846,-0.06933281008634973,-0.06629342483279244,-0.061533654655475334,-13.697790636791208,-13.63722498117404,-13.685194234318754,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
25,0.013323209,6.141906896999999,821,0.5897892468246599,0.5897892468246599,-0.06933282119868756,-0.06629343819896871,-0.06153366539400662,-13.697790636791208,-13.63722498117404,-13.685194234318754,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
26,0.013513473,6.155420369999999,823,0.5897903118675893,0.5897903118675893,-0.0693365556036708,-0.06629496819517677,-0.0615356852759138,-13.697790636046768,-13.63722027162493,-13.685189624412027,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
27,0.009703329,6.165123698999999,823,0.5897903118675893,0.5897903118675893,-0.0693365556036708,-0.06629496819517677,-0.0615356852759138,-13.697790636046768,-13.63722027162493,-13.685189624412027,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
28,0.009123268,6.174246966999998,826,0.5893806805515784,0.5893806805515784,-0.06877076011966776,-0.06455726955413044,-0.060945007319243905,-13.69565039020242,-13.632786064952528,-13.684081891159602,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
29,0.00976803,6.1840149969999985,842,0.5894704533733708,0.5894704533733708,-0.06886883181094461,-0.0643562473991025,-0.0607729772492035,-13.695380493435897,-13.633890346369824,-13.684350533290255,true,,0.5875200592519443,0.0,0.30508579187754603,0.0,0.0,0.0,0.0
