S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,P(Df) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,P(Df) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x,P(Df) test_x
0,0,4.752452514367178e-5,0.0,0.51610947,0,0,0.002482828451320529,0.9999992251396179,0.51610947,1,0,4.741533484775573e-5,0.0,0.51610947
0,1,0.7885454893112183,0.0,0.51610947,0,1,0.004943645093590021,0.0,0.51610947,0,1,0.09539423137903214,0.9999996423721313,0.51610947
0,1,0.9997662305831909,0.9999994039535522,0.51610947,0,0,0.0075117857195436954,0.9999999403953552,0.51610947,0,1,0.7410222291946411,0.9999993443489075,0.51610947
1,0,0.003548187669366598,0.0,0.51610947,1,0,0.0028042441699653864,0.0,0.51610947,0,1,0.9997357726097107,1.0,0.51610947
0,0,0.008515638299286366,0.0,0.51610947,0,0,0.9856076240539551,0.9999994039535522,0.51610947,0,1,0.9964889287948608,0.9999997019767761,0.51610947
0,0,0.5750923156738281,1.0,0.51610947,1,0,0.0006610033451579511,0.0,0.51610947,0,1,0.9968957304954529,0.9999996423721313,0.51610947
0,1,0.6246975064277649,0.0,0.51610947,0,0,0.012255960144102573,0.9999992251396179,0.51610947,0,1,0.9985551834106445,1.0,0.51610947
1,0,0.0013202548725530505,0.0,0.51610947,0,0,0.0009983290219679475,0.0,0.51610947,0,1,0.13244405388832092,0.0,0.51610947
1,0,0.06560365110635757,0.999999463558197,0.51610947,1,0,4.904831439489499e-5,0.0,0.51610947,1,0,9.870731446426362e-5,0.0,0.51610947
0,1,0.7054677605628967,0.9999994039535522,0.51610947,0,0,0.04909776523709297,0.9999991059303284,0.51610947,0,1,0.8378931283950806,1.0,0.51610947
0,0,0.9988008737564087,0.999999463558197,0.51610947,1,0,1.7918959201779217e-5,0.0,0.51610947,0,0,0.046186864376068115,0.0,0.51610947
1,0,0.0004325303016230464,0.0,0.51610947,1,1,0.995273232460022,0.9999995231628418,0.51610947,0,1,0.0008172919042408466,0.0,0.51610947
0,0,0.1745186150074005,0.9999995827674866,0.51610947,0,1,0.9994602203369141,1.0,0.51610947,0,1,0.9892708659172058,0.9999998211860657,0.51610947
0,1,0.9999741315841675,1.0,0.51610947,0,0,0.01417440827935934,0.0,0.51610947,1,0,0.00869145616889,0.0,0.51610947
0,0,0.00473748380318284,0.0,0.51610947,0,1,0.9981114864349365,1.0,0.51610947,0,1,0.9976432919502258,1.0,0.51610947
1,1,0.9994592666625977,1.0,0.51610947,0,1,0.9993077516555786,0.9999995231628418,0.51610947,1,0,0.0020700423046946526,0.0,0.51610947
0,1,0.03776077181100845,0.9999995231628418,0.51610947,0,1,0.996534526348114,0.9999999403953552,0.51610947,0,0,0.009230864234268665,0.9999997019767761,0.51610947
0,1,0.9122285842895508,1.0,0.51610947,1,0,4.36145746789407e-5,0.0,0.51610947,1,0,0.0002686320513021201,0.0,0.51610947
1,1,0.9920560121536255,1.0,0.51610947,1,1,0.9904782176017761,0.9999994039535522,0.51610947,0,0,0.9512019157409668,1.0,0.51610947
0,1,0.9992429614067078,1.0,0.51610947,0,1,0.000242028952925466,0.0,0.51610947,1,1,0.9857975244522095,1.0,0.51610947
0,0,0.010996664874255657,0.0,0.51610947,0,0,0.0812297910451889,0.0,0.51610947,0,1,0.8898119926452637,0.9999997615814209,0.51610947
1,1,0.9932364821434021,0.0,0.51610947,0,0,0.00015760769019834697,0.0,0.51610947,0,0,0.9909884333610535,1.0,0.51610947
0,0,0.32355424761772156,1.0,0.51610947,0,0,0.004545170348137617,0.9999993443489075,0.51610947,1,0,0.005039664451032877,0.0,0.51610947
1,1,0.9997576475143433,0.9999995231628418,0.51610947,0,1,0.6525965929031372,0.9999993443489075,0.51610947,1,0,0.00330230756662786,0.0,0.51610947
0,1,0.9875882267951965,1.0,0.51610947,1,1,0.9915915727615356,1.0,0.51610947,0,1,0.9416077733039856,0.0,0.51610947
0,0,0.9317415356636047,1.0,0.51610947,0,1,0.9998234510421753,0.9999997019767761,0.51610947,1,1,0.8511456251144409,0.9999999403953552,0.51610947
0,0,0.8701068162918091,0.9999995231628418,0.51610947,1,1,0.9994335770606995,0.9999995231628418,0.51610947,0,1,0.9909780621528625,0.9999999403953552,0.51610947
0,0,0.016474181786179543,0.0,0.51610947,0,0,0.003402821719646454,0.0,0.51610947,0,1,0.9997405409812927,1.0,0.51610947
0,1,0.8776515126228333,1.0,0.51610947,1,0,0.0003670742444228381,0.0,0.51610947,1,0,0.010946450755000114,0.0,0.51610947
0,0,0.8868595361709595,1.0,0.51610947,1,1,0.9865443110466003,0.0,0.51610947,0,0,0.021619968116283417,0.9999994039535522,0.51610947
0,1,0.0006015904946252704,0.0,0.51610947,0,1,0.0023966969456523657,0.0,0.51610947,0,1,0.9968196749687195,0.9999996423721313,0.51610947
0,1,0.6680189967155457,1.0,0.51610947,0,0,0.1100703626871109,1.0,0.51610947,0,1,0.9561687111854553,1.0,0.51610947
1,0,0.00019953407172579318,0.0,0.51610947,0,1,0.9978697299957275,0.9999997019767761,0.51610947,1,0,0.0055439588613808155,0.0,0.51610947
1,1,0.18298763036727905,0.0,0.51610947,1,0,0.02561584673821926,0.0,0.51610947,1,0,0.0020037952344864607,0.0,0.51610947
0,1,0.9476462602615356,1.0,0.51610947,0,1,0.992683470249176,0.0,0.51610947,0,1,0.9504945874214172,0.9999998807907104,0.51610947
0,1,0.9960613250732422,0.9999998807907104,0.51610947,1,1,0.9977012872695923,0.9999997615814209,0.51610947,0,1,0.9994040131568909,1.0,0.51610947
0,0,0.001167074777185917,1.0,0.51610947,0,0,0.0005922456039115787,0.0,0.51610947,0,0,0.0024773909244686365,0.0,0.51610947
1,0,0.0020791233982890844,0.0,0.51610947,1,1,0.9972466230392456,1.0,0.51610947,1,1,0.9438104033470154,0.0,0.51610947
0,1,0.9999006986618042,1.0,0.51610947,1,1,0.990564227104187,1.0,0.51610947,0,0,0.09235377609729767,0.0,0.51610947
0,1,0.24758271872997284,0.9999992251396179,0.51610947,0,1,0.9987180233001709,0.9999995231628418,0.51610947,1,0,0.010682398453354836,0.0,0.51610947
0,1,0.99803626537323,1.0,0.51610947,0,1,0.9990809559822083,0.9999997019767761,0.51610947,1,1,0.9994983673095703,0.9999996423721313,0.51610947
1,0,0.02164546772837639,0.0,0.51610947,0,1,0.999815821647644,1.0,0.51610947,1,1,0.9851894378662109,1.0,0.51610947
0,0,0.00045176531421020627,0.0,0.51610947,0,1,0.472695916891098,1.0,0.51610947,0,1,0.7696825861930847,0.9999998807907104,0.51610947
0,0,0.019082557410001755,0.0,0.51610947,1,1,0.9980990886688232,0.9999999403953552,0.51610947,1,1,0.9954707026481628,1.0,0.51610947
0,1,0.8965223431587219,0.9999997019767761,0.51610947,0,0,0.001158659695647657,0.0,0.51610947,1,0,0.0003187292895745486,0.0,0.51610947
0,1,0.9997453093528748,1.0,0.51610947,0,1,0.9996060729026794,1.0,0.51610947,1,1,0.9965003132820129,1.0,0.51610947
0,0,0.0025357850827276707,0.0,0.51610947,0,1,0.9992591738700867,0.9999998807907104,0.51610947,0,0,0.006133086979389191,0.9999993443489075,0.51610947
0,0,0.0018830737099051476,0.0,0.51610947,0,0,0.11882878094911575,0.9999998807907104,0.51610947,0,0,0.00041181506821885705,0.0,0.51610947
