,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,41238.0,39442.0,35605.0,25375.0,26639.0,43273.0,19209.0,10220.0,11242.0,37641.0
1,25028.0,34090.0,23254.0,3759.0,34319.0,38982.0,15593.0,39010.0,23789.0,39977.0
2,20443.0,37491.0,33402.0,10647.0,17700.0,24159.0,7397.0,16948.0,10774.0,22645.0
3,33841.0,18867.0,13432.0,21656.0,11329.0,47327.0,21896.0,17617.0,32420.0,39097.0
4,34697.0,42561.0,28445.0,32440.0,6387.0,20229.0,10910.0,26591.0,30169.0,36472.0
5,11466.0,42214.0,21544.0,32566.0,41173.0,37472.0,35457.0,15083.0,24214.0,7688.0
6,6868.0,27468.0,25757.0,27414.0,25741.0,27442.0,26787.0,10197.0,43536.0,44860.0
7,32353.0,6373.0,3083.0,24254.0,42531.0,22368.0,41999.0,27371.0,7092.0,39184.0
8,41283.0,22948.0,15478.0,550.0,38355.0,28252.0,29704.0,21999.0,16393.0,137.0
9,9389.0,5455.0,36347.0,27405.0,24637.0,37652.0,21822.0,47252.0,3597.0,39056.0
10,26340.0,12782.0,21752.0,22607.0,25898.0,10026.0,14466.0,10002.0,12446.0,36871.0
11,28350.0,26344.0,8290.0,27305.0,22932.0,33162.0,12289.0,37789.0,30254.0,31566.0
12,42537.0,41468.0,11644.0,32780.0,13649.0,1308.0,21179.0,30778.0,18067.0,22022.0
13,21829.0,40946.0,13336.0,27543.0,45226.0,42609.0,14702.0,7950.0,21136.0,422.0
14,1098.0,18331.0,32958.0,10277.0,34842.0,14115.0,15021.0,9500.0,45575.0,36210.0
15,12389.0,2307.0,31408.0,32817.0,11152.0,10345.0,46769.0,4386.0,13178.0,40416.0
16,13179.0,8399.0,11805.0,18995.0,40286.0,13815.0,33371.0,14898.0,19490.0,30976.0
17,6863.0,34554.0,2549.0,41512.0,32471.0,16444.0,45167.0,25824.0,46324.0,6342.0
18,31938.0,10550.0,302.0,10876.0,25776.0,7793.0,24064.0,20857.0,8793.0,1247.0
19,3408.0,14217.0,9638.0,30881.0,43275.0,17032.0,21075.0,28486.0,44839.0,45924.0
20,36077.0,42364.0,39334.0,38630.0,38624.0,19542.0,14590.0,35458.0,13242.0,1548.0
21,44068.0,41407.0,32720.0,46894.0,27049.0,26375.0,32763.0,8871.0,6969.0,23475.0
22,40783.0,33003.0,40083.0,43273.0,20750.0,22300.0,21176.0,2635.0,28126.0,1064.0
23,29505.0,41240.0,40222.0,5871.0,26041.0,16963.0,19070.0,13307.0,14416.0,21963.0
24,45231.0,13570.0,34415.0,45084.0,14516.0,47302.0,14311.0,28916.0,26956.0,19389.0
25,27820.0,23774.0,34177.0,20021.0,3551.0,46484.0,12540.0,43899.0,18870.0,21292.0
26,44837.0,34580.0,32353.0,1174.0,36998.0,31762.0,26023.0,29993.0,27370.0,16905.0
27,1484.0,12479.0,22302.0,30417.0,16597.0,18534.0,37832.0,10250.0,27204.0,20790.0
28,13878.0,7466.0,15394.0,22376.0,3654.0,42262.0,3553.0,17699.0,24284.0,2275.0
29,30986.0,31993.0,32910.0,28252.0,22516.0,45242.0,11820.0,24595.0,37442.0,13561.0
30,31280.0,39398.0,32717.0,30287.0,22518.0,19887.0,45155.0,2915.0,39568.0,9302.0
31,20865.0,18569.0,5407.0,28588.0,45633.0,31991.0,36933.0,4011.0,14249.0,21171.0
32,29764.0,12229.0,36998.0,38689.0,31148.0,33365.0,24774.0,10096.0,44790.0,5138.0
33,27158.0,34515.0,820.0,12587.0,9214.0,17873.0,17121.0,14097.0,22915.0,2624.0
34,36086.0,34819.0,6969.0,4119.0,12371.0,28585.0,20875.0,32815.0,16334.0,26618.0
35,31475.0,17839.0,17050.0,14100.0,13289.0,29264.0,13267.0,2845.0,23079.0,5889.0
36,45651.0,31529.0,26937.0,5239.0,35100.0,14540.0,19501.0,30896.0,34335.0,11330.0
37,1009.0,13199.0,28108.0,13342.0,27855.0,19383.0,32624.0,33381.0,10738.0,10842.0
38,38215.0,14819.0,40413.0,30738.0,28652.0,31477.0,36924.0,12316.0,12034.0,26967.0
39,6602.0,11042.0,2519.0,13957.0,21100.0,29930.0,38047.0,8973.0,31153.0,18871.0
40,43435.0,45627.0,18726.0,9210.0,7708.0,41889.0,13772.0,36013.0,27529.0,43861.0
41,26783.0,21252.0,25964.0,14314.0,26928.0,46786.0,47551.0,37759.0,41334.0,404.0
42,47322.0,27048.0,40616.0,26557.0,17401.0,47252.0,12910.0,44670.0,7712.0,13638.0
43,33319.0,30774.0,34097.0,34843.0,11197.0,39450.0,17618.0,43174.0,41731.0,30031.0
44,35047.0,46838.0,23635.0,20952.0,4891.0,19825.0,30924.0,14487.0,16273.0,19699.0
45,15947.0,35216.0,34762.0,31014.0,13839.0,24323.0,8272.0,32153.0,23935.0,23691.0
46,24323.0,22397.0,17589.0,45335.0,37339.0,20872.0,46383.0,42302.0,17700.0,4833.0
47,7793.0,24193.0,39443.0,12448.0,36938.0,35953.0,34660.0,34238.0,13903.0,19903.0
48,1224.0,42190.0,26495.0,30338.0,2594.0,10223.0,13345.0,32116.0,21680.0,13920.0
49,6543.0,1114.0,15083.0,22470.0,20647.0,11883.0,14934.0,32566.0,5140.0,13186.0
50,46404.0,9536.0,16002.0,1418.0,34750.0,1548.0,24573.0,44801.0,11861.0,30881.0
51,45827.0,12345.0,6843.0,15803.0,13461.0,20394.0,38383.0,45557.0,24244.0,31632.0
52,34843.0,27845.0,38606.0,2468.0,5155.0,2961.0,27544.0,41034.0,11097.0,13259.0
53,2008.0,33928.0,11590.0,18344.0,14167.0,3454.0,17746.0,26354.0,28851.0,37386.0
54,31281.0,17550.0,19174.0,19276.0,21493.0,32115.0,1462.0,19959.0,10783.0,33613.0
55,24700.0,2341.0,19528.0,41645.0,13021.0,32276.0,9535.0,45880.0,14521.0,5317.0
56,21675.0,38732.0,16442.0,40054.0,32823.0,25516.0,27708.0,10263.0,9874.0,7554.0
57,16933.0,45805.0,23636.0,3437.0,18429.0,33817.0,26281.0,41395.0,25324.0,32716.0
58,29565.0,32883.0,43541.0,33336.0,27048.0,7158.0,41925.0,30800.0,38873.0,46086.0
59,33363.0,11790.0,43616.0,15915.0,27014.0,30450.0,34810.0,19456.0,10800.0,10337.0
60,25780.0,41253.0,41912.0,12489.0,31137.0,12404.0,22930.0,25558.0,14593.0,42371.0
61,6316.0,1866.0,30975.0,15930.0,12464.0,24616.0,29756.0,13183.0,36810.0,32887.0
62,32154.0,23791.0,22938.0,42000.0,25916.0,41205.0,13087.0,46700.0,30974.0,33141.0
63,13368.0,9202.0,44274.0,42628.0,15781.0,38540.0,33699.0,14796.0,38721.0,8757.0
64,28877.0,41073.0,22854.0,6169.0,35925.0,4640.0,12668.0,34907.0,2463.0,42263.0
65,35863.0,13639.0,15515.0,32666.0,39072.0,45963.0,39980.0,29066.0,13724.0,34619.0
66,4974.0,7080.0,18595.0,2627.0,24618.0,43131.0,23754.0,32632.0,21906.0,9722.0
67,11453.0,12571.0,1371.0,16592.0,35601.0,32805.0,14190.0,14484.0,8611.0,30538.0
68,12684.0,8158.0,33698.0,30749.0,16698.0,25028.0,34171.0,25756.0,436.0,22181.0
69,13121.0,16760.0,35045.0,37496.0,22478.0,36389.0,31539.0,18440.0,21362.0,15847.0
70,32886.0,40637.0,43758.0,45052.0,32422.0,2594.0,9307.0,17899.0,1299.0,7119.0
71,43758.0,28643.0,35237.0,43850.0,26268.0,43214.0,36566.0,14474.0,47160.0,13744.0
72,23603.0,13773.0,22526.0,45225.0,27722.0,22181.0,21219.0,38232.0,39317.0,44246.0
73,250.0,9225.0,27417.0,11593.0,19545.0,27886.0,31947.0,14456.0,15381.0,7092.0
74,10309.0,9540.0,11981.0,16174.0,30758.0,3622.0,5985.0,9489.0,33976.0,10809.0
75,7563.0,31913.0,5789.0,28071.0,8594.0,14225.0,5898.0,12534.0,19996.0,16724.0
76,42372.0,46815.0,2893.0,11216.0,36978.0,35286.0,13020.0,13279.0,28093.0,7080.0
77,11429.0,24578.0,7941.0,37628.0,10092.0,23551.0,30250.0,42789.0,29196.0,29324.0
78,45098.0,28408.0,35563.0,25198.0,22370.0,20284.0,37552.0,12375.0,16315.0,2914.0
79,42539.0,13847.0,13774.0,7406.0,37629.0,3169.0,46799.0,5701.0,24808.0,42653.0
80,35947.0,25849.0,41666.0,13811.0,41171.0,45075.0,33744.0,4084.0,15941.0,39071.0
81,15508.0,6284.0,42419.0,47217.0,17048.0,42385.0,24125.0,44245.0,18431.0,6186.0
82,34983.0,20299.0,5859.0,28900.0,41527.0,11398.0,41994.0,11340.0,17677.0,28393.0
83,19720.0,13244.0,31945.0,27145.0,41178.0,31938.0,251.0,11255.0,40806.0,139.0
84,14540.0,26604.0,13922.0,24599.0,32923.0,41802.0,21478.0,41055.0,46852.0,45172.0
85,44554.0,2878.0,13524.0,36706.0,15775.0,10277.0,41613.0,7583.0,41467.0,21129.0
86,36918.0,9884.0,24010.0,21843.0,3703.0,9029.0,34788.0,29576.0,16914.0,33280.0
87,12419.0,25858.0,13047.0,18068.0,14209.0,16230.0,41658.0,7677.0,15493.0,27051.0
88,18962.0,44245.0,13306.0,30954.0,44094.0,2548.0,8361.0,20875.0,19544.0,12719.0
89,48817.0,24057.0,10142.0,31336.0,31799.0,8706.0,3472.0,35239.0,21767.0,38958.0
90,22801.0,13230.0,44182.0,14332.0,7582.0,19766.0,15946.0,38273.0,15694.0,7800.0
91,31948.0,13186.0,38213.0,36416.0,32899.0,27356.0,11937.0,34842.0,34232.0,35766.0
92,6847.0,28783.0,8973.0,26788.0,18992.0,17055.0,19880.0,4441.0,36335.0,22398.0
93,29491.0,39833.0,10251.0,34802.0,41019.0,24225.0,19546.0,5875.0,25150.0,14150.0
94,15515.0,30766.0,19941.0,39114.0,11395.0,38500.0,19211.0,46405.0,9453.0,40438.0
95,4241.0,33338.0,2432.0,23986.0,15497.0,11738.0,3083.0,7800.0,9663.0,44381.0
96,2628.0,14344.0,42338.0,34977.0,13564.0,19281.0,32680.0,38561.0,38675.0,27174.0
97,28840.0,33298.0,20137.0,8615.0,21942.0,40870.0,28990.0,46076.0,19107.0,19954.0
98,18063.0,28930.0,35556.0,34082.0,37195.0,4641.0,4985.0,23649.0,12903.0,213.0
99,41017.0,11791.0,1833.0,17037.0,16269.0,38625.0,32275.0,15499.0,39438.0,16072.0
100,30773.0,6247.0,18352.0,15669.0,9997.0,31738.0,35420.0,11303.0,21897.0,16036.0
101,29771.0,9548.0,20472.0,23718.0,17666.0,19682.0,21074.0,12338.0,31241.0,15832.0
102,22182.0,31902.0,30751.0,5516.0,10310.0,8957.0,12391.0,44174.0,12485.0,29605.0
103,17793.0,39180.0,37622.0,42242.0,31062.0,14018.0,41507.0,14276.0,40163.0,23654.0
104,24867.0,32449.0,22369.0,8301.0,41402.0,13251.0,20688.0,18903.0,16666.0,18354.0
105,7990.0,13814.0,7407.0,7516.0,722.0,39046.0,16468.0,41650.0,11838.0,13706.0
106,17692.0,10220.0,28166.0,1998.0,12774.0,9866.0,40778.0,35563.0,11481.0,38377.0
107,31267.0,9654.0,31795.0,20874.0,3701.0,18222.0,37553.0,36859.0,45554.0,9934.0
108,14243.0,40174.0,13056.0,8441.0,22794.0,29776.0,40862.0,22776.0,47206.0,42363.0
109,4221.0,11822.0,12862.0,33995.0,47757.0,4272.0,9928.0,21112.0,15750.0,21378.0
110,2625.0,9521.0,19699.0,43951.0,19441.0,45621.0,25859.0,30601.0,13374.0,9665.0
111,24759.0,13365.0,12656.0,28619.0,16699.0,9920.0,43492.0,39785.0,9696.0,41327.0
112,15406.0,22545.0,10063.0,29209.0,37559.0,20601.0,39405.0,18911.0,13392.0,23077.0
113,31936.0,44352.0,21402.0,4048.0,29354.0,30913.0,7706.0,42752.0,43900.0,34889.0
114,15217.0,1063.0,24001.0,13273.0,35421.0,32445.0,27460.0,29436.0,20137.0,14371.0
115,38515.0,23593.0,20171.0,15692.0,16461.0,16739.0,33730.0,5001.0,9958.0,10193.0
116,33246.0,21998.0,29082.0,32893.0,36511.0,18435.0,11588.0,9509.0,6242.0,35116.0
117,8013.0,13808.0,21847.0,45846.0,24749.0,30303.0,22830.0,35541.0,27170.0,18060.0
118,7201.0,4985.0,10759.0,25889.0,31124.0,43686.0,33409.0,6185.0,17692.0,19282.0
119,17724.0,27483.0,29056.0,43978.0,28375.0,47301.0,33401.0,41007.0,46392.0,44332.0
120,2277.0,12867.0,34655.0,21100.0,3221.0,42258.0,22803.0,46290.0,28066.0,19839.0
121,24768.0,3745.0,26393.0,13474.0,4614.0,9638.0,41000.0,24760.0,16174.0,18058.0
122,29784.0,39033.0,6937.0,35285.0,46134.0,42326.0,20803.0,13376.0,36521.0,8873.0
123,44172.0,43842.0,40931.0,27490.0,28160.0,4337.0,40320.0,14156.0,21298.0,13026.0
124,34841.0,40619.0,14920.0,32981.0,7062.0,27811.0,9302.0,11925.0,24747.0,15422.0
125,37315.0,32842.0,21179.0,20454.0,3199.0,31867.0,46133.0,32475.0,86.0,29942.0
126,39144.0,12691.0,38102.0,26278.0,13011.0,13299.0,22983.0,45072.0,13746.0,1174.0
127,4407.0,12400.0,41989.0,34828.0,9517.0,13933.0,20786.0,23440.0,13518.0,17618.0
128,21727.0,6579.0,34604.0,32944.0,14488.0,31737.0,43156.0,9896.0,34390.0,7200.0
129,26578.0,30804.0,8589.0,12002.0,27315.0,13039.0,16841.0,10092.0,36603.0,2572.0
130,32138.0,38463.0,18125.0,33449.0,40216.0,27543.0,10494.0,37407.0,15949.0,29104.0
131,44932.0,24764.0,28275.0,1014.0,4349.0,26536.0,16121.0,13658.0,43537.0,13319.0
132,33082.0,3591.0,9874.0,41033.0,34795.0,38601.0,29898.0,30259.0,20852.0,15471.0
133,19998.0,22671.0,26002.0,34555.0,13902.0,2547.0,10170.0,29987.0,21516.0,14198.0
134,14673.0,29323.0,11899.0,40432.0,9813.0,18427.0,28846.0,41527.0,11467.0,40678.0
135,42270.0,9211.0,37212.0,24810.0,29391.0,1402.0,14075.0,28557.0,15845.0,9540.0
136,46784.0,30805.0,12904.0,23678.0,24737.0,14207.0,38906.0,18568.0,17050.0,18903.0
137,43360.0,17956.0,34573.0,29764.0,20113.0,43754.0,23999.0,34658.0,32609.0,40887.0
138,36887.0,46767.0,23487.0,34871.0,1166.0,26617.0,19537.0,39204.0,41548.0,26261.0
139,17879.0,35893.0,37559.0,22653.0,39180.0,27521.0,4699.0,26391.0,30992.0,40832.0
140,35272.0,42539.0,41171.0,31807.0,33173.0,25699.0,20822.0,45346.0,15632.0,21016.0
141,42559.0,26529.0,30689.0,29900.0,46064.0,8108.0,35485.0,31566.0,3732.0,36697.0
142,42563.0,20270.0,4692.0,4241.0,46739.0,29913.0,16006.0,13302.0,26525.0,4636.0
143,30809.0,45521.0,13440.0,32938.0,38431.0,37780.0,34707.0,1063.0,34582.0,11189.0
144,33234.0,29258.0,30727.0,24301.0,30589.0,44894.0,12874.0,11106.0,17157.0,29912.0
145,12756.0,1242.0,32882.0,29294.0,18886.0,19065.0,38268.0,40537.0,4272.0,13760.0
146,14128.0,9266.0,36547.0,24729.0,11376.0,45700.0,22856.0,35212.0,7979.0,32882.0
147,15163.0,38630.0,41608.0,30066.0,27164.0,41965.0,3701.0,45602.0,29763.0,11107.0
148,13360.0,16112.0,4953.0,21341.0,18984.0,6032.0,21237.0,32894.0,31242.0,14802.0
149,36575.0,1764.0,39089.0,23905.0,17147.0,1032.0,12739.0,28952.0,19097.0,13609.0
150,22078.0,33443.0,19488.0,7126.0,41945.0,15009.0,11850.0,16906.0,38967.0,13015.0
151,13852.0,11863.0,35896.0,16272.0,1011.0,42200.0,18439.0,16831.0,11107.0,26753.0
152,43632.0,20894.0,14366.0,1741.0,6015.0,9947.0,42213.0,46110.0,29347.0,31930.0
153,12759.0,41481.0,36753.0,41531.0,47362.0,17774.0,32887.0,7494.0,45316.0,29967.0
154,22607.0,19965.0,7692.0,38585.0,40173.0,34871.0,19464.0,6598.0,19963.0,15698.0
155,41005.0,12822.0,44129.0,18116.0,8141.0,12644.0,44807.0,43901.0,14075.0,10033.0
156,34847.0,29322.0,2009.0,12537.0,20011.0,9884.0,30589.0,19494.0,36708.0,35194.0
157,29763.0,21220.0,36877.0,39210.0,26815.0,32630.0,3407.0,26814.0,29087.0,26570.0
158,39833.0,21727.0,23792.0,24720.0,41580.0,39524.0,13218.0,13198.0,3082.0,14258.0
159,28007.0,32125.0,14662.0,2594.0,18414.0,16070.0,47261.0,46068.0,33322.0,21829.0
160,38430.0,18194.0,44133.0,34380.0,8330.0,427.0,13643.0,25742.0,16443.0,15355.0
161,19489.0,14272.0,40699.0,11229.0,16142.0,24847.0,1550.0,18728.0,15943.0,37157.0
162,21238.0,15980.0,13791.0,13887.0,27729.0,34332.0,26641.0,1242.0,41241.0,35251.0
163,13918.0,31547.0,10668.0,46380.0,38799.0,40065.0,29323.0,36025.0,18893.0,19831.0
164,13187.0,2794.0,21650.0,41732.0,7697.0,14603.0,620.0,13901.0,14039.0,18320.0
165,6373.0,45098.0,44575.0,33394.0,23619.0,30339.0,42929.0,30578.0,5516.0,41410.0
166,1550.0,34146.0,15449.0,8237.0,33806.0,20842.0,26906.0,44775.0,22938.0,13727.0
167,26415.0,11676.0,17909.0,41001.0,38076.0,43158.0,41853.0,23654.0,41508.0,11872.0
168,46391.0,26318.0,46884.0,28101.0,32799.0,28009.0,42301.0,13876.0,32894.0,14508.0
169,8646.0,11672.0,12597.0,12313.0,21178.0,13102.0,24879.0,7799.0,46261.0,42745.0
170,35182.0,18223.0,27397.0,6969.0,7503.0,44392.0,23667.0,22463.0,25943.0,31454.0
171,12656.0,5296.0,12962.0,9213.0,29775.0,31354.0,4024.0,4684.0,42327.0,13041.0
172,11889.0,26824.0,35719.0,36086.0,34233.0,37161.0,7760.0,29508.0,33144.0,30347.0
173,735.0,29524.0,2821.0,3660.0,42530.0,14590.0,31992.0,42571.0,3705.0,4861.0
174,19924.0,19109.0,13113.0,31276.0,10799.0,14090.0,22284.0,45085.0,22883.0,41080.0
175,32570.0,11681.0,34125.0,14324.0,33247.0,32394.0,45647.0,27194.0,8316.0,27407.0
176,4399.0,13034.0,468.0,27948.0,4362.0,39690.0,12246.0,9535.0,13471.0,37450.0
177,13188.0,14130.0,17774.0,32886.0,19229.0,37740.0,25855.0,25782.0,11887.0,13690.0
178,13907.0,46208.0,28062.0,31522.0,36810.0,38252.0,18567.0,46765.0,24285.0,8044.0
179,7805.0,14867.0,36994.0,1362.0,19768.0,46705.0,31405.0,35578.0,28151.0,12687.0
180,18170.0,40192.0,19820.0,13903.0,11804.0,32572.0,5211.0,41321.0,13211.0,44068.0
181,33544.0,35895.0,39114.0,14957.0,3472.0,11984.0,644.0,18725.0,40228.0,42792.0
182,9486.0,24763.0,18897.0,23619.0,8984.0,42618.0,2820.0,9720.0,22851.0,22826.0
183,35745.0,30416.0,39973.0,35730.0,17979.0,11441.0,13010.0,12318.0,7998.0,14536.0
184,39208.0,24055.0,33975.0,19437.0,427.0,40319.0,1540.0,45563.0,39017.0,2592.0
185,48311.0,466.0,27497.0,18302.0,37552.0,43826.0,44927.0,36947.0,5263.0,26441.0
186,27268.0,28409.0,42849.0,19542.0,23815.0,13208.0,13157.0,10280.0,24577.0,10258.0
187,39114.0,31995.0,8885.0,32262.0,36023.0,5295.0,4337.0,45295.0,14806.0,45119.0
188,41896.0,42597.0,39952.0,1852.0,12623.0,31937.0,22904.0,13386.0,47161.0,36365.0
189,33652.0,13718.0,12327.0,39089.0,17637.0,6407.0,18430.0,23093.0,13508.0,3821.0
190,37471.0,2913.0,26967.0,13321.0,12781.0,47922.0,12980.0,12474.0,17840.0,32724.0
191,17445.0,21172.0,46874.0,24744.0,34783.0,5122.0,36793.0,18302.0,9509.0,25941.0
192,23663.0,20792.0,18155.0,21259.0,33121.0,1014.0,15694.0,33665.0,47045.0,18791.0
193,39011.0,12384.0,7382.0,6174.0,7612.0,14870.0,36087.0,6541.0,13900.0,4450.0
194,10048.0,27529.0,22931.0,39975.0,44199.0,18428.0,27832.0,6426.0,28967.0,2044.0
195,2980.0,38854.0,31705.0,40216.0,33315.0,1757.0,13890.0,4874.0,25677.0,39118.0
196,12661.0,13442.0,14876.0,35561.0,20137.0,40944.0,42038.0,21479.0,11303.0,40007.0
197,24536.0,11041.0,43431.0,37225.0,32166.0,11710.0,36575.0,2809.0,19105.0,6624.0
198,31995.0,10902.0,41321.0,40233.0,48812.0,16185.0,26523.0,18344.0,7011.0,10097.0
199,37579.0,42772.0,43801.0,5480.0,31407.0,28873.0,39403.0,24619.0,25965.0,2949.0
200,12872.0,37386.0,6623.0,31709.0,12895.0,42503.0,28061.0,5239.0,19895.0,11388.0
201,20622.0,8107.0,14518.0,20023.0,17532.0,20298.0,38418.0,42630.0,10650.0,9321.0
202,18258.0,34123.0,29868.0,5898.0,18865.0,28914.0,38605.0,34404.0,12349.0,45156.0
203,18958.0,21318.0,21907.0,28818.0,421.0,18279.0,36934.0,35287.0,16594.0,4461.0
204,43827.0,21696.0,20715.0,38995.0,17635.0,24003.0,39394.0,37490.0,45597.0,27513.0
205,17678.0,38895.0,7794.0,34396.0,7180.0,38567.0,20701.0,41868.0,37385.0,17617.0
206,16485.0,15355.0,14512.0,14455.0,18106.0,40831.0,22931.0,5107.0,38472.0,1993.0
207,41053.0,33947.0,33789.0,15948.0,11840.0,16627.0,36086.0,13010.0,43928.0,38568.0
208,41359.0,2889.0,26897.0,18084.0,33064.0,41166.0,8915.0,28284.0,36959.0,37772.0
209,46276.0,38437.0,15355.0,32873.0,21894.0,43161.0,33296.0,44087.0,6280.0,33386.0
210,41528.0,5712.0,34658.0,3608.0,41729.0,28608.0,42004.0,26322.0,39006.0,38267.0
211,20688.0,42965.0,2890.0,28841.0,40575.0,11888.0,46805.0,27199.0,4704.0,12951.0
212,24814.0,43061.0,26323.0,39516.0,29491.0,37368.0,15191.0,20472.0,40855.0,17881.0
213,21136.0,20013.0,1548.0,32393.0,581.0,46405.0,39537.0,17168.0,16673.0,33119.0
214,24570.0,12302.0,28250.0,18847.0,438.0,26274.0,29865.0,24773.0,39334.0,42789.0
215,33704.0,6185.0,37295.0,39697.0,36822.0,11257.0,42264.0,46414.0,13362.0,22000.0
216,29776.0,12860.0,31972.0,405.0,23150.0,38119.0,17054.0,22658.0,11755.0,18886.0
217,23088.0,44691.0,28819.0,20171.0,6598.0,14808.0,3542.0,33364.0,13296.0,26468.0
218,17558.0,12642.0,14202.0,11910.0,34671.0,13456.0,15699.0,43256.0,41053.0,9548.0
219,28076.0,30759.0,45112.0,28486.0,39939.0,12018.0,9228.0,777.0,13052.0,21548.0
220,47239.0,21425.0,13834.0,41153.0,24443.0,2878.0,36804.0,20517.0,27459.0,16310.0
221,41515.0,13904.0,37458.0,33235.0,1048.0,30307.0,36859.0,17903.0,33672.0,7833.0
222,5154.0,10467.0,11986.0,35204.0,28787.0,32279.0,26347.0,12760.0,38380.0,7056.0
223,21967.0,34571.0,14364.0,41464.0,29554.0,21235.0,31934.0,2542.0,20922.0,19086.0
224,41085.0,16286.0,14272.0,17018.0,32999.0,7759.0,2282.0,29983.0,38957.0,45612.0
225,192.0,44532.0,277.0,19720.0,19542.0,34235.0,11287.0,46708.0,18533.0,1120.0
226,40852.0,140.0,11218.0,27971.0,31756.0,30830.0,2298.0,14512.0,36793.0,41770.0
227,19644.0,15914.0,7698.0,22525.0,11043.0,12445.0,24536.0,18095.0,45168.0,33940.0
228,38965.0,12912.0,16460.0,3083.0,14072.0,10457.0,31145.0,21473.0,5998.0,36709.0
229,23227.0,4035.0,8105.0,17145.0,13868.0,40361.0,30187.0,22369.0,29508.0,28502.0
230,34233.0,5963.0,46768.0,7755.0,47273.0,22290.0,39274.0,21829.0,35754.0,47596.0
