,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,22405.0,8279.0,30395.0,16055.0,3745.0,17918.0,7181.0,40032.0,6468.0,7792.0
1,30497.0,44184.0,6224.0,1158.0,32587.0,14381.0,22700.0,44292.0,40172.0,7969.0
2,23128.0,23655.0,13159.0,17072.0,6215.0,47360.0,31934.0,36571.0,21896.0,32352.0
3,45078.0,3431.0,41173.0,42491.0,7114.0,38881.0,24532.0,45314.0,30971.0,25705.0
4,45578.0,30773.0,43392.0,28931.0,10329.0,16760.0,40080.0,34841.0,13254.0,8574.0
5,8826.0,15615.0,31357.0,31100.0,31807.0,6186.0,11588.0,4194.0,22204.0,17289.0
6,33711.0,38005.0,37751.0,13728.0,40660.0,13834.0,15747.0,9565.0,8804.0,6865.0
7,14451.0,27027.0,29684.0,10110.0,3122.0,5999.0,11241.0,9999.0,23421.0,45191.0
8,20387.0,26343.0,35104.0,4832.0,29754.0,14585.0,43872.0,33134.0,27252.0,15621.0
9,14276.0,28621.0,19246.0,15498.0,37827.0,1112.0,14511.0,29829.0,7076.0,25545.0
10,46096.0,3236.0,41401.0,10796.0,26749.0,42246.0,37302.0,11191.0,19770.0,37220.0
11,14542.0,27845.0,29929.0,305.0,31333.0,16582.0,25978.0,16272.0,40017.0,10140.0
12,34572.0,17054.0,35039.0,37343.0,22545.0,21732.0,26579.0,28159.0,23479.0,21137.0
13,40194.0,4705.0,19888.0,5085.0,19228.0,15410.0,33408.0,13316.0,1901.0,45782.0
14,35731.0,3437.0,19643.0,11734.0,20414.0,12405.0,20037.0,32245.0,40415.0,45858.0
15,33296.0,3822.0,31332.0,20912.0,35592.0,20148.0,33002.0,35215.0,43493.0,22721.0
16,24746.0,34121.0,7663.0,421.0,28560.0,19464.0,19205.0,2571.0,13789.0,9010.0
17,26395.0,10816.0,23962.0,39648.0,46739.0,9211.0,32589.0,45397.0,20701.0,16200.0
18,15581.0,3653.0,38481.0,46708.0,32884.0,28349.0,13471.0,20681.0,12551.0,9229.0
19,23634.0,29728.0,6393.0,10780.0,27362.0,34171.0,25914.0,34908.0,8905.0,42791.0
20,6692.0,26481.0,17530.0,8906.0,45705.0,14508.0,42344.0,39199.0,44953.0,29400.0
21,22459.0,24764.0,24894.0,24569.0,11871.0,27051.0,12002.0,6390.0,5320.0,12448.0
22,5515.0,14803.0,29567.0,11241.0,10537.0,31100.0,23687.0,13015.0,21852.0,24816.0
23,45699.0,32953.0,41213.0,38759.0,19882.0,9360.0,18126.0,14115.0,11701.0,33414.0
24,12413.0,17793.0,33637.0,23655.0,40288.0,21542.0,23678.0,19538.0,32812.0,37046.0
25,30839.0,37752.0,5084.0,46322.0,14558.0,25850.0,21652.0,23087.0,4175.0,1774.0
26,35539.0,32309.0,45575.0,32342.0,35618.0,23602.0,45225.0,36997.0,8705.0,15945.0
27,1036.0,12827.0,45579.0,15614.0,39702.0,27267.0,15342.0,11620.0,45236.0,30056.0
28,27808.0,37211.0,34651.0,29509.0,43405.0,28829.0,5868.0,46068.0,31365.0,34191.0
29,35932.0,41240.0,22085.0,12820.0,31352.0,41977.0,18803.0,40079.0,24470.0,19277.0
