,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,44333.0,30866.0,39593.0,42268.0,14447.0,5238.0,46383.0,9537.0,43828.0,33840.0
1,4201.0,13393.0,46705.0,29437.0,30952.0,29254.0,21842.0,45574.0,28800.0,25684.0
2,33907.0,35856.0,20169.0,37579.0,4608.0,24628.0,29567.0,30257.0,31267.0,3551.0
3,23394.0,22342.0,11456.0,19321.0,2507.0,17933.0,36179.0,2961.0,38499.0,41900.0
4,31910.0,15847.0,16948.0,31383.0,36042.0,36604.0,40228.0,39101.0,24521.0,14084.0
5,17361.0,31706.0,1728.0,21790.0,31062.0,30544.0,1281.0,6991.0,4046.0,2914.0
6,7545.0,1519.0,43862.0,29045.0,31936.0,17901.0,11559.0,31918.0,36811.0,43460.0
7,24315.0,15597.0,16858.0,29938.0,27028.0,39566.0,40065.0,33825.0,32249.0,24522.0
8,16592.0,24055.0,15721.0,28842.0,36976.0,13699.0,37406.0,35771.0,11706.0,42911.0
9,32783.0,26903.0,29518.0,36708.0,35434.0,11672.0,26516.0,14212.0,31604.0,10848.0
10,33144.0,11558.0,38370.0,26957.0,7804.0,12416.0,46771.0,11646.0,25915.0,29507.0
11,10669.0,44121.0,47254.0,26578.0,18244.0,40666.0,10755.0,13213.0,1171.0,26503.0
12,46481.0,24485.0,46213.0,26883.0,22023.0,34655.0,20024.0,17097.0,615.0,41275.0
13,31694.0,7118.0,12574.0,11192.0,23799.0,43679.0,31633.0,42905.0,22668.0,42528.0
14,27441.0,30336.0,1774.0,13887.0,27419.0,19068.0,31825.0,13651.0,34808.0,30551.0
15,10514.0,5351.0,6675.0,15788.0,14133.0,12878.0,24618.0,33004.0,42847.0,47266.0
16,31273.0,26895.0,36606.0,38685.0,42420.0,31705.0,1075.0,35433.0,31784.0,13463.0
17,11472.0,23205.0,6204.0,29764.0,12753.0,12557.0,26643.0,27817.0,32784.0,12413.0
18,30685.0,16060.0,5453.0,29524.0,31465.0,13121.0,42928.0,43002.0,33394.0,33780.0
19,36557.0,44553.0,24819.0,12681.0,25940.0,12589.0,41173.0,38217.0,43492.0,8860.0
20,43269.0,10204.0,28534.0,12825.0,2636.0,27707.0,2628.0,18956.0,11468.0,19515.0
21,29086.0,11051.0,37808.0,21083.0,29293.0,44381.0,14928.0,13016.0,12792.0,14877.0
22,3770.0,38974.0,11463.0,39031.0,36707.0,37569.0,37807.0,15905.0,14276.0,41772.0
23,32002.0,20794.0,1434.0,20895.0,12003.0,29347.0,45155.0,26415.0,25545.0,18114.0
24,38409.0,13087.0,22075.0,37569.0,42836.0,18611.0,33221.0,16631.0,25040.0,6530.0
25,32728.0,14447.0,13836.0,5996.0,43295.0,5377.0,22842.0,1973.0,20455.0,34234.0
26,18960.0,12590.0,36987.0,23196.0,6990.0,19119.0,19612.0,20335.0,17194.0,22290.0
27,31939.0,44861.0,994.0,20414.0,33666.0,11558.0,12918.0,19380.0,22418.0,16857.0
28,27084.0,23203.0,35640.0,16621.0,7476.0,13110.0,22040.0,16022.0,31734.0,24240.0
29,42069.0,42503.0,43148.0,43436.0,20894.0,29198.0,27833.0,34240.0,2919.0,14365.0
30,19277.0,14357.0,25822.0,13254.0,12952.0,4870.0,14583.0,27834.0,31806.0,43971.0
