x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
42609,11140,30074,27697,54526,52480,46461,7684,28522,39004
44136,15932,2178,10304,20340,8726,16736,11858,31707,40755
52078,39676,44841,7042,38653,34115,9498,23391,29662,19537
54898,11174,17623,18656,36047,45131,18517,31927,9362,25832
54966,3970,35977,7863,4347,21566,36962,54305,55400,15070
11300,52340,33700,45343,33558,26734,44733,18027,15611,49962
35648,49747,33302,13195,2571,9602,19001,36536,2199,32187
42313,41044,19978,18961,25586,24550,23390,54515,43937,7799
42445,52603,29005,10164,21577,44553,51942,3928,13951,3359
7160,25053,49433,11721,7486,53710,13499,55274,44507,20003
578,450,7310,7981,34462,48947,30180,39457,39637,18371
19426,3263,28323,37716,289,5937,41901,51159,33234,12872
28092,34085,11942,605,40966,55420,16346,10501,49875,21363
44012,29466,40194,54158,42267,7367,51219,20522,26217,36405
49858,9932,1045,10873,27479,7653,18108,15724,43610,30805
42672,6759,27025,2774,48121,27796,28276,7428,30188,46432
27342,22047,6620,20493,51856,2617,53373,47785,14084,15044
45563,24887,51433,12147,47462,37135,40518,11205,6995,51555
11553,48912,8484,30961,49898,7523,8496,39397,41809,42322
52904,27229,17886,45293,22508,53866,16375,16551,53298,17016
30624,51920,43802,7159,44841,53642,15196,26063,4832,50811
36548,575,24714,4949,46566,34468,1186,52491,46108,48776
49154,3949,52285,4198,49831,38254,54462,26885,55520,37683
12966,18924,38234,19674,41338,19838,13778,2689,10634,6747
52021,35206,34782,2355,41733,38024,34033,20194,43811,30446
50818,614,52215,47384,12148,36613,8010,27160,34308,53054
38463,19636,2096,49250,49856,36706,47036,45306,41162,37991
42171,24801,55659,9947,47117,53840,9870,3426,46506,55346
7057,45394,11594,39873,30166,15163,5611,38411,35499,638
37399,30545,11361,55283,7219,41063,19380,19328,7113,48347
36939,48301,32333,45875,18182,2675,35489,53441,34978,14943
4470,29110,13726,12051,38267,36358,21908,23156,42558,27998
44866,15719,36809,37380,32933,34208,26270,14278,37988,31812
22004,53411,39440,19225,3476,12140,35807,22941,18111,17727
39438,52684,28823,31672,30582,36072,38625,29202,49569,40601
41818,45016,48414,13756,49474,15989,15887,50000,44501,51507
725,39978,35050,29689,12118,25746,9012,33607,33860,42752
23738,1225,32400,22706,53919,2036,44762,25234,40315,38882
42983,321,44264,4108,37505,3136,16426,27064,12308,23780
25119,8137,29586,16162,19420,11837,28859,40045,22678,4793
13995,33018,42276,22632,37538,1222,13999,29609,34306,48533
32836,126,48331,50964,49261,9898,49609,37022,3647,34925
25954,39965,28393,14656,7846,21812,25279,25285,25722,30454
36563,54593,35650,46445,25885,52529,10735,3880,21205,11590
4618,35331,18153,41485,718,14400,42339,7181,35309,35390
48250,27505,11420,30244,52650,55129,21311,8194,19267,7459
2745,30429,18788,39631,47964,13892,38827,43386,14352,22289
15057,47676,50573,44234,44911,15128,24495,50657,21479,26113
31293,48006,34351,46732,33349,42371,52656,41883,51209,51967
14196,27353,48380,10531,30662,47388,15833,45697,23186,48489
4556,16787,47023,9743,35902,38603,7428,41300,53664,19618
46531,55220,46932,40686,7525,19292,51496,36378,8983,18779
17852,52408,26681,52967,275,1354,26561,51049,41816,42862
29549,9793,33485,10545,54450,38350,22191,40395,35448,1647
51255,11263,18834,14679,14539,1032,33044,47467,34481,25926
1645,55248,14766,7676,9777,2124,21296,29862,22516,17519
22771,43585,23126,10544,11073,28675,23818,31943,47351,37099
49642,39629,41135,31881,10055,53991,15223,25167,51990,11366
7349,31363,27770,16600,9053,3404,15114,52267,38558,32119
4746,12860,10344,20001,26387,4487,1271,55037,10187,240
16778,20988,32086,42236,11630,50305,55080,2025,6708,51901
26106,15417,25622,28384,48003,34459,9735,54612,34015,9737
23248,35513,25600,53284,17631,44724,7224,44333,22638,42719
26696,25775,24034,27471,17726,40357,52257,35204,40165,13138
18503,10716,4228,1556,36144,40960,27985,40078,12619,1367
10065,48986,46864,10362,12955,25315,15768,3052,18355,37347
41759,50202,38803,22424,53817,7108,34582,32006,52893,38009
21064,5974,17513,44543,32000,7321,39213,31522,50694,48779
50653,49086,18165,31130,40226,39140,22448,17506,30122,55238
41077,48614,30462,30270,17312,2183,41872,49959,28763,9523
29705,43303,24157,8767,53837,1300,45677,50706,46901,23142
14998,14924,8230,24083,47927,11017,18377,12834,45363,47758
6638,35150,6872,7398,22434,39673,47683,48076,28585,3152
5589,4151,26651,37116,54263,21769,16820,50422,36596,54423
19517,41624,19392,40803,51954,6901,4871,46752,11833,20351
20369,26001,32091,38123,10007,12368,12583,34450,32122,9775
26079,18169,45610,52891,44896,35226,53246,5377,52648,21570
42451,11069,10239,10460,29563,9837,47778,44412,55564,33558
25243,20871,52255,5998,18826,43437,30682,23396,5873,9531
24300,23793,42148,2256,49408,542,35187,54908,33164,35199
41027,10663,27155,9240,6178,21124,54091,46756,16586,45784
31710,52506,19484,34154,1895,49702,23781,21093,29606,7290
5128,2748,48610,35212,2604,54565,54260,50566,14145,25842
37859,16668,48925,24364,17664,23275,15981,2368,15287,53923
42666,17356,54746,1985,5050,24995,54276,6822,55030,15910
19786,41976,5705,31731,11984,36243,22598,50011,3704,29516
32881,1507,35640,51631,19267,48340,54928,43364,21269,35071
15364,31548,44674,44718,15536,23734,44928,15754,42985,6259
15782,4600,21268,4018,2800,50853,32487,54818,21800,13368
19733,29021,38687,4069,9625,24417,15900,9512,44424,581
13784,24897,13263,16783,28815,31784,23660,6721,47086,7509
36802,17557,2859,23339,35863,9139,53714,14679,8194,5950
34916,40346,4944,16531,46836,50712,32894,7261,40257,6243
55049,14481,31648,27076,5014,20946,1451,28958,16266,35504
54844,37065,46804,3444,54833,40875,3144,41309,20024,4597
22912,41677,16067,47068,22626,8203,51800,13879,26408,19604
1846,14484,37350,30724,45612,35390,9744,3608,29867,30149
13635,22157,38534,48067,15481,37031,37551,24344,31854,11616
1892,11469,16771,16461,49394,49248,32528,9638,47663,47843
27072,19983,36525,55024,49368,16424,8259,32912,16761,6185
15721,18797,20416,49616,11745,47699,26959,16714,44397,40170
32887,22869,35665,1026,32073,12792,16671,3440,46650,32196
33703,18856,13653,14277,25974,21887,7927,35602,45777,55116
98,41918,47292,46407,23466,32380,1189,44126,50340,30431
40309,45094,38699,38766,51578,40726,25714,41696,5133,31501
20544,32030,47220,46642,54314,46302,10220,31000,40398,22023
19068,33631,35709,7403,3364,44339,51667,15053,1339,23820
25756,7700,33044,35129,11242,39815,48494,25115,50878,47551
33238,25360,555,15881,12371,49970,7166,4224,37016,37183
8756,19132,22514,9173,32167,19173,16867,49284,22830,3132
33006,44399,10597,45187,17003,26910,18237,996,19017,38580
26440,44904,30528,50175,7670,27084,53012,51854,50225,4343
39200,41418,18649,37316,29172,44242,17081,47724,22396,12023
40228,8133,5582,46329,11508,33485,7667,45204,33214,45150
37820,7574,49250,1734,31733,43015,37124,17534,51181,16195
30988,47679,35646,11725,29345,9513,10196,634,3648,26728
55653,22214,25167,26005,35714,28731,36586,36070,40863,52627
38507,18840,25240,1884,146,47807,51416,20037,43099,11462
23972,2638,13163,55452,3452,17197,20923,26251,17087,42206
14195,32027,30458,594,52818,14010,40229,4626,39763,29618
27856,13835,33443,19302,27155,8642,35253,11482,5387,30383
48919,21950,44843,8851,33492,37428,22892,41710,15365,24389
23216,204,30457,42747,55302,12295,47337,52979,11972,40547
47402,18932,3209,8143,44758,35807,8942,38652,44857,44539
7525,42411,44694,43662,33616,39255,17891,19238,2632,40195
30998,51684,1153,8488,54183,3444,42698,32537,46466,28470
47858,8534,35559,39924,5944,601,23758,12055,39078,38595
30634,37455,30380,20170,8696,49176,20794,28056,6104,30219
