x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
57546,86741,51111,34399,961,96799,63109,35303,6898,14774
74017,2298,69479,683,8395,43212,3318,31266,81349,52253
42462,43799,59741,76513,54695,45434,51450,53824,12946,14359
42754,103895,103765,104805,4966,46835,89083,70646,26228,102841
37337,70635,88640,71234,7958,59020,48022,37390,45977,70554
72561,45793,23805,12678,50306,72317,78058,8326,45560,64949
4686,39419,73246,79738,6495,52537,84512,6555,3182,82718
1079,79207,50699,24882,13683,38435,80384,72564,48362,30171
20192,50205,45583,82146,28475,51478,93372,103391,48999,43531
7403,10613,76993,30803,104228,20364,76739,37156,7596,55887
86855,70341,91574,7812,13199,23605,57388,25332,93217,75833
64472,44417,101702,955,29334,60470,4210,72834,44940,9611
91455,60737,39089,67458,89949,35578,63989,48960,88633,97296
23133,80214,25166,103002,11077,18365,82366,42968,76551,37492
660,2834,27381,24410,5164,35356,11433,29543,71461,59823
52601,28214,54627,52928,54470,47126,28499,97181,43027,78953
2479,95661,39226,9636,13132,40846,89193,61904,25448,42797
62253,71015,38811,4136,81128,75163,27080,92132,71864,87526
12071,30706,47131,22412,11337,50113,90303,16326,90020,23031
53887,51325,49369,81181,24975,56584,12144,101298,71847,41184
101983,30185,36458,55046,62233,75134,104363,55416,69296,93107
38592,83205,49918,72607,101958,7707,48842,415,23601,68971
64708,23097,40831,88084,91053,62462,102423,35935,57924,44478
51814,94193,15464,83613,77343,76298,18278,89992,20413,37151
82644,49015,60735,44062,9731,97563,13508,97231,86417,68036
36733,79333,96500,40571,64483,63585,35996,60268,49416,72532
64567,9965,49089,7150,63241,95343,94820,86586,27393,53969
76509,55135,52183,76439,14868,4476,1035,84338,43993,78836
41060,59707,94130,28107,55914,23923,90794,82933,47019,87805
63145,545,33876,24671,32914,79635,22277,55498,51022,28967
49980,84598,81852,87948,33992,32406,97651,23044,42962,92931
28100,75735,89934,93666,40265,82593,103777,86379,71759,68593
66938,86934,24366,63122,74965,24105,65521,68681,24947,75136
12400,99976,96159,51184,4346,78822,26046,391,48811,32870
41527,89380,40235,24371,67088,74139,12315,15399,102200,102003
73682,51323,6113,87406,5201,85010,100468,74394,25682,87233
10863,51291,80528,53381,53581,32939,36653,24958,41360,64336
64459,13592,72214,70583,46985,45597,96433,61969,78786,105121
8235,92166,79836,59430,48531,77962,85945,22566,54802,36818
7675,2758,33511,37571,22810,7420,996,92222,101929,3881
34374,30094,79129,20525,93691,60532,48974,45012,78261,49313
95525,55492,7700,33721,42049,103014,50245,1168,40656,98134
49574,21254,23014,14799,16085,77586,19758,12728,10537,54792
56909,11002,84605,44243,30815,37907,40520,54519,104808,44515
46583,97019,95379,50504,2188,10742,82786,8752,83804,87448
48709,79346,69747,103897,88331,3101,59937,83282,40045,3490
74675,42923,18674,59660,43756,103418,38197,85648,13368,72588
66031,36051,6324,30772,84685,64388,24469,2980,64034,104354
101683,88493,91316,14736,16423,61109,31748,41028,17924,82864
15291,59981,97626,24392,22441,29326,30437,8697,19700,21062
56866,56535,87728,26813,44157,67848,21200,51198,8700,53022
206,42740,17524,45105,23117,57796,4786,43717,82844,5229
69132,54300,30677,80641,59572,22057,88791,101756,79737,9139
86292,48989,75471,3644,56986,43518,36829,13460,17830,76982
98656,39734,94050,81066,100634,90193,17692,13631,44349,57975
54296,32219,78082,3193,13405,51048,3356,11985,70858,93697
12956,75148,18248,48222,85304,99351,32168,41386,72933,15076
19491,28071,64615,100744,94867,66667,75112,83623,10223,73145
8690,57402,49701,67677,45548,74656,5350,38833,90897,60713
92199,71635,90365,15994,83701,80332,70611,95572,74820,24179
74930,55153,101679,74466,11665,22687,51898,90908,28488,8738
38075,94069,56649,49077,93407,96098,79764,84998,102572,21137
87738,30841,3245,44222,76760,50223,101530,51186,88812,2435
68456,51292,45495,18246,84771,40015,22144,56220,2668,69562
89695,31773,2844,87682,37707,49421,769,73810,68233,10275
78969,105106,80210,22620,92807,16683,11990,32169,72842,28999
71865,48078,103877,100674,13778,98898,60475,72912,81959,81665
30962,3028,14061,74711,19051,74270,94765,102392,51849,41118
44813,20207,85411,32331,51114,13454,40145,70099,84251,91579
14463,55525,68899,33429,48213,101151,17051,44973,27541,72124
65145,15072,76256,831,99616,95058,39523,30450,48274,98467
98551,63799,24142,28878,78906,81498,67395,22359,50955,61831
103656,96104,69147,67011,23193,83860,26486,77842,15369,34167
18051,66212,72774,64268,33077,96520,35367,64328,4752,71426
52122,92613,91646,94752,70508,61332,81004,70165,77782,90799
56960,65685,89418,17404,53317,62158,47012,9714,7405,27692
59290,42775,88008,16892,25250,42394,17725,28740,92529,21542
33653,34946,50892,73004,102938,86384,76879,22257,67977,95531
91047,93522,55458,74455,22092,13027,33164,51629,8637,56667
70487,98479,22164,38476,61252,27917,85892,86869,26309,52480
28344,93454,64724,100625,57931,1254,81494,13426,81659,65227
34153,101671,8048,40756,54495,73127,57635,85872,36960,58598
73513,11589,35792,95290,51882,15801,4494,76077,100942,39598
13034,43194,20157,45097,73788,58293,82922,51320,45744,80755
41438,1232,32591,55816,56137,95439,23356,60547,5674,21370
69559,11670,9611,40468,81970,12397,33664,49978,11131,13201
52622,89880,67333,50082,85148,61025,47634,41688,95227,92108
8832,88649,44628,75308,42283,10752,61284,18798,100887,73675
