x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
13633,26157,17678,29832,28541,12008,6468,15823,8089,26226
503,30441,285,31306,28845,31549,29645,5532,9458,1496
21485,3288,11306,25879,10120,4118,31488,31091,24722,29396
16210,28335,28952,11574,9347,4062,4817,7842,10609,22144
6406,2642,8331,31935,27282,899,28224,14662,3041,4352
21851,10259,2057,25843,2058,21946,17063,16330,30854,10906
30922,27892,5508,21079,13468,11986,7977,13226,15972,5446
21726,10374,16621,25977,23007,29935,15130,11341,28797,22976
10403,30570,1533,16983,26381,13630,7933,15612,1620,18871
8003,11578,25294,1826,30355,17701,6990,28520,22889,2106
22740,7839,28671,20084,28749,2720,13079,19611,7359,4586
25543,30735,27864,32101,1097,25186,31667,15687,6886,4240
7355,26510,17030,24700,13248,23147,20929,17664,4177,6587
9894,24117,13043,19353,17269,10905,186,9280,15500,21257
19226,15342,14683,10416,24776,9120,26404,25388,19190,11977
5101,22781,3739,20140,5298,3855,30432,1105,30349,11791
15096,2211,1200,689,4846,5320,15264,13296,31313,31304
4531,16644,26940,27940,25912,20181,10119,17695,8337,28416
32400,9556,3624,21108,17112,11084,2263,3090,17226,2915
13065,15059,7278,16712,8373,10314,30426,26811,16166,3652
20975,5573,27215,6152,26969,13177,3701,12241,25635,23418
2290,31810,20704,13891,1765,2951,11522,32548,25856,15530
2004,5570,30299,7109,26601,28996,14045,20123,24091,11423
20627,31895,7634,13595,26986,8887,5075,11476,24079,18729
12010,23596,7717,31628,25105,10140,26564,17933,4783,8104
17704,10035,31994,27339,5725,896,7327,4513,15133,29144
13294,21915,708,12961,6681,19106,27451,31251,22523,918
11443,21202,7507,4974,14782,17333,27676,11484,434,1876
6513,22776,384,23399,19171,25279,27077,16886,16819,23453
28370,6757,7211,383,7218,29695,25146,5896,7172,17399
23313,18737,17722,9144,13671,12316,19021,18640,14762,27189
28382,19699,26197,10972,30357,563,15442,32438,17769,12717
13686,26776,26249,24550,3740,13332,2124,14596,8185,3811
27830,19810,11772,14310,6050,25548,9178,16170,29617,13349
14268,14634,6616,10381,19175,21518,26142,11457,22840,21244
19362,15253,16051,27586,21758,18508,14506,30442,30205,3729
17662,18361,25866,28664,8783,25280,21475,32499,14955,29374
15813,21677,578,5155,23772,13922,21147,3865,12518,30430
22636,18813,20269,8015,11888,5151,6378,30283,27102,15900
23282,23693,12114,17760,3084,31421,7648,31518,28871,10867
11544,10419,2808,19710,28062,5806,10533,23527,32344,7106
30265,12013,9020,31191,3048,27921,7057,1745,9980,9087
18882,599,7864,32431,29309,18698,32078,41,12065,21094
1351,13214,5279,28429,19486,20125,18069,15796,23202,9000
334,29766,25719,15053,10553,10712,4041,1481,22841,17609
30133,21918,776,6793,27024,24162,25854,18038,11390,20924
