,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,29029.0,11622.0,20309.0,19273.0,36242.0,45714.0,865.0,35987.0,44144.0,19283.0
1,3132.0,13496.0,15435.0,13037.0,46754.0,22671.0,2981.0,28245.0,16790.0,13780.0
2,31838.0,40896.0,21171.0,29197.0,17775.0,29581.0,10187.0,32590.0,31819.0,17706.0
3,42587.0,7118.0,17977.0,41512.0,14518.0,11332.0,46815.0,10773.0,4433.0,29264.0
4,24470.0,28412.0,8638.0,1989.0,10880.0,29912.0,26538.0,14955.0,41855.0,6966.0
5,20393.0,38687.0,24280.0,15668.0,1883.0,35644.0,45521.0,40048.0,25152.0,11218.0
6,45616.0,32739.0,23617.0,28786.0,45043.0,45577.0,20185.0,41166.0,25966.0,40434.0
7,43493.0,19079.0,5708.0,11971.0,4046.0,28472.0,33800.0,18129.0,14324.0,46487.0
8,34659.0,862.0,31531.0,30383.0,32813.0,14454.0,22338.0,26426.0,38921.0,18131.0
9,35187.0,22828.0,12874.0,15588.0,27999.0,19777.0,5967.0,35520.0,32195.0,14311.0
10,13254.0,15732.0,13250.0,32904.0,28828.0,1549.0,26488.0,28253.0,27998.0,24556.0
11,18008.0,40383.0,42941.0,26516.0,41123.0,1010.0,4973.0,13958.0,16389.0,33934.0
12,4918.0,7744.0,46280.0,25146.0,21176.0,11442.0,42240.0,16785.0,751.0,41531.0
13,25967.0,2975.0,27356.0,45831.0,32285.0,20677.0,39203.0,4088.0,25421.0,13513.0
14,24701.0,44858.0,9035.0,22548.0,10606.0,22867.0,14955.0,1555.0,26447.0,30334.0
15,37480.0,19096.0,34767.0,14141.0,12665.0,36693.0,13164.0,39901.0,27272.0,26417.0
16,38797.0,28843.0,39639.0,22041.0,27163.0,37029.0,38049.0,9246.0,25794.0,3072.0
17,1548.0,29509.0,5930.0,7489.0,20873.0,19213.0,23728.0,30254.0,33270.0,19500.0
18,6468.0,31476.0,24749.0,12498.0,27028.0,17639.0,20953.0,34862.0,12824.0,47274.0
19,3508.0,26957.0,6385.0,30959.0,37409.0,40535.0,39032.0,10319.0,7792.0,37641.0
20,37747.0,5000.0,20454.0,32187.0,19282.0,13618.0,31866.0,37748.0,32780.0,2517.0
21,10186.0,6694.0,29797.0,17783.0,41573.0,15824.0,11018.0,36024.0,24760.0,8431.0
22,27379.0,41608.0,44418.0,30794.0,36692.0,8589.0,44611.0,33333.0,14445.0,33415.0
23,9698.0,4177.0,35644.0,40742.0,38454.0,8321.0,23963.0,46354.0,22310.0,10193.0
24,24809.0,19822.0,28845.0,24650.0,44230.0,12200.0,35047.0,10695.0,29111.0,41920.0
25,15446.0,14928.0,28588.0,29741.0,6140.0,41572.0,12776.0,11397.0,21418.0,29913.0
26,6425.0,31405.0,24011.0,22088.0,28571.0,11844.0,27370.0,12325.0,6318.0,34423.0
27,18071.0,13617.0,16000.0,29475.0,41666.0,1539.0,13050.0,46483.0,28840.0,13504.0
28,34417.0,13289.0,21247.0,12487.0,17910.0,23664.0,21860.0,25479.0,35243.0,14465.0
29,13449.0,30575.0,34795.0,18804.0,4316.0,40584.0,27304.0,12717.0,41033.0,9281.0
30,14185.0,39482.0,1483.0,2013.0,37694.0,30501.0,17403.0,35218.0,23634.0,44954.0
31,43211.0,30549.0,13867.0,30025.0,10183.0,20336.0,13214.0,27441.0,28844.0,21674.0
32,16806.0,26445.0,12949.0,18314.0,26861.0,30701.0,10092.0,15518.0,13009.0,40059.0
33,21134.0,3544.0,45948.0,19423.0,15077.0,11590.0,21186.0,34515.0,18117.0,39071.0
34,39535.0,275.0,16314.0,18999.0,33593.0,29524.0,17792.0,31523.0,18885.0,13703.0
35,4035.0,21082.0,19677.0,45524.0,9884.0,28377.0,29935.0,39481.0,29575.0,36822.0
36,19902.0,7156.0,24249.0,21974.0,26788.0,24864.0,43508.0,13493.0,35539.0,8608.0
37,20854.0,13945.0,23441.0,27708.0,24862.0,11144.0,42319.0,4870.0,13534.0,11742.0
38,22234.0,26736.0,2535.0,45533.0,34119.0,24238.0,31755.0,26585.0,27288.0,1908.0
39,5869.0,6391.0,31353.0,41777.0,8319.0,18897.0,26641.0,36431.0,19087.0,7589.0
40,27887.0,15671.0,40360.0,12911.0,34847.0,1859.0,10256.0,31456.0,15671.0,24361.0
41,3622.0,29263.0,13842.0,17564.0,8647.0,20875.0,41186.0,5683.0,41579.0,10204.0
42,1899.0,30588.0,27918.0,14038.0,30351.0,31920.0,39391.0,38893.0,30217.0,20284.0
43,12710.0,12795.0,32632.0,23459.0,31991.0,8968.0,38442.0,37161.0,22485.0,22045.0
44,33710.0,15616.0,24630.0,38685.0,32417.0,41471.0,45314.0,14594.0,3570.0,1716.0
45,24216.0,15925.0,26416.0,12739.0,13390.0,13654.0,36169.0,45671.0,38703.0,14892.0
46,22518.0,8240.0,19245.0,29192.0,9609.0,36879.0,38946.0,2661.0,30347.0,40082.0
47,13524.0,37565.0,9007.0,4337.0,40228.0,14675.0,26967.0,32475.0,40833.0,35005.0
48,24728.0,16619.0,16838.0,44359.0,12910.0,32862.0,13034.0,22981.0,20883.0,34120.0
49,13311.0,10196.0,12418.0,26590.0,13079.0,39864.0,21986.0,33269.0,22396.0,14866.0
50,32191.0,35717.0,5999.0,10552.0,11362.0,45230.0,35045.0,23943.0,30594.0,13166.0
51,11217.0,26778.0,11218.0,6340.0,2915.0,30333.0,5230.0,22907.0,8415.0,40583.0
52,1855.0,20009.0,8451.0,26632.0,17582.0,24551.0,4754.0,14936.0,12821.0,13854.0
