x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
19631,30601,1493,18542,17202,33566,8408,4715,8686,27114
43630,36010,32844,11318,39063,48430,2736,5545,48346,29940
35309,7032,3486,40873,34808,30847,47209,31326,5330,32885
30684,34831,16184,33403,40773,488,39726,10579,27190,34059
43064,17284,37828,33807,10419,11587,1931,42718,36553,4455
10690,13722,22508,20503,42236,38416,441,43733,32653,12765
22904,45468,38933,25702,28672,18502,44711,29146,29489,12689
34973,19057,36950,37029,10125,13038,23060,39592,46598,22817
3535,20356,674,15523,34065,39903,31152,27441,39087,30468
45276,37418,22916,28727,5055,35148,21184,14338,40120,39348
7557,25617,6937,47587,15794,45412,20081,22364,15523,19276
30718,12601,32383,31771,46069,45169,24717,24548,11698,13769
37922,27467,10176,35144,44722,21512,37208,2262,30571,30532
18248,15170,19273,42635,24996,24473,34825,17542,10170,33615
33461,47106,42104,41263,29985,48821,23668,30082,34519,25155
5942,46578,38272,28776,17159,31265,18849,34148,16361,42077
34977,767,17808,40945,31813,10690,8144,21301,18654,42593
20389,8228,19778,34656,25115,5143,13673,2215,200,6108
29239,19622,5014,6911,31682,28227,7004,44131,18126,16021
40899,18741,16586,34698,25974,28546,35208,43142,31195,23710
10988,3651,47625,37188,39778,12691,41943,31546,43286,34881
17033,7665,4114,10730,17633,11409,45988,17543,21979,18543
5376,4702,26612,48215,41865,9157,30789,19024,24009,44394
7408,17584,26120,38213,27294,17544,40369,32145,26233,44532
42756,29380,14119,8870,5307,30397,15655,16574,22863,2177
20079,5414,14590,40275,981,42557,3080,45384,33772,7057
3914,12251,22810,7176,26109,13679,38082,45792,10452,22774
30929,2621,43387,5890,48661,3782,6225,3160,3277,28534
19841,43461,21981,22267,39474,27424,24508,33735,34250,33501
33988,13331,10726,46732,9075,17783,28881,39328,36144,34823
8706,15108,773,8565,12744,27094,41026,26638,28944,22024
39570,19554,48081,6190,44275,32772,13411,30268,28455,22963
40007,42562,27714,11942,27255,18517,43437,13050,7428,44381
14194,15028,45671,47305,41837,43762,45420,29094,45988,36795
3530,44055,47322,8911,7013,33800,230,12409,22921,1761
20214,9673,25549,32161,30066,16302,5587,4793,34064,28229
39972,40567,167,36721,36600,31225,41192,20409,11230,16932
34742,33718,19742,28792,43551,30681,35057,13666,10265,46675
28216,44337,27886,45586,16299,48628,29085,9300,7637,30651
19843,41900,27549,44918,19288,5340,902,14958,41620,31321
44089,2817,19321,28176,6352,44329,9813,7487,5898,43846
43322,42871,23773,36129,1652,29337,24214,27834,43455,16563
5063,20462,26875,14460,15356,41743,39399,27351,4965,18571
42895,39364,35536,30602,28551,41078,41625,4667,37542,27524
42732,32799,2236,41574,44326,21457,39866,6310,15848,39747
26942,25723,32138,7144,12833,37723,5525,29884,4159,14127
30449,39845,5450,30262,7083,44336,26216,9760,27228,25528
27898,43969,28060,12200,41969,12425,21394,8949,18393,11665
44152,3089,33253,15528,2256,14529,13779,46104,43571,4792
45029,7220,9145,15543,4793,21774,16119,25338,19310,10087
31009,6208,24010,34065,42684,14212,40132,29639,33588,22315
38901,11994,23320,11385,8770,46736,43383,2141,40429,21532
9061,24129,23459,30444,1072,1787,27012,18584,28384,19591
27744,27009,34990,32759,10006,16096,21845,8019,19478,12851
42083,46598,6426,29510,15358,15453,24005,16967,21387,19954
33660,18545,27453,45511,25601,14347,25591,15000,42844,23682
19229,9450,36757,33978,38640,9782,17171,12648,46715,20404
26878,712,47900,8006,570,2206,13265,34344,24120,30746
20764,2958,13282,48688,28084,8527,47194,30938,39574,36849
27015,16177,41641,15110,14161,27257,27937,37708,8918,11219
30213,37631,15654,27217,25158,22436,38032,46787,12175,8226
43492,46536,44943,43026,35344,9931,37106,31942,7722,41760
13062,26940,46915,15844,44092,14419,22138,41661,38180,41117
915,19396,9057,22487,30790,35698,37114,14081,31199,21534
10630,24173,15583,10553,9892,22491,10725,28783,27463,38151
21881,7009,19956,38966,45058,21795,33604,33167,28515,45778
13958,20935,27967,10941,28175,32751,41851,12489,14679,39676
41458,36755,805,45064,15529,44782,7504,47305,30899,26567
13735,24309,27078,26544,21613,14079,8316,36425,15963,19356
23670,9611,3554,22077,6964,25225,29251,34739,12933,38074
13236,7799,24759,25822,26293,42548,46263,36766,35536,12364
34289,37974,14665,19885,7790,42035,6215,32936,43457,7805
22878,33104,19405,48684,47365,27717,21301,42303,15834,46401
16701,12869,17655,44495,36720,15854,32937,19476,25202,24849
13977,22563,41098,29976,11148,35677,14656,7637,29473,37865
25343,33627,8560,20467,41510,26898,32202,40914,44975,12783
35075,7136,24145,9356,30042,7984,22258,12387,35998,32738
41391,23606,9741,48795,33708,46897,3256,4247,44039,13890
29846,21524,34186,8503,38510,41589,7309,46362,13313,16546
17222,27178,17772,16432,9839,8424,44470,18865,44705,1950
35932,42824,36962,21929,33306,24986,46726,19349,37632,35221
29622,5309,14419,43047,41115,11637,48760,44179,37284,14206
9532,19153,2523,8917,28975,48730,37798,26599,46033,1979
26235,15020,9190,42775,32749,31926,14685,33338,31515,210
14197,31615,1279,5122,45860,34263,20773,14811,4157,48663
26167,12638,38971,30802,20997,26763,5355,45188,22230,14900
31618,43506,18412,10391,41788,21656,4486,1168,28200,1882
40357,17593,41455,46600,8274,14227,14304,16050,37741,37291
5118,20196,17580,3032,12609,14056,27019,32486,43968,25701
32927,33783,663,33093,20552,592,11103,16728,14566,30288
23635,16926,43909,17964,33649,27423,32952,32322,39533,28531
33602,24880,5240,44092,9328,34231,47417,44339,32178,24363
1856,44009,34041,44074,40528,10740,37643,12723,12742,40679
38522,24640,30262,28784,13839,22172,27493,25267,13197,43851
47342,2508,18161,29024,23796,34369,34515,6390,34886,42029
26072,44192,30074,9052,43440,37007,18443,17963,29215,1379
38456,25094,13852,8575,27785,19814,21815,23449,42551,11334
47699,42305,9314,410,39917,33622,37088,35484,22002,45398
