x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
8583,5513,270,1216,9956,9374,8097,2879,7776,6250
686,4186,1534,7160,1241,8752,4455,7918,9647,9141
3783,5824,2668,6870,1868,2925,4593,3743,9106,6186
9616,4737,9527,1461,6387,9059,1713,1953,2266,3363
121,7213,1039,5266,6848,2966,738,2009,4564,4468
4212,2398,4417,1377,4475,2973,3457,1252,4174,9852
3981,7378,9666,966,5213,4617,2170,445,3140,3059
4154,189,3087,3799,9912,7049,5071,4781,5211,4302
44,2010,5755,9349,4550,9247,8041,8435,8930,490
1262,8515,8417,8900,2839,5766,245,5454,8977,9067
1056,774,4505,6648,109,605,299,8951,5913,9198
5614,4140,4832,6819,9057,4957,9161,5390,3569,3566
3673,1781,9627,2581,9458,4157,7055,9325,9628,4702
5617,6544,3635,4826,2561,5428,7069,8441,5231,2926
8431,5858,1072,5855,9583,4882,1587,7228,717,8486
4629,7046,2910,9952,5338,6612,6331,9010,4012,4920
3494,8985,5468,2913,2375,4132,1104,3586,7770,3789
6052,63,6529,1673,7171,1092,2284,7487,1177,9288
1579,5926,2844,9702,5787,672,9483,1779,5284,9909
361,5415,2648,3623,1055,5889,2649,7712,2924,7586
3168,5050,6574,6552,461,5693,7098,9063,3223,8771
7877,6398,6979,6657,3400,9295,6485,6132,883,8627
4867,4908,9995,2362,4014,3270,1313,611,217,3997
7172,541,2385,7175,2793,5948,4974,7114,7990,2389
9887,6895,5263,852,3221,8350,4377,6995,6231,8348
8796,8970,4308,5835,6500,2341,9297,8078,4154,6836
2068,6187,9849,8030,4613,8121,1763,2590,3674,3239
9321,5467,5498,9010,8277,8396,4274,141,6956,5832
3413,8905,5652,5760,8726,7094,6327,4684,1210,8127
8812,6237,3554,6485,3541,5065,3183,5182,4160,7864
8985,8708,3022,4662,7354,1751,8278,3616,8065,4605
9718,1932,5218,8876,5648,737,2994,6873,2634,5195
729,8767,8390,8938,4907,2948,532,865,6343,3575
4394,3867,8414,7353,3962,8423,2680,8265,8744,1058
6308,5076,5938,1824,7981,2632,4122,2031,3398,9006
4947,4066,4740,6456,7435,4604,5098,2370,189,8138
5505,4902,2466,5214,4671,5779,1226,9236,7483,3264
6128,2225,3293,8203,8570,9158,6466,6218,7636,8819
6652,5732,760,4714,1809,7329,3864,331,3805,4984
4413,7190,9885,2213,2112,7292,2314,1308,9716,9350
7581,5997,5209,4597,2038,346,3209,8327,1845,4330
7107,2723,3477,2162,7805,4170,7999,8065,223,4377
8072,2458,5391,4052,9052,5861,2238,568,1181,3583
8024,1230,6282,5357,5486,9020,9269,9560,5612,9643
5952,6554,1151,9481,3936,9249,3711,8651,8490,9725
6899,3023,991,8267,3070,852,5729,8262,6249,1155
6894,5334,6182,5042,3776,4806,9203,5892,3509,9202
876,78,4621,5915,2937,1573,9302,2130,4026,966
8537,8052,5862,8023,3399,7097,1113,3859,1771,2320
5980,2926,4194,3581,1014,8851,5711,7442,5887,2599
331,8769,3116,7712,4368,1857,7826,3223,3390,7262
3832,6932,8341,4169,7698,3010,5480,28,7042,1983
199,5965,1237,6237,2484,1379,3420,6015,9304,1692
6218,9431,9565,858,641,1326,5866,4658,1290,7505
4904,8419,7424,2148,5770,8684,884,4430,8928,9081
9606,7112,1217,94,7846,5541,1396,6224,8249,5247
1549,3533,6593,7815,6378,8794,4439,918,3673,3408
9024,5888,9261,8034,5558,3576,1694,7711,1051,7552
1168,7685,269,8327,1042,7981,6925,4842,3149,5891
2845,5222,1751,7390,8574,9759,1137,3521,874,3970
1263,3287,1401,1579,5557,761,1771,1716,4718,5456
2391,1102,7387,928,6264,2482,5485,4919,6261,9185
5727,1536,911,57,3342,8668,5832,374,7515,673
4418,918,7988,7419,3982,8977,1319,9597,1519,5933
6008,8233,1605,4002,4148,474,6787,7714,5175,2059
730,6092,109,7610,7644,8529,2147,6066,2677,2691
540,7669,6544,2586,9097,1028,3026,2534,1602,9920
9157,3773,381,7656,6396,1853,5222,3468,291,9715
8146,4928,5191,6772,1169,7474,7371,2028,9692,72
8194,8394,2825,7030,1380,1706,1065,7734,369,2957
4591,7079,1508,8131,4033,5044,2608,8966,7557,4274
6107,8676,7457,7924,7938,4888,2630,2632,9911,2934
3274,6548,3241,8036,2033,5045,8275,2992,1803,1495
9662,3026,6960,6065,9298,945,4009,1479,5565,3950
3331,5791,5451,9686,1845,6268,4145,2939,7084,1107
8517,8829,6229,4649,7900,1171,8859,962,3675,2735
360,1725,9411,3042,8711,1880,5743,4434,8341,6397
9981,4913,7726,9891,8265,729,1239,1251,5462,3735
7623,2833,1238,9444,1047,1199,7352,2869,2094,5007
5775,5647,1700,3139,2405,7095,8580,9212,3533,9284
161,2652,2986,8752,3803,4135,5409,7234,2650,8026
9260,8747,9660,7025,9617,205,301,5167,7831,7555
2247,5963,7898,6220,8804,6409,3812,1791,771,1303
3957,2904,7436,2201,914,2313,637,5913,1359,1417
8677,387,545,6316,2578,6995,9111,6925,3562,5591
9969,3177,6199,1662,2877,9074,652,8505,8812,8703
1574,8225,6405,9061,6236,2121,996,400,9377,3288
3450,4748,448,9403,125,4239,725,5923,630,9337
4189,8352,2509,9592,2886,8240,9000,180,5217,2352
4755,4459,4844,1336,7328,3847,9034,189,7762,5137
2775,6553,5032,2917,8323,4878,3546,4774,8374,6655
3461,628,537,8564,6238,141,6402,9874,6190,792
4497,299,2428,7520,9503,4311,5162,2774,7383,8720
3014,3426,4222,7238,9143,1616,3717,5629,2136,9724
9482,5797,3711,8462,4582,6084,3332,3631,4138,34
9882,1540,9724,2735,8628,5100,9542,5613,7227,4733
6809,8289,247,1576,3392,446,8500,9264,960,7694
5257,8629,1955,1811,8386,9848,8187,9569,261,1937
5999,2749,5959,9090,7110,3663,6515,4062,6672,9007
404,1855,4575,9102,9382,6368,17,3003,3518,7501
5143,6288,8374,743,6354,4578,8527,274,4722,6243
1463,349,6868,9850,8919,5349,1941,6360,5623,8532
9850,2876,4856,518,5297,4312,5388,4680,7200,211
1735,1334,8014,1154,4400,6528,575,2865,6723,1911
2599,1909,4217,2178,8956,97,2389,1013,3142,6867
5083,9400,4186,4261,2798,8544,3459,966,3761,7131
5090,2800,3947,3000,7248,8112,5692,4907,8397,59
3154,5093,3029,8221,8481,1087,2168,1259,3847,6205
9055,5007,7936,451,5781,5577,1565,7933,9656,1601
5704,697,7297,6996,7915,689,6979,4747,4642,8084
3010,2251,2067,4332,7486,6771,6595,8905,6741,6513
5440,3967,6895,6872,3088,8658,8803,1178,4003,6426
7941,9884,7471,8397,9573,1871,7889,5583,3997,3816
889,9402,3805,4500,6329,5001,5541,5347,3407,5946
8069,9420,5978,9184,4449,4627,2347,4367,8976,8017
6319,7834,5371,5195,404,5862,7650,4169,6187,4720
5464,2405,1318,2969,7546,9618,6910,7229,3863,2252
6466,719,8227,5912,6339,1242,5424,1065,3413,6745
2456,7914,9763,4536,7331,4337,7264,3561,171,2597
1417,6520,513,3997,1183,4004,2442,1651,9063,4795
8534,6522,7112,557,2156,6067,9480,1359,8435,2137
1584,4485,4107,6666,6963,5971,287,1743,4327,6022
4063,1076,6119,3604,1973,3796,5727,9515,1106,3853
4878,5267,6276,5644,8049,2253,2988,4761,5762,8115
6115,9155,2837,1262,8144,8793,5452,2772,1804,8050
7760,7654,4535,8229,5631,7059,2373,138,8488,687
864,9559,5693,2843,1122,929,9343,6939,1645,4276
675,2803,6249,8160,4094,3090,2019,8732,263,7577
34,3882,1810,8651,4506,1444,1443,4165,2629,1526
9025,2544,5989,1353,2977,5569,5527,7910,1010,399
3623,947,1898,655,5962,6581,9107,2301,7282,2071
6703,9475,7859,5879,5003,4148,3989,3652,5674,9985
2609,8794,3021,7224,2339,4628,7434,3564,9115,1508
6334,7175,1100,2809,6384,1137,1492,9566,2846,693
3084,8334,9890,6568,9991,7997,6255,7981,4140,2260
2480,1222,7096,7089,7756,9569,730,2860,7605,1262
3929,2374,6406,3399,7612,8128,3490,7521,6676,7729
3980,1573,8113,6030,1765,7002,3846,5521,9995,4932
6795,4284,4697,6234,9135,8226,9592,304,6168,1685
9667,9748,2886,3675,4816,4015,9164,9513,5138,7990
3070,9557,6315,7441,3436,9207,968,8623,5030,2118
5450,4083,5734,2662,6086,8216,1605,2581,6176,1463
3073,8792,476,1660,8859,9431,5153,4579,7071,2194
3343,9463,2201,5795,8917,7378,7801,9334,6064,2106
8389,5174,6073,2018,801,3275,3451,7040,5187,5457
5832,3843,9692,7716,63,9696,2328,6695,6334,9376
4167,551,8832,2785,623,9808,6486,697,2688,3378
474,6061,4622,8810,2576,8463,2216,8646,2447,8698
4174,7086,1103,6763,6076,2649,2966,2465,3561,5538
7719,9448,8897,3304,6901,9776,3264,7835,5484,6041
3964,2220,5505,5075,190,3446,6849,1116,4956,8395
4324,4124,9518,8439,7603,3281,3801,7872,4522,8650
3778,6692,4687,7875,4405,9831,4982,9791,4616,2797
6621,1135,8986,7124,167,7895,5344,5821,63,5765
6310,5339,6916,1370,9111,24,6651,2610,33,5157
8216,3198,5212,7082,4273,1211,3226,743,1217,2328
4323,562,9637,7755,7564,149,753,8743,4009,575
1145,7763,1000,8112,2619,9709,3201,2975,880,6990
4597,7121,3302,2132,3013,9706,7178,8723,8546,991
5819,237,1412,1703,6847,5235,3927,9565,6933,1481
8126,3618,886,8100,8169,4046,4990,6900,1914,8685
4396,5813,2560,9150,7059,1475,3256,6162,1785,8827
7845,5758,6471,6248,6052,9889,2401,2207,579,2592
861,9458,9350,5969,8535,7930,149,2305,4415,1497
4135,8378,893,4569,4614,4654,607,1822,3971,4628
4649,185,8932,7512,8077,6396,5513,6340,9792,555
184,4366,8036,8619,925,994,2028,7450,759,2342
7041,3927,2605,8368,1145,9421,7655,1715,522,8800
6161,1736,7997,7452,7449,8887,5492,1477,12,1743
923,158,3103,7131,2901,9302,9416,9090,4112,8608
1920,6295,1076,4625,1082,8660,7770,8347,7430,463
951,6743,2646,4358,758,109,2694,6953,596,325
4996,9974,5350,2753,3813,6973,4310,7997,4864,3433
1312,7135,8316,9127,4735,9131,6020,6963,7104,6009
1229,5441,7780,6366,3584,6432,382,617,3255,8835
4374,421,2727,2859,990,3227,5235,6017,2291,6074
4924,3557,1662,5157,3996,6150,6574,8271,6338,4439
9949,1301,533,1945,9506,8781,3909,3700,9542,3805
3109,5457,1747,9637,7621,7294,1075,238,1940,894
8388,4245,9997,4008,3008,7022,9449,5028,9113,5965
8190,5028,9274,1959,3829,3593,1721,6933,5965,2102
2077,4279,4649,4078,4729,8192,8298,4388,131,9907
176,4304,8223,6851,3040,6172,4391,6176,3607,9744
648,1752,7037,5481,3327,3258,7936,7551,5881,433
7465,3511,1574,8051,2291,2972,5609,7539,4220,1338
1225,4300,5904,2907,4860,4973,5709,3689,3212,3029
6301,3066,3297,4958,2264,3899,1843,8377,4335,2673
8016,3695,1202,7203,883,8370,224,2293,4439,9657
6101,6039,8248,267,6810,7509,125,4219,3587,1952
231,8192,1954,4493,6865,3988,8653,1559,2392,9052
2541,1145,4046,7635,8746,733,6955,941,4060,9502
8406,6948,5188,8451,4969,6656,4498,8296,5266,9401
8367,4003,4666,2568,8952,81,8629,1996,5722,6377
7674,7910,1304,9746,8158,6793,1943,2492,6258,5303
5462,4679,9990,279,286,2133,1036,3717,6593,704
