x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
6665,8184,5595,8315,1776,9658,733,2926,1786,1155
9677,9999,4928,5774,7842,6053,5950,8556,441,6463
6098,1339,7036,6870,6491,4398,5474,1281,1774,7091
8320,2341,414,2328,2322,2674,8431,9725,6724,1838
9985,7815,5928,3568,1697,7265,4168,8747,5214,2723
5443,8668,2323,9686,1116,4029,3928,6203,3159,4068
5153,2209,6810,891,320,1649,6605,3902,8097,3806
4388,6532,8296,335,6405,4683,7167,7313,3949,7982
7216,1703,9922,8935,211,394,9036,5941,5590,1739
6302,3449,1793,9637,9891,5186,1507,4710,8310,1686
3339,9100,6483,1098,3037,1827,5445,2897,15,4088
6216,8751,6147,3939,2750,2567,7036,6710,4428,4532
2121,317,107,4986,9176,7488,4349,6800,8381,4161
7929,4974,1298,4945,9137,4030,7246,6480,385,5067
2674,1925,6770,4955,9781,8167,5500,5014,2576,4098
2483,9246,8736,7350,3864,6132,5433,2136,1805,3430
2077,5629,5340,4308,9370,7155,6680,7361,3336,8778
7414,9247,4942,202,9716,9854,2995,5400,7936,7384
7821,3010,4167,8230,1846,4759,9802,5626,6056,4797
1549,2132,3458,5812,4250,2827,9337,5191,990,3171
3335,241,1677,9416,837,8175,8948,8075,8138,1744
4483,5887,6950,7258,6375,7062,4533,1562,6513,1573
9854,4092,2085,109,9970,3980,8393,729,1013,5796
3268,6472,7840,5313,3140,2544,818,5749,4333,2803
7798,9099,1054,4166,5476,6037,277,205,4282,1682
9483,3980,5333,5984,2658,47,5590,1427,7673,2000
207,5375,7564,1206,1671,7850,8330,9651,5650,7863
6848,4987,4634,2766,5907,7932,8873,2480,2750,5718
8725,4916,2560,9019,9007,8895,6371,1360,7899,8184
1636,4082,8161,6678,8536,6217,9546,6143,8625,688
9315,9390,413,756,8352,7737,765,6198,4120,2597
6270,6363,7778,7916,195,8786,7420,350,2806,8553
6569,2017,2027,5878,341,7301,9341,394,3624,622
4919,3931,6703,9242,9291,9490,9578,4381,8168,35
4875,3793,5454,6456,1976,4265,3228,9190,3498,5597
6583,2454,6408,2546,7481,7236,6957,7944,412,3833
7661,8170,9914,2092,6661,6316,990,3572,839,2616
9627,177,6744,66,3529,4021,4706,3079,277,5129
1629,9571,5226,1601,7075,293,8091,4817,2974,4559
4423,3549,6671,5177,8634,8075,9375,1137,6109,5519
1308,4382,8569,688,8600,9473,2659,6344,1039,7291
4489,4247,3658,8459,4943,5566,2701,2081,8951,4342
8949,8660,755,4092,2695,8160,9505,6394,1150,7759
6336,8538,8130,5923,2195,9135,4830,8246,8104,4107
5866,1839,1768,7506,7040,2975,8814,242,7043,4826
8038,4581,9256,2687,3743,6829,5873,6342,7842,5502
3009,6150,6387,4311,5347,3984,3297,4664,9811,8732
2242,2462,2428,8739,1973,9300,9031,3194,431,4613
9574,352,242,4200,9703,7143,9947,7650,3465,2081
3794,7676,8526,9891,7116,4566,5054,3550,1327,7692
864,6752,3642,4212,4462,2926,2157,3689,6640,2467
4754,4482,3183,9153,4820,2965,5846,3713,4658,3087
9784,2203,8812,93,32,709,8402,1982,2543,7791
8573,4349,8165,1882,6387,6432,2951,6573,2073,4833
2802,3302,7436,2314,4591,5002,1760,5443,8693,2949
327,3217,5793,3927,2461,4614,4113,6789,3065,8665
2855,7952,5498,625,1953,3417,3658,423,4549,616
1356,6893,3632,5771,1379,977,8255,2749,8586,2424
8407,9697,9747,5014,2024,849,3657,3531,7018,66
3637,2863,3857,2992,1229,9955,4333,5440,8150,3115
9276,9039,3687,9760,3285,649,1565,1118,4497,5127
5776,1298,1133,5318,7755,812,5612,9375,6255,4736
840,8314,2361,917,6865,6266,5491,17,2496,2599
4917,7443,6274,621,7364,4122,2952,797,7742,1290
407,5423,4671,7036,9169,4142,9069,5639,4481,4916
7763,4617,7764,1743,4258,4691,2127,8643,4503,9315
7267,1743,9551,4570,8096,7654,5998,3803,8509,5284
143,3043,7793,4149,4138,5734,3115,8529,4832,3735
2006,1942,9977,5720,7147,1839,5305,5220,7937,5834
4159,3862,2276,9659,1920,2024,1480,2734,1815,5963
7659,928,3669,5572,9077,3460,4907,5912,8588,2028
2583,8708,1847,8207,1828,7220,3447,1260,1977,9174
7826,7948,8336,2621,9321,6003,7784,9290,2986,2695
4408,9451,6248,1685,2406,5095,8180,9459,9319,6165
6758,2841,1826,5095,2387,9750,187,7666,9586,2913
8008,4448,4584,7154,8113,9458,7078,9046,3773,6458
2037,518,2599,6404,6901,7608,8465,7775,7197,3481
539,5767,4117,455,7940,6374,548,8065,2778,2305
5080,8036,9542,8806,8289,2518,3590,5037,1990,4379
4531,5574,6048,4917,6354,9619,6717,335,4627,6911
2881,3077,9622,8943,6756,6370,7199,901,6213,6135
7250,5215,3431,7474,4244,2270,7655,3954,9262,3505
3509,5619,4641,5364,2583,8492,5238,7321,340,853
1122,1719,2364,2962,1670,4916,1937,4577,3813,4859
6236,5998,9416,6660,6082,8097,145,8721,7844,3459
1069,1618,3837,6840,8542,6676,4707,6384,4686,3329
7029,5447,9246,3788,8131,689,2781,3445,4042,869
84,7261,9463,6509,6598,1915,5938,6371,3441,527
2004,5206,490,9821,9905,6734,4770,58,3786,2226
6474,1203,3103,6211,5125,1443,6706,4567,4717,2133
8095,7753,7357,9505,6141,4996,5049,7213,4239,2655
3082,6403,2615,5078,7175,7082,3015,463,1987,1359
9468,5832,3303,6434,4909,1802,5220,6312,2362,1901
3381,2347,1237,6352,4497,2574,3400,6063,1051,8228
1555,9549,6063,738,3097,8588,7147,9079,2567,4257
716,8902,4785,3329,6243,4726,1950,1422,6365,5958
6005,4881,9754,3180,1449,4822,3792,5584,2834,2033
2178,6518,6922,5457,7096,3664,9215,1605,6854,9612
6192,9245,9329,6171,5043,703,3816,2590,2697,5318
1135,8494,4784,3774,6674,5014,3517,6121,4326,2032
1967,3605,5637,2267,626,5205,837,5930,6130,476
2261,9422,8675,3293,431,5999,8098,2392,1619,9792
8378,4686,6204,9968,1619,5138,2785,7668,2506,9326
735,7573,6848,4004,1047,4650,5637,4211,249,5916
7313,5771,9994,6625,2459,3099,5863,6433,8714,801
3962,3943,940,7106,9156,4137,4779,4099,3471,8879
3420,7875,4171,8911,8336,6628,4117,7784,58,5136
8385,2241,8135,2307,7257,4727,6329,4282,9709,3266
2819,8409,7364,3093,7273,528,3784,3714,1443,5989
4687,4275,5797,3782,1501,3648,3843,5030,1628,1427
4966,8441,1661,5875,5535,4046,2299,2979,5667,4913
27,3378,752,4387,6856,7303,8227,8131,391,4233
8958,1373,2879,5527,6637,8737,100,1096,3554,4986
6009,3780,6830,1352,8685,2422,4072,3467,9154,9247
9781,1506,9771,954,4875,5122,7735,6571,3320,1824
7226,4306,8108,3228,6162,6264,9136,8912,1212,4547
3142,8035,7052,3906,2952,1210,2574,9295,6966,8333
2979,7777,9850,7576,6892,1729,4191,5476,386,4085
9150,7323,144,699,3628,3701,8830,445,5607,6707
3456,2101,5334,3623,149,5422,7291,3115,9357,2899
869,6074,136,5150,991,1128,7996,3835,6389,8585
4007,3422,8902,9189,7167,4513,5025,233,5348,6919
4680,3186,4422,8882,9900,1136,3230,7660,9067,3362
2348,414,4130,9453,1085,4128,1914,7941,2445,7724
1048,9105,6242,6670,8050,7780,6064,5682,7281,5813
6724,6813,7332,1019,7108,1323,5823,6104,5197,7355
9199,7368,2332,7396,6757,6378,744,2613,9666,1541
3030,1541,1914,3219,6441,2672,127,5208,5065,5115
7791,5677,5561,1838,4329,8313,8626,4436,7353,864
8179,3030,1412,434,6575,8429,796,4778,1060,1264
2167,7900,7636,7882,6622,5127,759,9664,8400,7391
7775,8677,5715,2310,9774,9244,2699,1075,1111,4218
631,8694,316,9224,7173,8985,4063,3411,9946,6265
3080,8619,6332,4621,6376,2534,3644,8324,399,4439
3674,6023,2455,7145,2212,3909,6966,7858,9539,6519
5566,5835,5834,9976,6514,9120,4321,5421,8733,7649
5568,7506,7625,2904,6641,6009,8387,5300,8845,5517
5464,3513,1414,2278,5662,2358,580,5963,715,2094
6763,8631,4157,5049,8820,9030,2443,4352,9505,819
3240,2796,6574,7607,6149,6483,4717,9860,9261,9569
6836,6316,5988,9914,2497,6050,7024,8079,8798,3382
1953,3585,3683,1920,5865,9804,8395,7057,2469,6946
7047,5474,3855,7579,7516,9848,7517,274,3967,2222
8504,2694,7265,9466,258,6838,4270,6694,5249,220
2331,6776,6023,1456,314,6841,3374,7957,4496,8910
402,3925,8520,4944,6195,4407,934,3260,4907,4019
8882,3643,1106,5560,9976,8410,419,2952,3559,9057
7758,4551,7980,5438,1119,5826,7196,7806,4966,9076
6186,1013,152,4879,6867,616,2029,6072,8543,4735
3144,762,3317,2927,5428,7517,6547,7723,8299,1846
7892,7211,5742,938,5742,3502,69,6855,8830,4876
7334,4032,7342,7543,6002,3168,3558,1829,8689,1768
1654,2179,8428,5879,7615,760,3890,7003,8835,8972
6485,6476,3967,8910,7629,2632,5735,7641,6291,6505
7168,2681,1367,9209,9771,4211,4254,9496,6697,6098
3469,8704,4822,9374,2164,7366,4140,2448,7833,8176
2743,4712,2183,1855,9969,3087,9976,8235,6884,470
9597,7726,8577,2645,9066,9370,7160,8508,8894,7342
1625,7915,1372,9484,7653,7657,1594,8299,360,355
2442,1055,1977,4832,8902,9401,370,11,8828,9637
3027,2546,5050,441,4477,8815,7277,5408,6964,5055
1774,7197,2170,5786,3980,1364,4915,4124,9463,6202
3436,4149,7189,8593,1049,4572,7808,4182,5317,8524
8173,9746,5556,3781,1217,1058,2007,4771,6190,1318
5439,8617,9150,451,3565,360,7920,850,4607,3810
5930,1898,1491,8927,5856,5589,4208,2698,5418,7546
2884,7184,9426,1977,4987,8394,5698,5107,417,898
9245,4429,701,8094,481,2765,4,5240,3723,5670
9352,9019,7028,44,7448,7021,6740,169,843,1893
9818,4697,1049,6003,9615,862,4314,614,8195,145
8020,7357,1167,7095,2447,6476,5103,3274,5800,4470
4985,5219,8001,6366,1413,1270,1835,7956,9965,1746
1751,3629,7002,6093,6253,6198,423,6660,7319,3856
