x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
35745,16046,34749,38477,3530,41660,26597,47550,13021,7552
44235,19820,32440,33193,40400,1829,14810,16105,17007,9999
36979,697,35855,8844,10028,26572,20178,13401,24731,26493
5891,37367,41115,39458,44455,38375,38507,34090,26202,47778
34319,10757,14797,25483,20299,15470,39688,40906,40842,43472
27460,43478,17044,34719,9946,32833,12200,12247,4656,43081
30758,1940,43677,16741,30299,41172,26555,8872,6692,25682
1716,14481,842,31534,43796,41864,28295,2884,14886,39121
19729,4593,13651,45391,14472,19644,9241,14148,20985,15370
15733,39823,25543,44089,18348,42742,47154,12664,40709,13012
15912,45350,46333,42628,12441,7362,11759,42938,7719,13978
43464,35764,11783,26533,17082,25367,34527,15952,39453,20503
44332,32990,6086,29820,35897,3768,32799,35544,13974,46751
17127,12421,46413,7980,24042,27365,12455,10059,21380,21524
27210,14545,25039,5377,6404,2898,24050,35192,38685,31311
22050,22956,2811,45984,11329,33035,36694,43297,14286,47274
31501,20299,13359,23393,12998,47712,33836,11706,26050,17287
20811,32753,22237,21724,21667,40642,303,13786,11226,778
9638,43253,37855,16048,14680,44365,13856,35116,42572,35405
22783,13788,17171,12788,41149,16785,6474,16648,34303,22405
2878,12643,14387,44153,27872,30226,31434,13869,44156,7396
18428,42335,34806,46298,16268,15650,25475,14420,24763,30478
45354,11116,16684,39979,10713,24931,31534,9321,11819,17262
16629,36370,18941,10842,33908,41106,25782,18103,2975,37371
13445,9383,22285,36551,22436,510,25411,26779,2508,24626
41033,34566,26654,36693,38591,14336,31852,6230,45116,28167
24483,7397,23954,8439,29368,43203,3055,9537,31732,10808
21427,12937,42924,7623,41778,14584,42412,13230,40942,10891
40935,27590,40319,23179,28052,20824,38853,31526,22440,5909
21843,24782,41994,29808,8584,44956,23466,14392,43479,13783
46121,16164,27061,43040,43176,15788,33227,23247,24690,16159
26959,21824,44767,19853,48826,46995,3452,26943,38557,43426
47472,1789,3219,18626,780,21404,36772,36306,27195,10079
21688,14029,19953,32140,19150,26003,46414,8010,33637,26591
19687,15497,42227,11638,2309,12863,35669,6315,29969,21400
14942,26912,23080,31121,31868,29477,44395,15573,25080,39607
48241,11609,27813,24129,13725,19856,16994,22781,42747,13383
16821,21687,24569,35507,44360,14350,11240,2572,673,18870
31033,33996,278,12017,43634,15005,6205,25588,38165,26842
21701,17391,39542,27405,22560,2468,2875,30519,30869,21472
39823,13051,10619,21838,13499,14186,301,23613,20988,14235
26240,42843,28169,9933,26839,16333,16370,5379,24473,15068
38089,29108,41470,287,14661,33357,8950,19754,21257,45143
32278,43415,46884,33206,46794,24789,13645,27442,33061,24544
5543,46921,28853,40857,28899,9594,41515,35076,3148,20611
12488,39483,1376,14095,21408,30775,42394,42743,24217,53
17148,17222,8725,28567,11980,33192,40951,48218,20940,47481
35953,4333,26407,25889,1530,43264,31795,11765,7591,40760
7776,7437,13884,3700,43679,46977,48779,9585,20975,32001
6667,41789,1222,14028,11861,1418,18955,43536,20983,22749
36816,30065,30271,13251,6059,12990,34129,25946,14184,22479
26403,1000,22659,12381,40748,33152,2266,7775,31501,15909
33934,28933,31966,19005,31968,28258,40015,2548,38449,39403
