x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
3547,4682,5885,2406,907,5286,6146,7207,7191,3734
7693,4656,2129,1490,7088,2272,9881,1559,6317,6228
33,8839,168,750,537,7217,4634,4737,889,4243
4506,4881,5367,5794,5292,5938,9371,5382,1499,1725
6168,1295,9961,3164,6656,9436,8386,6404,3945,4815
9585,8094,4374,7576,2428,9700,260,7791,2273,6596
8823,8161,5987,6702,6309,9032,9440,6629,5809,7837
5327,4773,5492,4645,3014,5466,4440,3728,7746,1760
1214,3435,8753,1843,3369,2792,1400,1080,8714,2090
1687,5193,9938,4426,3209,6351,9326,5616,2157,3134
3669,7104,6404,1254,3630,7101,3379,4075,9748,1264
7760,6447,981,9280,466,8433,9874,9948,7560,2272
9153,1157,8927,1664,6017,657,6042,8616,2766,788
5870,1316,1844,8261,2510,7446,422,3545,441,3331
8743,3670,8620,8502,8932,6450,2879,3749,1056,1238
6285,6699,9124,432,1288,6596,4276,2750,5604,7579
1499,785,9339,2662,624,4579,6013,7558,4961,5561
8369,4819,5305,1769,7821,4557,5161,78,8581,2962
9878,6925,311,3446,4799,4586,1267,7988,7041,419
5865,7792,7563,5527,3426,1266,3189,1318,7291,5917
4373,1216,8107,3931,9646,9369,990,4523,4117,5049
1267,1726,8275,6189,5816,2875,1523,5001,242,2842
1856,9697,7767,6653,7221,5182,4506,8510,2813,4228
8134,9725,1195,643,847,7554,8708,4231,3827,1815
2615,9069,1645,3502,7493,572,4459,521,3664,9545
7621,7997,9717,7030,7924,4485,9520,350,2106,3466
7366,1362,112,1994,6196,2205,4473,9602,3379,7985
4659,6107,3586,488,103,782,4281,8971,7528,2123
925,2359,1812,2162,7929,4744,5819,8749,921,604
6778,5940,3813,9719,2747,9052,8861,8767,5156,57
9555,962,337,9126,7464,5381,5126,7586,2873,1861
7729,3690,7801,640,6070,5195,1845,279,9005,3622
9277,5388,5508,1308,5715,9145,3957,9704,2036,9744
239,1280,131,6801,429,7566,1983,3753,3302,5367
4457,1040,5012,5627,8406,6954,1566,1971,131,1569
4086,954,1495,2657,3515,2167,2228,5477,9815,5828
5324,4822,7729,239,8931,9133,3056,2156,9241,1146
1745,8003,7342,6586,3693,4607,8622,8274,3555,2671
361,532,5506,8906,8637,5436,1924,3082,7774,9691
6859,2672,8773,8415,3859,2786,5107,283,865,3082
642,17,8717,698,2350,6860,4273,8460,5345,6659
5967,6482,498,3530,15,6482,3280,4025,5804,5770
5456,9242,9835,8810,4733,474,447,6621,6542,2606
9901,2027,405,2751,5300,614,1834,4869,645,4996
7848,7900,8266,9507,4749,2102,519,4545,4611,8588
4627,8462,4864,2769,5018,9115,9513,2926,8910,7310
5367,6840,7214,1173,7650,1901,5095,6238,4966,2129
7326,5880,1920,1005,2270,9656,352,5020,7748,5802
1930,2907,4593,2560,1760,3788,5062,3899,199,8358
980,1214,8894,4432,4026,4053,9888,2164,8936,2691
3317,7180,7734,450,8558,6342,7606,1585,9818,1811
4795,1327,5813,2643,9404,3197,5930,1148,8843,1991
5304,3208,4693,3857,1770,7833,6908,3065,3707,5022
9612,2835,5197,7028,6704,5952,3213,2624,3513,3539
7845,8618,5232,9625,3411,3711,4713,2797,2646,1737
5175,5150,4891,7315,5571,9373,8298,8994,3211,4662
3060,7071,9076,5511,6023,6476,4647,7581,2687,5060
3628,8987,7921,3967,4656,5579,3506,6037,6222,5910
9849,1259,4315,8287,5927,8977,5312,4269,565,5885
1106,6952,1034,6476,4352,8593,1125,8933,2180,7324
4261,8784,5613,9130,4353,7259,7866,9071,2597,1809
9088,2028,2212,1253,4144,2619,8420,3632,576,6530
6665,8521,6341,928,865,4551,4371,6825,7633,780
5292,5328,6223,3165,9420,7916,5677,3645,3216,7987
3993,1523,7856,4881,439,3745,3352,877,1977,6447
5232,6696,7852,5370,2269,2631,758,3003,9682,8791
1412,4090,5745,1239,5796,6621,7536,4002,5916,8991
4041,861,5448,5445,3667,7887,7882,9709,2338,9809
9333,3103,1793,6269,2567,5976,6976,5800,8539,4633
8511,4950,6265,5009,4974,593,3402,5732,7022,9447
2569,5213,270,2186,9614,3666,1250,7841,4167,4889
4913,5834,3391,3056,4860,8100,1145,8607,6862,1395
6718,7323,2931,1375,1743,6931,3476,5885,880,7179
4811,423,5857,4350,8531,7187,7351,4618,5131,6114
424,4142,4938,3431,3652,4303,1111,7625,6286,9005
553,8152,5960,4068,576,7257,4951,9532,7308,1990
2842,3010,1239,4356,2340,2171,7928,3967,4066,3244
301,7588,8593,1148,3136,7193,9069,5862,1327,5268
6058,4188,1093,605,9021,7738,3288,5140,6131,9277
1504,6053,4194,4954,3509,8198,4170,9946,2929,5612
2768,921,4489,3006,2330,941,60,774,6610,7921
3655,195,5559,4957,3844,6443,2596,2869,8924,4736
7264,8032,1555,7361,8451,6114,4094,6807,7996,5156
158,8331,3539,9000,5044,471,7736,6010,6703,5960
2989,2680,9878,398,9299,2339,2665,3186,3719,895
8704,5706,2449,3237,5874,2708,4187,4008,1624,9762
8065,1504,9839,2211,4903,6122,1739,1901,5043,1434
9009,374,4356,5403,7935,7158,6071,4195,7138,3383
8072,898,4094,6365,7220,6430,1759,3656,4477,9030
3569,4901,2508,5412,5489,2418,5736,291,4220,6884
5535,9524,8686,7036,1360,3417,1259,7338,1137,7123
223,3052,6430,1117,1495,4769,4483,1237,6132,6635
1910,6040,6344,5420,405,5448,1183,6100,2533,5987
328,6214,478,657,6236,7363,3362,3977,7590,199
6826,2942,3995,5989,5290,2895,3390,5960,3936,6369
7304,8686,5303,8539,9147,3135,7845,2949,5907,7192
9053,9239,5769,4454,2868,1910,4621,2213,9636,7416
1912,8634,1842,8374,1619,6365,3513,6138,2307,9590
6545,1720,3336,1597,3607,7387,6833,1409,7244,4279
2576,437,8962,9901,4020,4732,6632,4273,9082,8829
4582,6618,4707,7734,1857,3103,4113,8328,7101,4131
8223,3798,2969,785,5382,970,7345,4495,7625,4047
8459,1865,9328,1587,985,7934,3637,515,6022,4894
8447,5375,6282,3275,7877,9538,9395,5047,713,5368
4011,8173,1762,7423,2967,7735,4088,8155,8246,2323
5955,4713,2578,1595,6444,109,2985,8806,2623,4581
7904,3650,2050,3777,2588,3352,3620,568,8505,3258
8073,5559,2347,6911,1236,9311,2015,9108,1735,7683
2292,5912,1822,339,3506,6076,3546,6370,9019,6443
7612,1454,1623,7238,4399,4784,8083,9991,1085,3754
7759,9634,7335,6463,4324,5974,723,3898,3283,1987
6771,5656,1880,8293,4692,7097,6717,7906,6302,5069
2868,2885,4790,3616,8552,4981,6036,2200,3072,8107
2271,2205,3565,4395,5926,5272,886,5538,4621,816
9238,1440,2220,1460,185,7492,6357,9447,332,8954
2123,3460,2809,3198,3368,675,2094,4142,6008,1951
8693,8389,973,6728,60,7560,3775,2133,3289,8557
9717,3399,8571,6795,954,1146,6564,9781,4356,2452
9774,7831,5166,6144,2643,6316,7022,3322,3795,654
1146,3600,4353,5725,8190,8628,1028,284,6612,1765
4085,4735,9027,9382,2360,1231,4945,6142,268,8966
4645,4196,4575,5584,7837,9934,4127,7004,179,2747
421,4004,2247,8556,5083,3724,6676,7743,9590,7125
9477,9607,8192,1915,4230,1920,6838,96,6856,4984
6342,1021,6057,1331,5950,3090,5214,9985,5861,623
9040,1550,1964,2625,9236,4738,133,5435,877,3200
7628,2430,2290,6740,3093,3447,6550,5963,5330,8839
4014,1879,9702,5909,4924,4014,913,379,4406,8925
503,7995,7026,6976,7231,6825,8035,6049,2913,6616
3242,8803,7219,6804,136,8434,5311,933,7538,4551
1497,208,9470,6806,3253,9401,5827,6675,1985,933
8252,1270,8320,6114,9663,1886,3763,1671,1404,6708
3365,1080,9896,6865,8031,2842,1906,4007,9494,3594
7722,2239,9618,3030,8230,2840,2484,185,8826,1884
7564,3854,5827,8529,7303,6873,8387,688,8042,1489
6475,8460,1197,2222,4061,1385,8215,4145,1440,1677
6153,9338,3330,4352,6948,2668,5228,9430,3566,2147
2469,7488,4913,147,5241,6622,656,4816,2164,7988
8557,4885,7770,5898,3599,1799,3878,6962,4549,5213
3046,9767,3898,9414,4175,6663,6302,2582,3619,7883
8968,4324,225,5660,8266,4226,6325,1943,7483,2314
9173,4008,8654,1336,8310,437,7002,8547,8607,9196
630,1014,761,1495,9867,532,8187,6828,6134,6135
8735,1116,7481,7864,9703,8966,4576,9684,9553,1511
2985,5124,1750,2899,350,441,396,6813,1264,7736
1048,9345,6522,4024,4282,7843,5777,4376,8345,4586
4125,2665,1154,2508,3690,1648,3363,2901,4664,7484
6689,6989,360,730,6316,7208,6554,2986,4396,2489
7709,9932,1902,7595,4070,4276,943,1557,5134,782
9778,3289,3462,7475,3849,359,7494,2489,7485,6908
4947,6773,1220,2116,6580,6673,840,9574,5597,5866
6286,9950,4400,4276,2506,1652,39,5986,5609,2387
1760,541,4954,460,5095,1493,6958,410,7763,9199
9043,9291,5795,3148,8006,325,6005,8248,3028,9147
