x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
14153,30526,26406,1946,470,25357,28579,14116,10620,1612
2966,8225,21030,14300,24917,23568,9781,21251,30941,22338
463,26653,6881,18197,12770,4818,28230,1422,11153,29265
30022,4550,31475,16741,9415,25090,117,29978,12433,29756
15552,16009,27160,11265,17108,20364,20102,452,17201,458
5704,4333,23869,30035,19396,30205,19443,30486,15890,3914
25698,32343,23420,16361,1949,24736,18543,22891,12232,30981
24142,23703,26711,22452,16084,32460,6323,31007,16070,31108
21885,32488,18290,21982,26908,25482,28797,5014,1022,12949
15907,951,6085,13961,20987,32561,20299,20768,28198,9436
24273,12705,8956,31947,10268,2177,18388,18737,17823,8280
13512,15786,13993,7360,18404,23538,25985,23470,20291,15966
28851,24534,29237,3839,9185,17967,32385,10928,10056,28701
26797,29396,13728,30933,17328,7625,29645,31272,23554,2523
13395,15792,11563,2241,2257,31097,25716,2345,21219,23505
8022,6332,27107,12495,16707,30285,30716,29810,27623,14749
28523,9890,2421,22404,20415,22285,3863,14372,7841,24651
6012,6171,20838,22640,21877,32400,28538,8271,3890,26024
22549,8014,8674,24379,17613,31435,8852,29071,18596,11815
5369,2739,590,24958,526,25658,23695,8621,14211,20289
6452,3867,26562,25439,19079,25767,24025,25987,14042,31145
2843,24172,14564,13598,421,9738,24381,10368,10318,9534
22894,31653,9653,22325,28179,15671,6557,23869,15019,10380
23210,8563,16937,23048,17398,28271,992,16113,9640,14273
7403,27472,10058,32192,31349,9818,11467,22165,15813,14571
12733,1532,13930,20391,23355,18522,24251,11751,31483,21644
22006,28765,25582,3863,27925,23056,6319,31337,20957,14118
9310,4876,32242,24076,32295,15467,20691,8600,8983,23191
3565,5681,2895,19677,19727,20897,18976,9006,396,20771
31336,29066,4340,9740,17885,15284,8235,24691,17895,9767
23917,7716,23662,25801,21545,24626,21348,22493,20533,21055
18596,10737,25949,16844,16168,5625,16232,1024,9834,27414
2957,28156,10688,24261,9504,15052,31512,13352,30193,16896
20213,1936,25666,29848,9271,19028,15111,14928,21716,23134
2499,20667,17951,26560,21682,29929,11502,264,28347,31967
31149,8670,8161,15633,11945,18199,27741,6766,12302,12187
12321,26550,11588,22415,1206,25912,29276,17572,29586,28815
843,27653,14205,14448,30488,26488,26187,28686,28579,3832
7354,10340,14471,9651,39,6501,15591,30974,6757,14683
22124,5489,16351,25382,11594,6388,2590,809,18000,19122
12999,13623,20056,6443,21951,14146,16407,9966,26242,30181
23237,26144,27391,2427,24448,31562,19465,30025,21339,10302
9030,27842,31145,11234,8008,29195,31600,18884,13656,16524
343,8267,17015,4944,25643,24208,17154,19204,10289,5625
28570,13847,1963,23702,23536,27586,1102,15064,10936,26468
12007,19648,22463,6006,14920,25552,18764,11666,20735,9834
6081,23730,439,25974,8263,5510,2180,19430,28611,32319
13065,30972,1515,31734,8727,26338,28002,15254,10242,30411
10815,3945,6304,11920,8938,26251,3318,25801,31402,29930
15003,653,25990,19437,23226,682,21676,10918,2021,27535
367,24121,7892,11249,23530,22645,1422,23256,16559,5274
10366,9818,19550,24934,31907,17359,13836,6228,1804,22429
9644,18113,13100,32050,13788,12260,11363,21970,22175,8723
28102,13071,24208,17319,4657,5518,18120,26,12694,12710
17662,12663,17131,3022,27446,12091,17462,5825,30914,23807
18236,27627,17374,28807,21355,15813,10595,12185,12856,4036
25699,11058,30124,6414,17872,12328,20322,526,19676,14036
11985,18369,6225,18256,6228,28964,19454,22504,9454,29743
21245,13943,10967,25250,23003,21603,21892,5556,21575,15609
22053,25483,26859,12856,9874,2407,9701,28807,2496,12883
18638,13070,17277,373,29887,25855,28262,10072,26494,9576
15314,27290,23811,29734,31322,13874,30597,8815,31469,18490
26419,3562,7170,26251,26073,22695,23271,24739,20099,18558
1416,11065,26265,22544,16557,23506,15279,13375,24453,4798
21198,30803,5328,17127,26453,17015,5915,5931,30146,3977
25038,4898,13013,27058,7338,29398,23950,29524,19969,15004
13872,19170,27620,13390,24615,8008,26254,6439,15269,7394
3675,7935,26204,28319,28611,25987,9765,27615,3846,10936
638,19764,19475,8468,29410,618,23984,6485,29359,27971
29430,3883,16758,28161,29050,18955,19665,25192,11900,30008
14283,7249,1888,31436,9178,13122,22845,13943,29887,26255
12412,17198,24506,23232,31597,26926,27121,21843,10610,1157
32507,30617,31221,20448,3879,6215,1258,32309,2463,2333
15426,31632,7002,8904,16544,13100,10228,18443,25860,13549
30821,23999,17378,21405,20135,7032,32364,17410,9096,21474
28147,23319,5124,7342,17941,7360,31469,3156,16461,26022
23842,17015,7022,3289,20200,17686,4333,9640,19335,10198
21994,29873,12382,22954,444,17447,3885,102,21363,21172
27193,27193,14700,11209,28651,13311,2234,23859,26311,3257
30411,2840,22198,6843,15966,25279,24969,23311,31208,15670
2831,7457,21967,358,10911,23897,9124,32075,2305,18928
31078,25319,5288,9910,4016,23727,13362,31971,32192,3288
22669,13000,24807,8677,18654,5431,31389,16722,25198,31983
25853,4874,12886,19612,16532,6121,1870,13530,10541,7843
16488,26247,27533,5757,18854,12828,11429,1507,14816,20729
23751,31096,3092,21518,1230,27029,8491,28896,14762,1080
17284,13634,18670,15856,16925,14234,23736,28552,9967,8572
28699,14392,5899,6824,6292,14794,15069,4123,3186,7324
25119,9064,18558,16851,3787,5587,9270,18532,25909,10863
29789,3017,620,30586,963,1448,26692,565,18675,28901
23313,18239,12697,23492,2244,23504,31616,32204,24282,24458
14534,24170,126,25039,4305,11581,14034,2331,12016,17034
10659,7578,25805,14471,18949,7531,28287,32410,29352,20465
5539,30270,18625,10251,22165,5223,5816,13598,3910,23522
27612,11125,18088,1741,15024,3469,27293,2703,16634,22102
17755,18230,19567,12971,31392,21227,5383,6220,17457,27045
20691,16875,20528,4211,2130,4880,32425,15269,1319,24500
5320,16163,13268,30981,32211,23132,26086,8741,26200,13601
12581,18338,787,28028,2990,14298,30972,27866,5283,14634
6885,6587,12663,21574,16803,7065,10116,15613,1780,24528
26627,12818,9185,23880,32272,2579,15631,1890,3648,6661
9633,23831,20474,9677,31731,4657,19153,29262,32434,14301
28825,3160,18437,5944,3406,12358,27196,5708,2354,19032
26730,21783,8714,403,15896,20312,15119,25824,454,19484
20161,21577,8775,3383,2243,2433,9590,30639,13692,27213
27949,2951,29669,23165,17572,8809,23134,21217,5569,2627
18737,24230,21676,20466,19227,17323,24522,1303,18883,714
399,17419,29773,1796,26383,12909,22662,31391,27201,3153
2004,32087,31482,5431,10584,3414,29485,27203,21875,25426
4049,9015,1000,13201,24924,8946,26191,27736,6500,8636
9795,1569,25492,3406,2416,31279,21590,19444,12876,190
15152,14222,20453,548,20729,21615,6805,5268,28499,5370
29269,11477,27545,22504,3541,9029,9417,1863,10368,20660
3051,11783,24831,9200,12591,2244,22972,20559,26477,4054
10856,29318,17154,11701,273,16415,27144,21173,20819,26904
20414,4922,22087,10031,3394,15297,25426,9090,9180,26030
11958,25337,12691,29430,17314,6586,31021,31207,8689,5141
16274,31244,30741,30298,21393,17847,2158,10800,1228,18403
23673,26990,10534,27735,6824,24240,13221,10761,5176,1670
2446,26187,15463,29318,29511,20795,12956,8039,2253,30063
6384,11507,22325,6989,28061,13433,19682,19761,2404,29524
23420,15602,29709,10427,5978,31281,26535,4028,1158,13292
28161,12394,28647,28314,8551,6583,11931,8267,3354,32436
21399,7675,3728,3722,5832,20474,18384,29178,25216,2347
24632,32540,30315,24310,22988,29593,15438,26429,4378,12694
8394,18410,27797,13732,5561,21843,21434,21515,849,23003
7779,25820,18092,31355,3484,8154,25066,18782,14782,5708
21512,15245,895,16644,17486,16598,5046,8697,16105,23313
24145,10836,10769,12211,11900,6270,32090,32308,31689,5753
11684,1798,26074,21090,27335,24908,23696,5176,29848,31199
10458,6500,9989,8605,18967,7394,28910,29909,16114,8161
1999,17260,8250,9106,16466,12382,374,15073,16532,17971
19434,9838,30395,20495,17690,7932,10590,2652,7310,20603
12747,5543,5890,11718,22087,17877,784,26006,3486,24709
30802,16332,8860,4848,15243,26730,5076,29231,13474,3807
5216,15969,16996,18764,25974,26639,23706,21151,8227,31419
31163,29709,14145,29261,30183,28349,17693,31219,29183,29882
24091,26772,14837,20705,7448,20081,565,10332,8690,1454
20705,30832,12175,11970,26218,28745,29957,23520,12355,20734
15955,2621,2972,5406,2168,12801,31892,10921,18342,16863
8356,11080,21241,12618,30691,22794,10727,24285,22963,22215
4847,32051,7390,21051,32077,26333,910,22154,21039,29007
29718,21067,19451,16512,24867,4173,2484,11104,30284,15652
1230,19568,19303,22574,28394,22276,8697,27917,21465,22027
31839,10773,14327,10628,13427,19021,28447,29955,22611,28137
15319,26658,19894,27011,1512,6178,17177,1197,16543,10012
21368,25321,24285,2830,29579,19454,23226,2234,3761,4722
25284,13811,16964,25968,9266,14957,1548,14221,7390,11804
1349,24140,26708,14237,17359,9894,25466,12004,4645,6280
2720,23623,24477,19465,12567,25438,11476,24085,21480,18967
19100,27915,2045,10056,18081,30516,5268,22266,20911,2050
16764,10832,25387,3925,8525,7481,29328,30119,27290,8600
12890,6208,20590,22211,3149,11402,7494,26250,8962,32041
9205,31511,18873,16202,29526,27172,7278,14564,22668,3002
15488,8723,4128,7267,17367,12122,3165,32368,27277,16331
7001,1576,12129,19371,12256,22875,15999,2887,12287,24681
8978,7124,19830,31727,25314,29588,1507,8161,30754,15161
5212,24366,13654,27979,14368,1276,12485,19351,18532,29118
10809,27688,26462,27036,11234,3304,27008,6242,8067,13386
32062,4137,9201,12227,3018,15901,14326,18894,25106,29156
9122,12840,31544,28605,20696,20898,13681,16955,3093,26696
29963,1422,3239,7188,1950,8621,23345,17787,3656,11597
29806,16353,23053,12471,19502,20193,27738,9509,27567,11761
4973,10445,19520,15907,12842,29639,15699,10056,16644,16798
13578,1697,797,8492,25019,3431,9791,25974,4247,17148
3175,11882,7279,30014,12495,6845,29675,31870,2,28897
16920,22500,1272,10534,14687,5757,5302,23262,10456,22171
3467,17423,27868,25462,6150,31543,15871,24443,5443,7815
5404,10291,20146,8629,23914,27307,17465,27797,26315,11080
32211,20474,31803,13943,23853,10123,23534,12618,17314,10727
363,3116,31846,1514,27294,3963,23757,287,19502,2936
8737,31950,6639,3551,15272,15395,7650,31251,287,15430
5479,6609,9345,6353,2121,18101,20688,1801,31497,3072
18343,8797,6963,30871,30836,28144,7465,8001,19605,11681
10871,8827,6235,8263,17649,14377,4903,25092,19153,1642
23131,7644,19757,29925,21549,15766,25292,16996,13935,8198
2826,8915,31279,13463,32058,10281,2949,26033,16205,4737
27234,8899,1950,3509,19644,28059,30727,5734,10641,1427
3722,22403,22793,26415,5697,21792,12643,22086,16286,19577
14333,14702,5456,13313,27283,26153,21615,22609,27841,15111
24357,8480,12946,27085,31870,24286,25911,23917,31451,1714
6914,1791,3698,13950,15010,7075,2942,545,2918,6660
12348,4866,18324,8661,18485,30080,32163,8779,31096,12689
17585,29780,24025,28073,15370,8459,18628,13545,2075,12695
26784,31620,15879,20981,5681,28256,21827,4105,26458,7717
276,5757,24298,18285,14929,23423,21045,14778,31419,21867
4647,29734,20817,28338,5281,6385,2354,27842,14216,1700
82,14829,12921,12643,3285,11855,17217,5054,30996,21551
29358,4683,757,25967,16911,13688,21133,16287,7644,2708
21299,2373,29826,7291,31096,3228,16273,16168,8963,3863
18815,30414,26254,11503,16536,11594,18882,28271,16054,7839
18716,10424,22367,31827,10333,23879,3055,7177,6264,15297
15767,6972,30519,9717,5291,21903,20559,27219,17651,20388
13122,8565,8284,2446,9269,8251,28471,26353,26102,18279
29453,25842,13407,5320,19586,14283,14143,13415,10354,6793
31405,3285,417,19265,24697,17211,18189,6246,27822,32163
26675,29609,17459,12694,682,11129,25990,26318,14657,6547
15719,26558,24813,6384,32173,8302,14787,26152,16040,9135
14362,29803,15567,888,20911,13714,28891,12938,20855,5654
10803,6325,8573,15226,4652,31707,27719,4568,1860,4250
17941,14478,7001,17570,13545,5050,22877,23892,3926,22415
26801,6182,7523,13710,17899,16335,8967,910,3151,23707
5768,16094,9200,12919,31882,7072,29148,27844,10903,19303
17485,19860,22310,15240,8779,11090,21640,26462,12121,11198
26478,21585,4057,27315,11315,3429,429,4144,23918,29824
18469,463,23815,2,2972,15003,23868,24386,15868,14241
5117,3231,15878,9193,22533,24621,17893,25541,4233,10315
5681,9778,6104,13832,20646,19806,22807,2025,6809,900
938,28576,21549,10738,19622,16898,7825,5252,18863,116
