x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
10535,46353,17977,29117,43294,43717,32363,8114,27267,38758
43494,35089,40618,3570,40783,27315,41759,31965,6185,29699
12356,8853,16302,35490,36422,13475,22358,11191,34511,44325
12418,37274,2890,13559,2430,15639,2422,7034,13025,24763
4317,31565,41513,16699,2219,10814,12707,18896,12733,34527
4710,3653,38439,20135,14327,29915,35244,22853,37769,22370
28101,12315,6479,22818,46489,45598,15796,14281,16840,9361
27360,11098,44533,31901,44933,28320,15385,36895,29122,40437
5261,9865,21085,23421,14444,17635,38782,43130,24619,13647
41293,46893,35051,27342,12601,40755,34512,43536,19477,14936
1325,24534,47265,46424,13827,46763,44616,24281,36399,21448
9963,4634,24848,32303,36978,22333,27970,14245,37047,29727
3470,32154,18775,752,27534,17664,33674,7940,38945,37443
15516,30794,28060,34403,23706,43679,5199,32720,16914,19469
6531,21808,13639,6202,40833,31345,24898,37693,21764,45934
37568,37652,26956,33121,18124,3198,33949,31092,16062,25517
10554,34843,27018,12855,16065,12946,26638,28853,12019,14685
10296,18921,45692,32262,21965,21453,4697,25946,4074,13581
13088,18315,21236,24500,37853,34512,41746,33444,29837,38749
39637,11709,13023,8984,37390,14472,12379,4622,18887,35869
13781,40287,4886,34413,6342,48828,35137,16705,7612,21387
36687,24314,21388,4242,30777,5664,28101,17583,22972,15436
2423,35573,42442,14155,9320,12708,25742,17635,40575,16840
4331,37695,39185,21148,1868,47290,5212,44692,44116,18613
31900,10335,611,18954,24998,36523,16915,46437,43691,13533
29492,7613,26003,17949,28956,46259,27620,42319,12345,6577
12936,21686,28254,493,36003,4279,2431,30408,18885,19906
31032,22431,13212,14258,22785,12824,42246,39075,39016,16739
6198,40042,13391,41515,27557,17679,33667,39646,11097,11433
17180,21921,13436,25544,19945,20117,8259,2091,7127,43138
4874,24800,42074,19423,29506,18621,9688,20225,40667,6503
6869,45940,43927,10650,18677,47552,24594,32145,35317,24753
43390,19587,17859,4739,14943,40318,9589,12618,5181,20133
30168,17119,26594,26210,2203,30408,42504,35015,35861,21135
7055,24465,18891,25844,41447,43175,27844,19355,38101,19924
6672,28935,28481,31784,45651,32121,44933,12828,468,26417
1247,29497,33142,11017,19108,45026,44802,1174,40687,24126
22852,10220,25151,17559,7751,14957,1190,22802,18331,1558
8592,1010,41188,30556,31137,31403,43537,5871,24782,36605
31799,35990,32344,27085,32718,11677,22042,31529,19536,3083
13284,37302,820,31083,45821,18132,1901,14589,13118,30408
29505,29699,40318,46336,29343,11874,26836,30551,31044,9575
35764,13300,19833,21263,2636,36367,33907,1751,36820,22842
6853,31947,4784,1692,32667,9595,18091,13267,18153,6601
26933,39398,18190,24880,21907,30601,7387,29697,30873,620
4608,35557,45648,5788,39335,9687,26356,29305,42240,13360
22075,29883,4821,22291,17403,24238,19768,31929,13448,35527
34992,40881,31793,13622,3221,36948,28482,14205,18114,11246
14034,40617,45575,20270,13667,43928,18871,40943,28599,25545
27990,13106,32188,16840,47027,24534,12539,11445,46487,26269
27961,19777,2808,30048,30498,36362,20351,18082,24728,19133
10672,18356,33119,34782,19937,20313,12772,41360,43289,44599
9955,25914,10876,29915,13144,40179,21187,13447,19189,13285
27549,31524,39317,721,36013,32263,7486,15600,42800,20353
28827,13906,1537,46769,23249,21218,33217,39183,5247,20790
1935,46771,21134,15450,31096,15374,52,4821,5985,31921
32000,27820,3598,6870,22645,3770,41945,629,12671,31345
13650,8802,34878,48826,8292,27324,19381,42232,32738,22647
278,37656,31306,16087,29044,46061,31530,46795,32885,31357
16904,26107,44771,4655,42321,44801,6157,37196,25893,5929
12877,19502,6939,23987,30861,14393,25844,17171,36197,27832
12412,43758,13364,45327,15755,28126,21153,40563,1765,25822
3770,13994,35084,14421,10329,31634,19965,37047,12402,33076
45596,17074,39603,21318,28853,40880,45288,15417,4094,46502
17976,18904,12518,6283,11597,19438,12859,21225,44659,33950
10107,35487,8240,26286,45576,31366,16699,19386,7388,13183
27396,13649,20866,12199,35456,45158,24808,30955,36363,38710
17890,18431,39289,12650,35540,41999,4062,7750,21297,13160
36576,31931,18337,26955,16443,21994,37825,34191,13033,34852
4089,33289,16402,38562,33119,14134,15218,22303,37445,30091
12340,14149,3745,22092,40852,12752,32359,31477,32426,9935
36709,21988,12546,19329,13470,17912,41115,6585,13045,15698
24535,45080,1166,4362,35541,25545,47816,35556,35250,40194
12429,27437,6992,16906,14892,31454,24520,11387,18886,30311
19528,15507,38765,6598,10649,2058,13359,26424,13300,11289
44246,21104,31732,5300,11702,41743,46210,40022,38884,7383
13049,41900,33829,18947,19527,30592,18776,37615,13958,30961
45405,2808,20394,36042,18315,20418,3148,28017,17920,21488
9665,21446,27370,3659,32719,32234,7058,34594,29086,20171
204,13425,21508,46750,17127,20726,11809,43170,41295,8928
8573,16942,29210,14513,43886,34580,13596,32304,31082,18427
1157,28127,31276,15616,23107,21853,38430,12996,23132,42548
45101,5952,38781,32281,22380,18676,11059,44171,33063,44230
46336,16788,35086,28515,33695,1272,991,44863,28326,48813
27718,12818,8108,36910,3073,24598,4199,42392,41635,14455
7217,13387,7485,16201,30913,12373,14920,29742,24642,251
28796,36872,15669,26875,13391,23614,13851,15220,32187,13364
25199,1696,12711,1811,580,19768,41230,41613,34379,44531
33801,13472,42946,35773,39448,7799,11658,45352,9588,22940
41778,27855,36832,21982,21945,32071,11845,2198,4004,43240
39199,4094,4657,509,12499,29210,13691,33780,14324,21508
