x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1288,7266,2422,9057,2735,6433,6416,4512,6904,7328
8159,1636,664,6679,9214,2868,193,1532,4222,3183
8577,9635,6696,3178,2373,283,8324,2466,5911,814
9055,8158,7430,8282,5768,6908,2475,7942,4576,1030
2022,1052,440,5830,8558,7850,7538,5837,6415,4232
9056,6285,695,7188,4235,1799,2733,8275,6082,5321
1522,8311,2609,2565,2865,7449,3630,3406,287,669
2245,1586,5491,5155,182,8675,3025,5726,2672,7062
901,8472,254,2265,9817,3151,2833,4152,7906,8418
854,3890,6255,1921,4391,8184,2190,4516,9809,5998
8891,1292,1472,8859,4194,6607,6834,373,8669,4692
4528,5229,3613,3580,8693,338,6733,7738,1669,4465
8429,5047,6500,3151,3239,9809,4930,7655,6849,9516
8937,2965,9527,2196,8240,3612,4603,5084,3782,8316
1802,5250,2771,7332,6187,3470,4545,7565,4996,5750
2016,2123,7163,4853,5622,634,7525,4220,1552,1790
8647,8473,4623,5265,36,3874,9895,7793,6033,5353
1236,1069,3874,8254,2308,9879,8776,9984,5955,2579
3441,4315,6387,9277,9552,3303,6227,3262,335,8023
760,4449,8987,266,7655,1517,105,5890,3966,3951
8397,6908,4062,8528,1204,599,4477,841,4131,3513
6849,6521,7278,7493,7479,8998,9970,33,5491,2673
1816,1558,2695,8531,5201,9443,293,7157,5007,9816
7326,1034,4776,5889,2585,5396,4334,7903,5886,4481
3379,2457,6986,3224,4969,6026,9707,1475,3940,3091
3514,2701,5134,6696,9663,6025,5756,6093,6908,4595
1879,5876,2014,8629,4014,2329,9366,3058,4736,3273
3507,9066,5921,4654,6683,5220,9889,8441,2296,8112
9817,5450,1430,2509,4826,4713,182,3675,1794,8204
526,4388,755,7207,3015,1844,2211,1416,5241,8874
6081,4426,4454,1568,5782,6446,5942,4961,9326,8911
6432,7579,3640,8081,4658,967,381,6951,1090,8642
9453,3956,1625,1931,4632,1723,1112,5265,2072,612
7640,5464,5375,1764,3664,2701,7446,8778,3749,4625
7485,1217,4465,2742,2340,9388,2508,2874,7188,5713
196,2956,8539,9807,5504,9125,9269,3097,4281,2373
3363,646,3343,9566,2684,2467,9625,7485,3507,5687
2777,3546,4635,5704,1576,5312,2014,6153,6650,4551
8528,5930,7747,208,9757,8613,440,3111,9993,5250
131,6970,8434,8998,8803,9585,450,6136,1236,9818
9336,5783,6042,5689,2400,5678,7771,9170,9870,2360
7702,5554,8978,3566,4069,9024,3715,7104,8992,4221
7181,3390,8268,3709,4547,882,7770,8228,1763,7449
8270,4442,3168,8451,4093,4988,269,7508,8358,3288
8539,8011,8954,7922,9681,8347,1533,3276,7646,8165
942,4303,1769,8200,2314,8594,386,576,2663,3540
2090,5993,5730,2250,7275,8785,9312,775,7582,672
6771,5670,728,5514,4853,2878,1371,8710,8195,2239
637,112,3708,4131,3089,7201,3275,4779,7209,2245
8004,4502,9652,4082,9847,6107,4220,9473,6834,9236
8794,145,6988,2139,1963,152,2865,5663,5252,2841
5509,2669,5354,3419,9519,830,7869,305,2455,7561
6873,5338,649,5011,7513,8112,4314,4502,3568,1912
9901,2865,5683,9351,6289,6306,7651,7928,8955,589
1912,2139,5015,2003,3732,8460,6081,3208,265,9532
673,1178,4350,5450,6163,7044,7246,5074,4704,5329
3390,9765,525,8826,1447,1513,9980,6828,6580,447
320,4938,5566,9555,2102,2566,497,6924,509,4952
8034,6215,5750,6800,2794,9122,2770,6898,2309,6538
7064,8796,429,2874,8260,5614,303,1350,6355,5154
4873,6463,3098,8489,2593,4606,7958,8700,1719,8421
7440,1941,3373,1706,8625,64,7873,7268,1841,2616
1528,2742,3283,4978,6606,8261,5123,2016,2938,3814
9878,2753,7795,1028,1352,3955,9600,3484,2443,2117
6911,2129,394,3106,9825,1720,829,7490,1671,9077
7590,3732,3270,1760,5183,4437,1409,5042,1776,5560
6178,1769,4648,9912,5640,186,3301,4815,2026,1289
1547,5732,6306,9811,2793,1759,633,8924,5183,407
4776,7334,2072,5266,7921,8011,1736,8293,4314,2885
6285,6445,8667,1539,1494,6455,6153,7560,7335,5007
9482,6370,1574,1806,8023,1265,5860,6433,152,2010
8730,4437,6804,1004,4141,6822,3207,9332,4779,7586
4076,3111,4204,1158,7420,4693,2698,6421,5833,3663
287,1252,458,7404,5514,6438,7744,4681,7108,4701
9914,2351,2822,4275,1167,1932,3978,5201,1295,8404
6385,3625,165,2382,5498,2889,4659,5704,9685,7366
269,9527,6702,4555,4903,6872,9886,2617,9827,1482
5834,4163,5984,2804,335,2382,6222,8767,1112,6599
5413,8417,587,256,171,6248,1338,5581,8553,4938
9187,9903,8936,8990,4622,3570,9375,5949,5561,5581
2076,5752,6298,5702,1847,3248,9063,5573,5733,4937
6506,2196,4024,4545,8005,8604,5333,7228,7263,338
3951,4454,9879,5042,1306,3940,4606,854,8659,3365
1536,9778,2811,9171,3739,1781,6976,9629,7749,5037
7922,4056,2521,7315,4487,7326,7334,6407,1036,8937
2815,9614,4460,9575,5649,695,1249,7120,9912,6086
1315,1585,9663,7726,6088,2247,898,9601,4220,9087
5586,8423,9453,1066,7831,4307,9993,4780,1578,659
484,6800,5711,5229,5452,903,4257,4240,9443,9453
2675,5215,7332,7342,6402,7608,7646,5908,3535,1669
687,8992,6581,4278,4876,9890,8115,471,481,2027
509,3253,3498,6622,3847,3435,1815,2026,6171,1871
4093,8622,1281,8908,5710,8685,1865,1917,7656,8462
3944,5185,9059,2937,1054,5214,1957,5020,2016,2238
8829,2771,9351,7331,3084,6628,4181,7658,8777,3758
8771,4625,9900,4607,6091,9171,1291,100,9375,4460
2645,6722,971,6072,6525,4033,5477,7108,343,7182
6089,6960,4281,7675,5034,1472,3760,4531,1700,7134
3709,3754,2000,4426,261,7979,6707,1474,7187,1446
1112,2828,6564,2251,3632,1749,7378,8081,7331,3307
9987,3612,3712,1087,8987,1909,4622,7493,4603,7612
9031,2309,1539,5769,406,9517,6071,6134,5035,8613
2398,2455,5044,6500,4425,414,9643,8442,9383,7743
6359,8246,5076,571,8081,4705,2946,5938,4947,5590
9038,6665,476,6698,8284,3956,8476,7757,2934,2935
9886,3760,1204,7335,3216,3507,2424,8785,9713,9283
7943,2960,482,7013,5984,5984,4042,8558,5881,7108
605,5506,1503,1700,7992,8472,8148,7753,5080,6948
9902,7814,2503,2238,8815,9503,6908,5566,5325,5026
4531,3224,9966,6652,8229,2317,6643,7814,7101,2003
439,6415,4690,3888,9516,5478,4450,5812,8697,6042
7778,8266,7288,2228,6922,3697,5328,8053,9516,356
5942,942,236,9303,3978,799,6210,3782,5960,6221
7635,5736,3470,6587,1006,5832,2774,8351,1176,1587
9154,6919,8835,7046,365,7393,2663,4065,7453,6438
2641,6798,2508,6359,3126,944,343,7608,829,5396
1601,1521,3796,1879,7545,2684,9849,6813,9900,6040
6670,9038,1316,8618,4213,5997,901,519,2771,1832
6235,6055,2871,8315,9277,1990,7279,5470,30,2529
6136,5462,1028,2833,3335,6903,7321,447,704,3955
8143,6659,3371,2299,3168,2742,4481,9428,1567,3003
4779,5992,7621,2935,8143,284,5094,3432,5134,220
220,1872,4957,7101,7423,1704,4235,753,2958,2811
2271,4499,3008,7814,9673,6524,9527,5790,4052,7656
5921,6562,8683,2521,4778,5188,8342,9029,6365,528
7958,7944,4124,337,8397,1329,3388,1567,1932,2052
228,620,8004,6152,9317,1935,3697,2380,3818,4769
1250,567,2288,4692,8578,8954,2359,9607,6326,6660
2410,5885,2292,1651,3888,1303,3795,4076,8490,8191
649,3584,9768,7488,955,1134,9281,8875,6464,394
3663,1900,1474,9005,3956,1963,3757,8596,227,6142
254,4924,8202,3034,6652,9673,961,11,2282,3581
3096,7271,3388,8144,6025,3814,9985,2626,5356,5962
9542,1548,4273,6675,1239,8715,1197,6733,9437,3008
3269,8464,7787,4072,7964,2186,9911,1106,8084,7397
9587,6769,7651,879,4645,5527,7573,8923,3645,403
3280,7831,4668,5918,9350,8672,7508,6033,7000,8592
6162,1513,3086,6972,5960,326,2822,1484,6863,8859
5448,3233,7373,9805,9993,9404,8055,4895,6386,1197
8043,2392,2404,4196,8508,5739,1251,9172,4562,3038
3461,3466,6898,9823,112,1928,3647,6227,1508,2247
8624,7510,3100,3687,6072,7437,5931,9642,3329,4033
2368,2265,1532,7915,5126,4723,516,6609,4013,153
2207,7351,35,2680,6234,21,3888,5786,1078,546
4684,3066,3495,3746,904,7321,5674,3495,5720,6670
2190,5110,9752,7181,7666,3283,1532,9506,6016,4158
5960,5809,6254,3596,1762,3010,6736,2487,243,6475
6924,7446,584,9903,5592,4769,2646,8426,379,2596
5464,7382,7323,2410,854,9023,3470,5860,3774,1195
3392,9103,8702,5563,5817,576,6527,2285,571,17
3335,3607,8442,5794,8659,8550,5871,9889,703,8122
1461,4450,8373,5327,6538,4611,7717,8727,2684,3895
8604,5735,2665,5057,6396,2918,8527,3632,3604,9827
9316,2106,7594,7269,458,3025,9755,5645,6996,3150
9677,6656,4243,5768,7328,7775,4336,2660,7774,291
9642,4334,5060,4024,7490,7495,7219,6372,5097,6675
6988,9453,5393,4848,6288,7203,2245,5308,4724,9864
9358,3373,5504,3235,5658,1434,8315,3800,4303,179
1030,5947,6753,2815,2098,3745,6893,2511,3027,3058
6308,1248,8007,356,8032,8035,5736,9231,9365,693
8938,8462,4362,2839,2586,5866,5475,9832,4957,6255
9231,5730,2997,6093,5205,9154,5802,3737,6161,2022
4529,9715,3513,2835,1205,7656,2885,4304,8025,2470
8929,2373,3744,1280,4757,3564,8700,5955,8629,1085
6742,7873,2395,1629,584,5735,7580,1375,3859,6305
9208,6833,7203,8622,6485,8200,6355,5180,458,5318
1430,750,64,7778,6264,3889,9273,3362,4815,3902
7458,279,2712,6136,7449,2938,3514,3938,429,2585
1333,7696,8061,3361,701,2735,1354,1143,4366,326
2873,1897,5955,5241,3540,5663,9864,7993,9196,7735
2382,6026,3798,6767,4913,6283,7155,6674,8441,5504
5555,9701,7999,3150,6197,5511,4779,6347,7928,666
3673,9554,3522,882,4377,142,4700,6878,4912,3702
4334,4684,9094,5037,2733,2635,5076,6166,9321,5015
5885,8285,9760,796,5794,7767,6463,8490,8397,999
8534,7003,397,7334,6423,8273,5768,7594,1826,2352
4344,7922,8358,3209,6844,9857,9043,1547,789,9625
3262,7284,3630,8211,3625,2871,9034,2407,770,6298
9048,7070,5890,4752,715,6742,1891,8333,9027,5173
5395,8133,8473,8693,9870,8884,56,985,8762,6423
153,9029,8140,9586,7167,4499,5733,4467,4611,2115
6365,3762,7723,4058,1417,2833,3532,7254,9523,3494
7208,1865,3458,6047,7120,9456,4786,8200,8495,7850
1835,6430,1505,9644,8016,2410,6525,2550,8090,9566
4752,8117,3426,7656,1874,4551,5918,5416,9828,9763
6898,5949,880,7776,6143,365,4663,2771,6922,4668
9076,5011,661,9054,432,1806,5884,940,4733,5591
9500,9920,2474,4512,6107,4778,3718,3261,2935,7086
2296,2660,571,9611,1166,5281,6974,7188,7616,4312
6596,1036,7831,7274,416,6643,7293,5433,898,1014
3498,4771,642,6908,9623,3788,9010,3564,5026,7849
5524,8558,3316,4560,8285,7479,5681,1654,1055,9804
1053,7549,6904,1897,6494,1173,6103,7087,8826,3316
9066,5360,4872,6384,3822,5412,8539,1402,1338,5681
1822,4562,7636,3793,7689,2368,3793,575,6315,5308
9062,143,8299,2190,4311,9807,6041,9995,4656,2221
7231,5646,5452,7490,3791,4350,9629,7101,7293,832
3151,6727,4598,4319,8187,3150,1874,5229,1685,5470
1661,3990,2960,3334,4472,3754,9614,9557,572,3645
8190,8274,1576,1571,2100,252,2072,7030,4755,2398
9517,2657,5606,9707,2251,4495,5998,4912,4025,1806
8925,7365,9022,4625,3499,9340,7590,3540,417,2296
2746,2673,4808,4554,2377,6632,7129,5989,4544,4273
8051,339,4664,9643,4312,9524,7753,2847,2546,9748
379,2382,2484,1578,3461,5876,476,3030,8439,3319
788,2641,417,5236,3849,4058,3189,7656,1837,964
8347,3846,4785,6160,3392,7209,1004,3363,8444,3402
971,2067,3288,2294,8120,4691,8034,3151,3760,6071
5255,9985,1519,8061,7131,1835,6152,9140,7746,186
1176,2727,4903,3071,1134,4619,2247,687,971,3978
5037,8778,521,4627,8236,2841,5527,6859,6039,7892
3120,7443,474,8270,2352,4138,4445,8447,9765,343
9788,493,8421,3735,5253,8324,6813,509,3482,1729
1066,6423,9629,912,587,417,8157,9520,1385,7243
5663,1826,559,2959,713,1832,1750,8229,8577,1066
2467,9867,4560,1558,1571,1401,9988,9900,4230,3089
3568,8090,8594,7323,5874,6647,1643,2076,5354,5616
653,5987,8508,1306,5154,8318,6396,6039,7804,4243
1102,7946,5253,186,4481,1336,8472,2320,4163,597
6618,1549,4366,8911,9927,4460,1753,3383,3570,2211
1874,7573,9340,721,5816,6911,9817,3946,3388,6706
2751,5674,9138,7479,8565,1540,243,3126,8874,3593
562,6345,5777,9373,9124,303,6752,9066,6494,3100
3672,1055,5426,9585,9914,837,617,977,2417,6396
6833,7207,9358,7233,6821,3086,8087,236,6002,9125
3769,1805,3022,5573,9632,8712,3597,2131,643,8991
2847,5066,7793,6911,2983,9878,2423,4131,4221,2090
2096,6438,6530,1891,2645,7263,6433,4705,9125,562
252,33,8228,3275,4127,728,2936,352,5232,6125
2684,7244,2190,6863,7415,7549,5586,4903,8007,5596
7757,6555,8148,1316,8990,4869,5980,7388,6369,7878
8236,8681,7557,1193,8604,9321,5368,7818,5812,9388
8642,125,6432,2407,5801,4426,9081,314,7348,6521
3253,701,1309,8117,5752,6767,2812,6107,7793,4563
4627,2839,552,3914,7398,4725,8056,5011,9972,2291
2387,5566,9682,3262,3165,8270,6670,4534,1517,1487
1585,4196,6004,4580,6587,5498,9975,9336,6166,5524
6734,2674,5657,8126,9932,4640,2358,6789,451,2742
5928,1127,6587,9660,8030,6691,9522,2552,8783,5255
5266,5197,1620,7044,5704,8148,8855,5835,5918,9980
6546,6173,9451,6494,233,5750,6609,2868,2646,661
9586,2422,4539,9487,6578,5809,2815,7094,3230,5730
9748,7982,3030,7201,186,563,6155,6026,1879,1771
1571,9587,7131,7873,6227,7,8646,2628,2319,440
1866,5704,2874,7828,5559,9199,9589,5305,2186,1845
6607,546,5555,1315,3494,7793,6767,2213,4700,3893
8681,5710,6132,7999,1866,9507,3056,7280,1968,6752
1552,5871,2213,6859,6607,3236,5252,7131,7747,766
8217,4776,9759,7120,6621,2537,5993,9643,4381,4681
6484,82,3207,8397,8810,7566,210,778,7720,9411
7696,7315,4918,9917,9199,5037,2808,3746,2338,526
7753,9876,7182,9339,9099,7627,4013,7605,4466,7523
3791,5324,3540,9629,8792,7267,1676,9694,476,6415
3593,5998,6606,2467,9480,9886,7326,6892,8588,8010
2400,8561,1291,2059,8156,1275,3066,7201,3663,8604
5247,8646,2544,8727,5026,5321,4460,948,4462,8001
9643,1038,9236,5169,2663,36,1261,7335,4388,3186
1359,9467,7804,8906,9601,1453,5338,252,753,185
576,414,7780,1101,4796,3331,2123,5917,5215,7204
2536,2755,3822,5312,6979,6919,5297,2164,3022,3037
4220,2282,2552,3640,3535,9333,9358,7982,8834,9359
855,3363,7493,7418,9948,2756,9552,287,6699,9269
1316,2479,6292,3879,5011,3597,7656,6003,892,5988
1318,5720,7873,4743,3709,7457,6635,6544,1453,3870
5790,291,4032,3946,5921,8084,6914,695,3183,4281
703,755,9373,5816,9600,3645,9487,2815,1513,9545
7814,2075,4642,4390,7064,2455,2422,6849,8447,9365
460,8,8618,3066,6596,6586,9203,8140,3528,6643
7108,3023,9758,8103,9717,6328,5261,5294,7405,1507
1931,238,1652,9034,236,855,9903,5090,9973,2937
2929,5631,643,3331,2508,8134,7470,8897,799,7099
3602,3460,9487,394,3788,8596,4878,7510,5037,3004
2918,129,8137,8700,6412,1214,661,3503,8623,4334
659,5192,6974,5709,3782,7709,1369,5709,8299,2395
3890,8432,30,2794,8778,3338,7064,3830,8425,5139
4326,7401,8415,9460,3760,5992,3098,713,5219,70
2936,6892,2487,1884,7709,5224,3174,4233,6407,4539
3353,822,7415,3890,6635,8117,2455,711,2106,6384
6525,105,8772,5283,645,5659,3120,723,5947,5254
5911,3303,3244,1337,1238,8010,7947,3037,7274,4752
4889,7746,3731,1445,1473,4785,5371,345,6486,6552
105,5445,1564,7731,6555,6538,1048,5904,8404,3086
4640,7993,4852,1354,4168,3384,4743,8387,1327,215
4959,9889,2090,3744,9531,9102,8418,1739,4950,103
1911,3498,1641,7661,4328,4841,7046,4957,7004,7378
7663,3630,8710,8415,5395,3977,6025,9827,6734,3248
5183,5782,9849,2090,9477,2840,6637,9005,9195,1805
9443,1911,4562,2672,5775,5219,7739,5034,3307,5513
6793,157,8476,6638,8474,9643,3433,9980,5281,2537
8263,2417,964,2014,9864,3606,1495,7696,8890,6898
7767,5984,5318,9099,1654,6416,7628,2126,5640,9811
5756,3441,3721,6010,6225,6865,9096,7234,6972,5832
4978,7211,1685,4966,1768,11,4991,1709,5987,9311
23,2794,2290,4681,7030,6778,8718,5993,9921,4908
9487,5123,1895,6653,9855,7651,2632,6307,6578,3027
7654,1053,4260,538,2370,1578,9601,8043,6928,5942
5993,3793,4982,3528,9303,2265,4534,2761,6292,4723
5827,7461,2123,8373,9375,7946,5968,5756,2285,6326
3371,643,4370,249,4663,625,1295,7378,2617,9106
6042,2000,9644,8604,3894,8453,4687,546,9311,6647
1006,1486,5478,7244,7873,6793,5739,8925,2769,3977
5884,4560,3878,4307,3027,9358,7108,8616,2432,3280
5635,3873,7007,999,9030,5032,3040,8677,9857,3247
4124,7269,269,5214,5136,9707,217,8055,5384,8299
5360,7892,1753,2669,9575,2847,1417,525,2804,452
7770,3535,9406,2845,3235,4830,9348,8061,2863,1908
6415,5393,228,9684,2152,2079,3994,6922,1978,1891
5591,7964,202,1292,5241,664,8618,3244,8061,2196
5281,5567,6326,8261,4991,740,5797,6015,577,9277
2521,1645,7213,5654,2791,2605,6562,7744,1974,8999
8673,1288,6600,5960,3773,8851,6804,1545,2123,8596
8188,1685,2646,6647,5384,239,4304,1747,420,7658
5952,9124,7437,6833,4878,3402,2983,2422,6264,3106
1055,7739,9857,4127,1723,3773,5318,8188,775,741
2665,7753,7324,9900,7894,1693,6372,7243,7005,8531
9811,4725,6134,6302,6903,9487,4607,1865,9056,1367
5462,4852,841,2552,8399,6458,5396,9515,9233,1839
1739,8210,7214,7983,6153,9357,6729,3354,7549,6911
8960,8327,1303,9130,6136,1548,2309,3637,7401,9130
6227,1771,2166,704,9437,8056,6048,8993,1789,4724
6643,5911,1143,9538,9886,4878,4423,5565,8998,6691
8777,2026,1763,2675,1911,1132,2544,7332,2869,8133
3089,7208,4082,5328,7388,1822,5622,814,3010,9504
5083,3715,3612,1841,5124,9984,5967,9039,3111,4025
4328,5463,6765,349,2129,4534,760,904,9566,1737
5769,9283,7133,5590,8123,3709,4952,9093,8085,1780
3739,3528,286,6924,5405,3004,4152,5155,587,9351
6597,9557,6184,4779,5931,484,4744,2918,4252,901
4786,516,5581,4499,6554,4198,723,4375,5011,517
6086,668,6656,4043,147,1487,4198,1990,2918,1768
4829,2253,9756,718,2537,2598,417,3086,3495,4663
7552,6587,2283,575,1829,6546,34,8835,1158,8728
5813,6586,8625,7646,1964,4622,5659,1891,7208,5913
6767,7187,6722,8796,8377,1376,7818,5627,8532,3665
645,3739,5292,3800,2874,732,4623,5073,6600,894
4841,1574,9988,900,1462,420,2288,147,3371,5649
8834,1822,861,5756,8451,904,9934,5898,7404,5997
4723,4704,9082,3973,5930,102,8966,4560,8527,8656
2550,6432,8216,7042,2329,546,9758,6670,6404,8684
493,4009,4052,2611,5742,4755,9437,4684,9039,8715
7188,7552,1513,1416,760,5889,3737,9552,8318,6433
4232,9373,2218,2401,1371,9611,3137,8367,611,8798
6357,6178,8265,6415,8912,7602,7131,8796,9831,940
8056,6446,7234,7552,9644,9629,187,3235,2380,8137
6869,6187,5635,129,4636,9496,3402,4829,7550,7321
2729,11,5947,2295,3532,4340,5554,266,8561,5229
4937,9269,3564,7159,9984,1532,2090,4147,4029,8967
1072,9140,5177,1151,6010,447,567,1366,9817,8159
5657,759,668,8680,9980,9617,1472,4442,4705,2568
7423,406,6370,7703,266,7612,8063,328,7442,9271
1972,5526,5169,3335,1736,6279,103,2278,1753,3567
9531,1536,1559,4736,5035,6652,1871,3947,1267,1595
6637,9520,7770,971,5635,314,703,5173,8604,4024
708,6922,6922,5723,5416,9903,9321,3872,5566,4742
8264,137,9350,4375,7505,9493,6017,6361,8123,9094
4725,9076,7818,4198,4734,1112,6725,7011,6037,1890
149,944,5561,9542,6488,9771,6134,3687,8681,7582
9849,3291,4821,4298,5568,718,4485,1968,6725,5605
8875,1832,2842,3956,6609,7131,3935,9780,424,2479
626,4445,7726,6168,9025,9713,4841,4570,9701,8631
6173,458,3956,417,4443,149,5294,6599,1197,4470
6125,1750,6908,1167,3846,9701,925,6037,6081,4636
584,3894,8727,1338,82,1167,8165,8889,894,56
4993,1847,2986,928,5698,7510,789,6485,7398,7649
8474,6844,5726,5341,9421,7586,5571,7464,1929,7207
5836,1306,9780,2417,3895,396,1866,2811,1360,2959
5640,1737,4367,4483,4370,4839,1072,6752,3533,5752
3362,5180,1238,3426,1251,7857,9456,5733,5266,8495
1283,6644,3719,3856,5464,7811,2062,3844,6789,8634
2889,6224,562,4704,8680,704,944,4499,5077,1627
3630,437,8677,8014,1949,7493,1564,4436,6124,1231
8508,901,800,3131,3483,2793,7934,301,6026,2501
3462,6527,7702,6347,8457,4168,6347,4460,9078,5799
3540,2340,1891,3289,7510,6381,3846,1205,6217,279
1675,8702,577,7216,4358,4743,9412,1054,5036,7513
5280,5962,7209,1036,1826,4252,9796,699,6289,8056
8889,1505,413,3664,7214,1066,7757,8030,622,4526
7787,8165,1475,2630,971,7293,5342,1383,4232,9140
1472,3406,6139,9423,7401,6145,904,6189,7729,6279
8826,8550,4744,3442,179,3076,1523,3522,8677,6287
1164,2093,5073,7280,338,7271,6587,2585,9530,3873
3997,6365,3935,8561,6725,266,1401,5192,2129,180
1367,9566,6285,8697,5229,3791,2402,8967,6898,2337
4798,7707,3273,2163,6017,6675,5960,3183,2950,1009
4472,4793,3758,7821,5573,1651,1446,7964,3470,1409
2250,2999,1700,778,9918,964,1343,5942,8785,9009
2811,5832,7796,2559,407,6135,7438,2144,7505,5971
4974,1281,4611,9252,3580,1964,590,793,2536,793
8240,2352,3946,1768,940,577,5513,8839,6202,8624
2239,9847,1790,955,3373,9763,5197,7921,5581,1753
2188,9755,1069,5683,3607,5094,2068,8946,8594,6821
5587,978,797,3796,5566,1917,9876,3666,266,3840
7268,4713,6959,7203,9213,194,8263,5864,2398,1508
5387,4477,9555,737,4154,7887,8875,5674,210,6039
1641,8820,855,6960,5707,3301,8588,186,822,2905
8210,9531,3172,6632,3995,5183,9351,5487,9269,3140
3264,2582,1884,2802,478,9252,5917,4642,7327,304
5752,9189,2408,2188,3640,5241,122,403,989,6166
