x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
4460,3441,2668,4026,1352,9677,5571,9332,856,4663
8023,8188,9484,6044,2320,3973,1009,5477,1719,3383
651,5894,2546,7293,8354,770,6308,4362,3086,3426
3386,8015,3116,7028,4371,9291,7525,1743,3743,6124
1651,7420,1791,3100,9623,8081,6525,6071,2869,7209
5219,8413,9269,8141,243,704,5597,9477,8439,3084
5801,8495,4723,1739,1662,5783,7159,730,5027,9720
7748,6307,4830,2407,1343,5371,4207,1874,929,4326
3555,1987,2938,4180,7943,1551,1375,193,2550,3075
1343,9133,4295,6676,1623,2806,7442,1513,3319,4140
1167,4362,6598,1472,8715,659,6734,7466,9580,5736
9189,6793,5240,4784,971,6497,1992,1053,1468,5143
3365,8829,5871,955,3565,3673,9543,2486,7181,5834
4420,9515,3888,737,3666,66,6320,7552,1729,6732
6145,3129,1151,9071,5563,5518,4808,4278,5930,7464
1571,1951,6924,6155,9364,1939,8785,5535,2641,9686
7706,3911,4303,8158,4618,6706,2457,7479,7738,3760
1747,5732,2317,3859,4736,2565,3602,1343,8829,8955
5640,7188,2106,6696,1946,6449,6081,6289,8222,4336
6500,9523,3150,3253,4462,3216,3978,6539,3127,6416
349,4747,2937,228,6976,4642,6091,352,3898,4220
5139,4717,2466,318,1974,7573,3099,5725,8358,3629
856,2314,7267,9150,6316,5535,6855,6655,6464,283
460,4912,5491,3944,8238,1101,2793,9277,7398,6072
3004,703,1783,4058,4690,5983,4935,4212,1548,2560
6058,3053,3687,8299,8999,6446,9215,6596,9639,9094
880,2228,2218,5257,5350,4213,5057,2206,8815,8771
4207,4526,5616,1857,2671,3427,7108,4011,9758,268
4336,8592,3533,1900,7606,7586,5587,1715,4184,1723
8608,5,3604,8495,6678,9519,3942,9629,2203,4122
5817,7787,5154,636,4947,3310,6171,4830,5325,2769
793,3990,3665,2746,7086,7052,8453,9762,5836,236
723,4854,5613,9520,6628,3189,6248,4740,1367,2848
6872,637,3532,4952,213,6725,8686,854,6246,3102
7384,3207,7613,4008,3951,3719,381,8798,9809,1835
497,6486,4515,3845,1536,3630,3629,6406,6486,6027
8284,7458,9169,6384,4366,6168,1028,8555,1036,4408
843,8439,1061,898,9765,7993,4933,7818,1603,7004
9580,9601,9678,9158,291,6368,1312,6386,503,1865
1564,6357,9238,5192,8157,5321,4334,349,5156,6178
7946,9823,8943,2404,479,440,4481,8715,5197,9668
8672,8625,1665,3334,1303,9019,3027,4152,4011,5338
3610,7579,9520,2811,8251,9876,9169,8473,8109,2404
659,4100,7356,8794,9244,516,6966,5139,3136,6227
6926,9029,4939,3596,1551,626,4752,11,6911,8351
5398,9252,8894,5713,6727,9975,3515,5466,9347,9297
2010,4233,3412,314,3235,9187,2143,4826,8681,4747
9030,5466,3281,7208,9587,7490,1614,2872,4755,1440
8345,8773,735,6160,7702,3428,4632,2126,7029,1283
2929,9189,9281,6893,30,3845,3753,6434,8683,5080
2319,3316,2402,4750,1279,3709,4344,8762,9507,7244
9022,8087,1871,5565,8792,4133,4440,4681,1385,3402
8655,2333,8032,5657,3898,7892,9332,9668,5321,8128
4032,6033,1720,5880,5554,2072,2509,5833,3545,2538
7661,9375,5885,584,8829,526,8156,8787,9498,6047
4111,8680,7774,8667,3262,883,2616,7727,1196,4778
9287,220,6600,7266,5709,4143,7892,5197,4206,5601
3454,4198,2868,3353,7334,7767,2382,1151,5037,741
7612,5477,11,5420,2772,5452,6546,536,6546,9351
9598,1720,9426,5703,4396,3494,5566,689,6673,7228
8710,9321,4692,9406,4691,8546,8938,2645,3675,894
7145,8183,8597,2668,5573,4581,8288,4024,1166,8636
9552,8298,533,4539,4437,3269,7655,8623,1753,458
7182,1120,5183,1992,227,750,8120,3193,7089,3567
3874,4180,1034,9903,9592,1205,3951,3758,8434,6843
9336,7550,1006,3849,6088,8889,8924,6407,1781,424
3137,2937,7678,2973,5191,7795,6289,5573,6725,3506
1968,3919,9473,3410,1442,1291,6416,8432,9760,2200
649,904,6055,6071,4212,3338,5554,6562,2804,304
9298,8912,1969,9985,5249,7656,1536,9140,2272,1572
4779,99,1000,3023,6037,9828,8424,8672,9530,7579
8216,5312,3216,3893,7541,2738,1214,3539,6683,5333
6325,1518,6807,7031,6055,3515,2660,6016,6042,1305
7419,3283,7005,8989,1780,406,4083,783,1375,4876
4796,3515,4598,5877,9642,2640,5704,1113,2422,9263
7322,5073,64,2774,2126,9081,1252,5224,5596,3332
4307,9807,8007,1430,1905,186,3189,194,7753,5416
3613,2777,3327,5398,1113,3419,2583,2100,4636,4143
6386,2422,2431,7160,763,7188,5214,3143,4303,4281
7627,5375,6959,3632,9514,1781,9248,5768,2179,721
3010,8618,1240,6010,4854,3410,5524,8629,5461,2663
6699,4765,587,7418,7203,4462,6878,413,6022,3390
5479,8972,4634,4853,4576,3289,2847,995,5485,3126
4991,2401,5726,7492,4606,6445,3894,5450,9375,5989
7034,6729,2122,3844,6488,4400,3281,3022,4350,738
1799,2425,5560,8700,7936,8527,3567,33,5324,9025
7721,9371,8175,4603,7312,6500,3735,5733,6178,775
4056,9078,9277,5730,7873,9587,576,4334,3427,584
5383,2969,3089,758,559,5704,6713,7921,7688,5466
6834,2946,1014,352,326,7557,8647,3978,6778,2755
2774,6107,2272,5794,8597,5134,9701,309,6813,2117
7702,4554,9059,8031,6934,4618,3438,4295,9443,6578
2771,525,1799,7749,5470,5859,5219,4366,4423,7928
6294,1709,894,9238,928,6057,3780,9476,8538,8439
5567,1795,6524,4196,228,3946,36,5560,9147,3076
8558,1195,6567,3235,9538,8680,3528,6475,2186,8874
9857,4756,590,8796,9460,3076,4890,3719,6423,7916
4642,841,3893,3774,7811,8321,4554,1972,4829,7187
9524,6628,6132,835,8490,1842,7595,5581,9663,6833
2179,2863,2842,6903,1508,6026,3590,3098,7834,4111
4881,7964,1338,3224,7322,2501,5828,2373,6928,4222
8700,5960,5301,4133,6769,220,509,5398,3637,1154
5774,6525,4640,8496,9824,6727,8762,8910,1528,131
7697,6521,1111,4171,9423,9312,8318,788,103,8891
9516,3940,9043,6243,9809,4499,1333,7753,7334,9954
4140,4237,8451,1338,1513,8472,814,9023,1116,1908
2863,394,2282,2261,7731,2596,3380,687,9089,5169
6637,2989,7821,9375,9504,4013,7203,2398,2669,1034
7267,7479,7727,3719,6017,612,7378,8989,1101,9938
2565,2643,6443,4611,5396,1675,7602,7000,9133,7284
7510,2755,9975,970,1949,9791,2768,170,814,3893
8320,8447,6618,8016,940,3944,9742,1377,407,8631
2598,5742,9375,4617,9221,2609,1920,5586,4752,5710
8680,3312,1574,8399,4069,4984,8684,4275,296,7659
776,5949,293,5123,3540,826,1719,5928,4291,7281
6948,4273,3183,8240,1369,4756,3744,9927,1158,1799
8200,2098,6928,5048,6725,7022,1417,3129,9709,5037
8534,1941,423,3976,1941,6292,2145,8532,171,533
