x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1723,7312,8085,6767,23,171,8063,8826,7030,6200
1417,5341,975,2905,9451,4304,1957,6124,8226,7334
900,8656,4854,8646,1380,3610,4309,5874,4232,9980
2402,475,2130,7446,3734,9343,5456,120,8447,6146
1176,4779,7875,5084,1166,6253,2166,9523,1513,4554
1968,3004,2138,23,6587,8032,9158,9237,5185,9530
5413,6243,5341,6554,3673,6546,4618,6500,4072,8140
4580,3010,7263,8875,3216,363,5949,4073,8891,9809
2755,6850,829,6033,3427,5592,9133,2986,8948,9515
7334,5321,6600,335,1303,5809,8472,2431,2560,3769
5036,9682,3555,6670,6898,619,9932,6778,6991,6273
8972,2036,1064,3610,1651,1506,597,1232,5448,2443
1280,9212,2196,5252,5971,6048,1143,3231,6998,6285
5395,9271,9677,1890,8912,6722,44,280,9252,1601
5489,1832,9907,4912,538,4765,4528,2619,3331,2076
6789,3362,6243,4273,7349,9298,9472,3260,3279,3316
2052,4747,6314,9193,8198,6363,7658,3008,8542,656
9460,3145,4445,5328,4950,9828,3106,6423,1551,1968
9149,5900,8924,9771,3270,7706,5312,1072,865,5479
5265,7228,1895,9780,9460,9505,6754,6225,2918,2827
4512,4888,3008,2368,142,9311,1909,6040,9895,5180
503,3137,1518,6124,4908,6545,563,1558,9585,1439
7882,1822,8090,9388,2384,656,5026,8389,6235,6869
5709,6778,3515,1841,8061,3581,7834,2399,1104,3131
9870,909,269,7992,8195,4275,8143,8284,2333,7495
4212,3316,2768,439,9625,9532,4523,9993,7181,7397
9601,9424,2409,2329,4562,9102,4198,8165,3137,8912
7887,7259,6273,2841,8702,6308,9437,8490,7449,3511
7003,2794,2594,337,8853,8061,4124,1461,6347,1456
3336,9336,3460,7479,5801,9472,9715,6228,279,9601
6844,8123,3071,4903,4314,4704,5027,7964,4957,5252
3096,3745,5223,4852,4612,6647,4737,6152,6673,6934
8778,7550,5001,1059,9410,142,2135,4281,4659,2257
810,3208,2022,6225,7293,6799,9995,4647,7695,1835
8874,9193,7595,555,4954,7831,903,7983,8377,6872
7973,7899,8736,149,6047,8127,9375,3096,1890,4232
6527,7004,4576,3244,9871,2536,3980,6134,252,5812
5836,9713,1971,1750,3371,8995,9193,5590,864,4449
7291,971,9791,5491,7320,8659,7627,2186,5338,1665
3547,3313,1917,3570,371,4463,503,3744,4833,8613
4152,64,7490,9475,8236,9748,7993,7327,9914,7594
844,8710,4113,2377,1552,36,9412,507,4207,6248
1840,7064,7646,649,9023,4959,7655,7099,4720,5321
6326,2751,9758,8527,7858,5911,8799,9410,3537,5894
3410,5171,482,3264,7449,259,6143,5074,1522,1884
8258,8062,6326,1723,695,8991,2746,3302,8128,3006
2400,2529,318,5249,5277,4133,855,7718,8082,930
7323,4239,6464,6142,8404,3964,989,4203,9506,1606
2200,7322,964,7382,2052,4635,3086,4545,3308,4154
6141,4894,7579,2616,7440,3208,338,1703,2842,4014
7881,9331,2432,4636,6986,9984,6025,5048,7506,5794
6249,4852,1841,5899,6016,711,9972,6893,265,5768
9143,1638,7287,7636,525,5631,56,8710,3535,2730
8386,103,2143,741,9195,4315,6632,3199,816,7573
3362,2997,2213,5329,6134,741,4260,1742,2402,4937
9677,2251,8812,2200,3008,3313,9515,1562,6037,9792
6953,7525,6872,8573,26,4966,9760,8200,8330,3555
4309,8681,2511,4450,1556,9557,8890,6789,9718,6729
4421,2409,5514,3942,8375,9855,5674,7120,5947,1398
8373,365,3702,2272,9662,3735,1739,1289,7857,3707
3777,417,9817,4996,7483,2022,2842,1555,1719,8977
6212,239,5900,4790,3025,4400,4043,6400,9589,6227
1151,2935,2616,6618,497,6661,5561,3495,4473,2422
4460,6210,4504,3189,4194,5657,1760,9,2414,4842
7312,7442,152,5219,7735,7508,410,977,9019,3150
