,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,0,0,0,0,0,0.0,0,0,0,0
1,0,0,0,0,0,0.0,0,0,0,0
2,0,0,0,0,0,0.0,0,0,0,0
3,0,0,0,0,0,0.0,0,0,1,0
4,0,0,0,0,0,0.0,0,0,1,0
5,1,1,1,1,0,1.0,0,1,1,0
6,1,1,1,1,1,1.0,1,1,0,0
7,1,1,1,1,1,1.0,1,1,0,1
8,1,1,1,1,0,1.0,1,0,0,1
9,1,1,1,1,0,1.0,0,0,0,1
10,0,0,0,0,1,0.0,0,1,1,1
11,0,0,0,0,0,1.0,1,0,1,1
12,0,1,1,1,0,0.0,0,0,0,0
13,0,0,0,0,0,0.0,0,0,0,0
14,0,0,0,0,1,0.0,1,0,0,0
15,1,0,0,0,1,1.0,1,1,0,0
16,1,1,1,1,0,1.0,0,0,1,0
17,0,1,1,0,0,0.0,1,0,0,1
18,0,0,0,0,0,0.0,0,0,1,1
19,0,0,0,0,1,0.0,1,1,0,0
20,0,0,0,0,0,1.0,0,0,0,0
21,1,0,0,1,0,0.0,0,1,0,0
22,0,1,1,0,0,1.0,0,0,0,1
23,1,0,0,0,0,0.0,0,0,0,0
24,0,0,1,0,0,0.0,0,0,0,1
25,0,0,0,0,0,0.0,0,0,0,0
26,0,0,0,0,0,0.0,0,0,1,0
27,0,0,0,0,0,0.0,0,0,0,0
28,0,0,0,0,1,0.0,1,0,0,0
29,0,1,0,0,0,1.0,0,1,0,0
30,0,0,0,0,0,0.0,0,0,0,0
31,0,0,0,1,0,0.0,0,0,0,0
32,0,0,0,0,0,0.0,0,0,0,1
33,0,0,0,0,0,0.0,0,0,1,0
34,0,1,0,0,0,1.0,1,1,0,0
35,0,0,1,0,0,0.0,0,0,0,0
36,0,0,0,0,0,0.0,0,0,0,0
37,1,0,0,0,1,0.0,0,0,0,0
38,0,0,0,1,1,0.0,0,0,0,1
39,0,0,0,0,1,0.0,0,0,1,0
40,0,1,0,0,0,1.0,1,1,1,0
41,0,1,0,0,0,1.0,1,1,0,0
42,0,0,0,0,0,0.0,0,0,0,0
43,1,0,0,0,0,1.0,1,1,0,1
44,0,0,0,0,1,0.0,0,0,0,1
45,0,0,0,1,0,0.0,0,0,0,0
46,0,0,0,1,0,0.0,0,0,0,1
47,0,1,1,0,1,0.0,0,0,1,0
48,0,0,0,0,1,0.0,0,1,0,0
49,0,0,1,0,0,0.0,0,0,0,0
50,1,1,0,0,0,0.0,0,0,1,0
51,0,1,0,0,0,1.0,1,0,0,0
52,0,0,0,0,1,0.0,0,0,0,0
53,0,0,0,0,0,0.0,0,0,0,1
54,1,0,0,1,0,0.0,1,0,1,0
55,1,1,1,1,0,1.0,1,0,0,0
56,0,0,0,0,0,1.0,0,0,0,1
57,0,0,0,1,0,0.0,0,0,0,1
58,0,0,0,0,0,0.0,1,0,0,0
59,1,0,1,0,0,0.0,0,0,0,0
60,0,0,1,0,0,1.0,0,0,0,0
61,0,0,0,0,0,0.0,0,0,0,1
62,0,0,0,0,0,0.0,0,0,0,0
63,0,0,0,0,0,0.0,0,1,0,0
64,0,0,1,0,1,0.0,0,0,1,0
65,0,0,0,0,0,0.0,0,1,1,0
66,0,1,0,0,0,0.0,0,0,0,0
67,0,0,0,1,0,0.0,1,0,1,0
68,0,1,0,0,1,0.0,0,1,0,0
69,1,0,0,1,0,1.0,1,0,0,0
70,0,0,0,0,0,0.0,0,0,0,0
71,0,1,0,0,0,1.0,0,0,0,1
72,1,0,0,1,0,0.0,1,0,1,0
73,0,0,1,0,1,1.0,0,0,0,1
74,0,0,1,0,0,0.0,0,1,1,0
75,0,0,0,0,1,0.0,0,1,1,0
76,1,0,0,1,0,0.0,1,1,0,1
77,0,1,0,0,0,1.0,0,0,0,0
78,1,1,0,1,1,1.0,1,1,1,0
79,1,0,0,1,0,0.0,0,0,1,1
80,0,1,0,0,0,1.0,0,0,0,0
81,0,1,1,0,1,1.0,1,0,0,1
82,1,0,0,1,0,0.0,1,0,0,0
83,1,0,1,1,0,0.0,0,1,0,0
84,0,1,0,0,0,0.0,0,1,0,1
85,0,0,0,1,0,1.0,1,0,0,1
86,1,1,1,0,1,0.0,0,1,1,0
87,0,1,0,1,0,0.0,0,0,1,1
88,0,0,0,0,1,0.0,0,0,0,0
89,1,0,1,0,0,0.0,0,1,1,1
90,1,0,0,0,1,0.0,0,0,0,0
91,0,0,0,0,0,1.0,1,0,0,0
92,0,0,1,0,0,1.0,1,0,1,0
93,0,0,0,1,0,1.0,0,0,0,0
94,0,0,1,1,1,0.0,0,0,0,1
95,1,1,1,0,0,0.0,0,1,0,0
96,0,0,1,0,1,0.0,0,0,0,0
97,0,1,0,0,0,1.0,0,1,1,0
98,0,0,0,1,1,0.0,0,1,0,0
99,1,0,0,0,0,0.0,0,0,1,1
100,0,1,0,0,0,0.0,1,0,0,0
101,1,0,0,0,0,0.0,0,0,0,0
102,0,0,1,0,0,1.0,1,0,0,0
103,1,0,0,1,0,0.0,1,0,0,0
104,0,1,1,0,0,1.0,1,1,0,1
105,0,0,0,0,0,0.0,0,0,0,1
106,1,1,1,1,0,1.0,0,0,1,0
107,0,0,0,0,0,0.0,0,0,0,1
108,0,0,0,0,0,0.0,0,1,0,0
109,0,0,0,0,1,0.0,0,0,0,0
110,0,1,0,0,0,0.0,0,0,1,0
111,1,0,0,0,0,0.0,1,1,0,0
112,0,0,0,1,1,0.0,0,0,0,0
113,1,0,1,0,0,1.0,0,0,0,0
114,0,0,0,0,1,0.0,0,0,1,1
115,0,0,0,0,0,0.0,0,1,0,1
116,0,0,1,0,0,0.0,0,0,0,0
117,0,1,0,0,0,1.0,0,0,1,0
118,0,0,0,0,0,0.0,0,0,0,1
119,0,0,1,1,0,0.0,0,0,0,0
120,0,0,0,0,0,0.0,0,0,0,0
121,0,1,0,1,1,1.0,0,0,0,0
122,0,0,0,0,0,0.0,0,0,0,1
123,1,1,0,0,0,1.0,0,0,0,0
124,0,0,0,0,0,0.0,1,0,0,0
125,0,0,1,0,0,0.0,0,1,0,0
126,0,0,0,0,0,0.0,0,0,0,0
127,0,0,0,0,1,0.0,0,0,1,1
128,0,0,0,1,1,0.0,0,0,0,0
129,0,0,1,0,0,0.0,0,1,1,0
130,0,1,0,1,0,1.0,0,0,0,0
131,1,0,0,0,0,0.0,0,0,0,0
132,1,1,0,0,0,1.0,1,0,0,1
133,0,0,0,0,1,0.0,1,0,0,0
134,0,0,1,0,1,0.0,0,0,0,0
135,0,1,0,0,0,0.0,0,0,1,0
136,0,0,0,0,0,0.0,0,0,0,0
137,0,0,0,1,0,0.0,0,1,1,0
138,0,1,0,0,0,0.0,0,0,0,0
139,1,0,0,0,0,0.0,0,0,0,1
140,0,0,0,0,1,0.0,0,1,0,1
141,1,1,0,0,0,1.0,1,0,1,0
142,0,0,1,0,1,0.0,0,1,0,0
143,0,0,0,1,0,0.0,0,1,0,0
144,0,0,1,0,0,0.0,0,0,1,0
145,0,0,0,1,0,0.0,0,0,1,0
146,0,0,0,0,1,0.0,1,1,0,1
147,1,0,0,0,1,0.0,0,0,1,0
