,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,1,1,1,1,1,1.0,1,1,1,1
1,0,0,0,0,0,0.0,0,0,0,0
2,0,0,0,0,0,0.0,0,0,0,0
3,0,0,0,0,0,0.0,0,0,1,0
4,0,0,0,0,0,0.0,0,0,1,0
5,1,1,1,1,0,1.0,0,1,1,0
6,1,1,1,1,1,1.0,1,1,0,0
7,1,1,1,1,1,1.0,1,1,0,1
8,1,1,1,1,0,1.0,1,0,0,1
9,1,1,1,1,0,1.0,0,0,0,1
10,0,0,0,0,1,0.0,0,1,1,1
11,1,0,0,0,1,1.0,1,0,0,1
12,1,0,1,0,1,1.0,1,1,0,0
13,0,1,1,1,0,1.0,1,1,1,1
14,0,0,1,0,1,0.0,1,0,0,1
15,1,0,0,0,1,1.0,1,1,0,0
16,1,1,1,1,0,1.0,0,0,1,0
17,0,1,1,0,1,0.0,1,0,0,1
18,1,0,0,1,0,0.0,1,0,0,1
19,0,1,0,0,1,0.0,1,1,0,0
20,0,0,1,0,0,0.0,0,1,0,1
21,1,0,0,1,0,0.0,0,1,0,0
22,0,1,1,0,0,1.0,0,0,0,1
23,1,0,0,0,0,0.0,0,0,0,0
24,0,0,1,0,1,0.0,1,0,1,1
25,1,1,0,1,1,0.0,1,0,0,0
26,1,1,0,1,0,1.0,0,1,0,0
27,0,0,1,0,0,1.0,0,1,0,1
28,0,0,1,0,1,0.0,1,0,0,1
29,0,1,0,0,0,1.0,0,1,0,0
30,0,0,0,0,0,0.0,0,0,0,0
31,0,0,0,1,0,0.0,0,0,0,0
32,0,0,0,0,1,0.0,0,0,0,1
33,1,1,0,1,0,0.0,1,0,0,0
34,0,1,0,0,0,0.0,1,1,0,0
35,0,0,0,0,0,0.0,0,1,0,1
36,0,0,0,0,0,0.0,0,0,0,0
37,1,0,0,0,1,0.0,0,0,0,0
38,0,0,0,1,1,0.0,0,0,0,1
39,0,0,0,0,1,0.0,0,0,1,0
40,0,1,0,0,0,1.0,1,1,1,0
41,0,1,0,0,0,1.0,1,1,0,0
42,0,0,0,0,0,0.0,0,0,0,0
