,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,0,0,0,1,1,0,1,0,0,0
1,0,0,1,0,0,1,0,1,1,1
2,1,1,1,0,1,0,1,0,0,0
3,1,1,0,0,0,1,1,0,0,0
4,0,0,1,0,1,0,0,0,0,0
5,1,1,0,0,0,1,0,0,0,0
6,0,0,0,1,0,0,0,0,1,1
7,1,1,1,0,1,1,1,0,0,0
8,1,1,1,0,0,1,1,0,0,0
9,0,1,0,1,1,0,1,1,1,1
10,1,1,1,0,0,1,0,0,0,0
11,0,0,0,0,1,0,0,0,0,1
12,1,0,1,0,0,1,0,0,1,0
13,1,1,1,1,0,1,1,1,1,0
14,0,0,0,0,1,1,0,0,1,1
15,0,1,0,1,0,0,1,1,1,0
16,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,0,1,1
18,1,1,1,1,1,1,1,0,0,0
19,0,1,0,1,0,1,0,1,0,0
20,0,0,1,0,0,0,1,1,0,0
21,1,0,1,0,1,0,1,1,1,1
22,1,1,1,1,1,0,1,1,1,1
23,1,1,1,1,1,1,1,1,1,1
24,0,1,1,1,1,1,1,0,1,1
25,0,0,0,0,0,0,0,0,0,0
26,1,1,1,1,1,1,0,1,0,0
27,1,0,1,0,1,1,1,1,1,1
28,0,1,1,1,0,1,1,0,1,1
29,1,1,1,1,1,1,0,1,0,1
30,1,0,0,0,1,1,1,1,1,0
31,0,1,1,1,0,1,1,0,1,1
32,1,1,0,1,0,1,1,1,1,0
33,1,0,1,0,1,0,1,1,1,0
34,1,1,1,1,1,1,1,1,1,0
35,0,0,1,0,1,0,0,0,0,0
36,0,1,1,1,1,1,1,1,0,1
37,0,1,0,1,0,0,1,1,0,1
38,1,1,1,1,1,1,1,1,1,1
39,1,1,1,1,0,0,1,1,1,1
40,1,0,0,0,0,0,0,0,0,0
41,0,0,0,1,1,1,1,0,0,0
42,0,0,1,0,1,1,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0
45,0,1,0,1,0,0,1,1,0,1
46,0,0,0,0,0,0,0,0,0,0
47,1,0,0,1,1,1,1,0,0,0
48,1,0,0,0,1,0,0,0,0,0
49,0,1,1,0,0,1,0,1,1,1
50,1,1,1,1,1,0,0,0,1,1
51,0,1,0,1,0,1,1,1,1,0
52,1,0,0,1,1,0,0,1,1,0
53,0,0,1,1,1,1,1,1,1,1
54,1,1,1,1,0,0,1,1,1,0
55,0,1,1,1,1,1,1,0,1,1
56,1,1,1,0,1,0,0,1,0,1
57,1,0,1,1,0,0,1,1,1,0
58,0,1,0,0,1,0,0,1,1,1
59,1,1,0,0,1,1,1,1,0,1
60,1,0,1,1,1,1,0,1,0,1
61,1,0,1,1,1,1,1,0,1,0
62,1,1,0,1,0,0,1,1,1,1
