,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,1,1,1,0,0,1,0,1,1,1
1,0,0,1,0,0,1,0,1,1,1
2,1,1,1,0,1,0,1,0,0,0
3,0,0,1,1,1,0,0,0,0,0
4,1,1,0,1,0,1,1,0,0,0
5,0,0,1,0,1,0,1,1,1,1
6,1,1,0,1,0,1,0,0,0,0
7,1,0,1,0,1,0,1,0,1,1
8,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,1,1
10,1,1,1,1,0,1,0,0,0,0
11,1,0,1,0,0,1,0,0,1,0
12,0,0,0,1,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0
14,0,0,0,1,1,1,0,0,1,1
15,0,1,0,1,0,1,1,1,1,0
16,1,0,1,1,1,1,0,0,1,1
17,1,1,1,0,1,1,1,0,0,1
18,0,1,0,1,0,0,0,0,0,1
19,0,0,1,1,1,1,1,0,0,0
20,0,1,0,1,1,0,0,1,0,0
21,1,0,1,0,1,0,1,0,1,1
22,0,1,1,0,0,0,1,1,0,1
23,1,1,0,1,1,0,0,0,1,0
24,0,0,1,1,1,1,1,0,0,1
25,0,1,1,0,0,1,1,1,1,1
26,0,1,0,1,0,0,1,0,0,1
27,0,1,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,1,0,0
29,0,0,1,0,0,1,0,1,1,1
30,0,0,0,1,0,0,0,0,1,1
31,0,0,0,1,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,1,0,0,0,0,0
40,0,0,1,0,1,1,0,0,0,0
41,1,0,1,0,0,0,0,0,0,0
42,1,1,0,0,0,0,0,1,1,1
43,0,1,0,1,0,1,1,1,0,0
44,1,0,0,1,0,1,1,0,0,0
45,1,0,0,0,1,1,0,0,1,0
46,0,1,1,0,0,1,1,1,1,1
47,0,1,1,0,0,0,0,0,0,0
48,1,0,0,1,1,1,1,0,0,0
49,1,0,1,0,0,0,1,1,0,0
50,0,0,1,0,1,0,0,1,1,0
51,0,1,0,1,0,1,1,0,0,0
52,1,1,0,0,1,1,0,0,0,1
53,1,1,0,1,1,1,1,1,1,1
54,1,1,1,0,1,0,0,1,1,0
55,0,1,0,1,0,1,1,0,1,1
56,1,1,1,1,0,0,1,0,0,0
57,0,1,1,1,0,0,1,0,1,1
58,1,1,0,0,1,1,0,0,0,0
59,1,0,0,0,1,1,1,1,0,1
60,1,0,1,1,0,1,1,1,1,1
61,1,0,0,0,1,1,1,0,1,0
62,0,1,0,0,1,1,0,0,1,0
63,0,1,0,1,0,1,0,0,1,0
64,0,0,0,0,0,0,0,1,1,1
65,0,1,0,1,0,0,0,0,0,0
66,0,1,0,0,1,0,1,0,1,0
67,0,0,0,1,0,0,0,0,0,1
68,1,0,1,1,1,1,0,1,0,0
69,1,0,0,0,1,0,0,0,0,0
70,1,1,1,1,1,0,0,0,1,0
71,1,0,1,1,1,1,0,1,0,0
72,1,1,1,1,1,1,0,0,0,0
73,0,1,0,1,0,0,0,1,1,1
74,1,1,1,1,0,0,1,1,1,0
75,1,1,0,1,0,1,1,0,0,1
76,0,1,1,0,0,1,1,1,0,0
77,1,1,0,0,1,0,1,1,1,1
78,0,0,0,1,1,1,0,0,1,1
79,0,0,0,0,1,0,1,0,0,0
80,1,1,0,0,0,0,0,1,1,0
81,0,0,0,1,0,0,1,1,0,0
82,0,1,0,0,0,1,0,1,0,1
83,0,0,1,1,1,1,0,1,0,1
84,1,0,1,0,0,0,1,0,0,0
85,1,0,1,1,0,1,0,0,0,1
86,1,0,1,1,1,0,0,1,0,0
87,0,0,0,1,1,1,1,0,1,1
88,0,1,0,0,0,0,1,0,1,1
89,0,1,0,0,1,1,1,0,1,0
90,1,0,1,0,1,0,1,0,1,0
91,0,1,1,0,1,1,1,0,0,1
92,0,1,1,0,1,0,0,0,0,1
93,1,0,0,0,0,1,0,1,1,0
94,0,1,0,0,1,0,0,1,1,0
95,0,1,1,0,0,0,1,0,1,0
96,0,1,0,0,0,0,0,1,1,1
97,0,1,0,0,1,0,0,1,0,0
98,1,0,0,1,0,1,0,0,0,0
99,0,0,1,0,1,1,0,0,1,1
100,0,1,0,0,1,0,0,1,0,0
101,0,0,1,1,1,1,0,1,0,1
102,1,1,0,1,0,0,0,1,0,0
103,1,1,1,1,0,1,0,1,1,0
104,0,0,1,1,1,0,0,1,0,0
105,1,0,0,0,1,1,0,0,0,1
106,1,1,0,1,1,1,1,1,0,0
107,1,1,0,0,0,0,1,0,1,1
108,1,0,1,1,0,0,1,1,1,0
109,0,1,0,0,0,0,1,0,0,0
110,0,0,0,1,1,0,1,0,0,0
111,1,0,0,1,0,0,0,1,1,1
112,0,1,1,0,0,0,0,0,0,0
113,0,1,0,0,1,1,1,1,0,0
114,0,0,0,0,0,0,1,0,1,0
115,0,0,0,0,0,1,1,1,1,1
116,1,0,0,1,1,0,0,1,0,0
117,1,0,1,0,1,1,1,1,0,1
118,1,1,1,1,1,0,1,1,0,0
119,0,1,0,0,0,0,1,0,0,0
120,0,0,1,0,0,0,0,1,0,0
121,0,0,1,0,1,1,0,1,0,1
122,1,1,1,1,1,1,0,0,0,1
123,1,1,1,0,1,0,0,0,0,1
124,1,1,1,0,0,0,1,0,1,1
125,0,1,0,1,1,1,1,1,1,0
126,1,1,1,1,0,1,1,1,0,1
127,1,0,1,0,1,0,0,0,1,0
128,1,1,0,0,0,0,0,0,1,0
129,0,1,1,1,1,0,0,1,0,1
130,1,0,1,0,1,0,1,0,1,1
131,0,0,1,0,1,0,0,0,1,0
132,1,1,0,0,0,0,1,1,0,1
133,0,1,0,1,0,0,1,0,1,0
134,1,1,0,0,0,0,1,0,1,1
135,0,1,0,1,0,0,1,0,1,0
136,0,0,0,1,0,0,1,1,1,1
137,0,1,0,0,0,1,1,0,0,0
138,0,0,0,1,1,0,0,1,0,1
139,1,1,0,0,0,1,0,0,1,0
140,0,0,0,0,1,1,0,1,0,1
141,0,0,1,1,0,0,0,0,1,1
142,0,0,0,1,0,1,0,1,0,1
143,0,0,0,1,1,0,0,1,0,0
144,1,1,0,0,1,0,0,0,0,0
145,0,1,1,1,0,1,1,0,0,0
146,1,0,0,0,1,0,0,0,1,1
147,0,0,1,1,0,1,0,0,0,0
148,0,0,1,0,0,1,0,1,0,0
149,0,1,1,1,1,0,0,0,0,1
150,0,0,0,0,0,0,0,0,1,1
151,1,1,0,0,0,0,0,1,0,0
152,0,1,0,0,1,0,1,1,1,1
153,1,1,1,1,1,1,1,0,1,0
154,1,1,1,0,0,1,1,0,1,0
155,1,0,1,1,1,1,1,0,0,1
156,1,1,0,0,1,1,0,1,1,0
157,1,1,1,0,0,0,0,0,0,1
158,1,1,0,0,0,1,1,0,1,1
159,0,0,0,1,1,1,0,0,1,1
160,1,1,1,0,0,1,1,1,1,0
161,1,1,0,1,0,1,0,1,0,1
162,0,0,1,1,0,0,0,1,1,0
163,0,1,0,0,1,0,0,1,0,0
164,0,0,1,0,1,1,1,1,0,1
165,0,0,0,1,1,0,1,0,0,0
166,0,1,0,0,0,1,1,1,1,1
167,1,1,0,0,0,0,0,1,0,0
168,0,1,1,0,0,1,0,0,1,1
169,0,0,1,1,1,0,0,0,0,1
170,0,0,1,1,0,1,0,0,1,0
171,0,0,0,0,1,0,1,0,0,0
172,1,0,0,0,1,0,1,0,0,0
173,1,1,0,1,1,0,0,0,0,1
174,0,1,1,1,1,1,0,0,0,0
175,0,0,0,0,0,0,0,0,1,0
176,1,0,0,0,0,0,1,0,0,1
177,0,0,0,0,0,1,0,0,0,1
178,1,1,1,0,1,1,1,1,0,0
179,1,0,1,0,0,0,0,0,1,0
180,1,1,0,0,0,0,1,0,0,0
181,1,1,1,1,1,0,0,1,0,1
182,1,0,0,0,0,0,1,0,1,0
183,0,0,1,1,0,1,0,0,1,0
184,0,0,1,0,0,1,0,1,1,0
185,0,0,0,1,1,0,0,0,0,1
186,1,0,0,1,0,1,0,1,1,1
187,0,1,0,0,0,0,1,1,1,0
188,0,0,1,1,0,0,0,0,0,1
189,1,0,0,0,0,1,0,0,0,1
190,1,1,0,0,0,1,1,1,1,1
191,0,1,0,0,0,1,0,0,1,0
192,0,0,0,0,1,0,0,0,0,1
193,0,0,0,0,1,1,0,0,0,1
194,1,0,1,0,1,0,0,1,0,0
195,0,0,0,0,1,0,0,1,1,0
196,0,0,0,0,1,0,0,0,0,0
197,0,0,1,1,0,0,0,1,0,0
198,1,0,0,1,0,0,0,0,1,0
199,1,0,0,0,0,0,1,0,0,0
200,1,0,0,1,0,1,0,0,0,0
201,0,0,0,0,0,0,1,0,1,1
202,1,1,0,1,1,0,1,1,0,0
203,0,0,1,0,0,0,1,0,1,0
204,0,1,0,1,0,1,1,0,1,0
205,0,0,0,1,0,1,0,0,1,0
206,0,1,0,0,1,0,1,1,0,0
207,0,1,0,1,0,0,1,1,0,1
208,0,0,1,0,1,1,1,0,1,0
209,0,0,0,0,1,0,0,1,0,1
210,1,0,0,1,0,0,0,0,0,1
211,0,0,0,0,0,0,0,1,0,0
212,1,1,1,0,0,0,1,0,0,0
213,0,0,0,0,1,1,0,0,1,0
214,1,1,1,0,0,1,0,1,0,0
215,1,0,1,0,1,0,0,0,0,1
216,0,0,0,0,0,1,1,1,1,0
217,0,1,1,0,0,0,1,0,0,0
218,1,1,0,1,0,1,1,0,1,1
219,0,0,0,1,1,1,1,1,0,1
220,0,1,1,0,1,1,0,0,0,0
221,0,1,0,1,0,1,1,1,0,1
222,0,1,0,0,0,0,0,0,0,0
223,0,0,0,0,0,1,0,1,0,0
224,1,0,1,1,1,0,1,0,0,0
225,0,1,0,0,0,1,0,1,1,1
226,0,0,1,0,1,0,0,1,0,0
227,0,0,1,0,0,0,0,0,1,1
228,1,1,0,1,0,0,0,0,0,1
229,0,0,1,1,1,1,1,0,1,0
230,0,1,1,0,0,1,0,0,0,1
231,1,0,0,0,1,0,0,0,1,1
232,0,0,0,0,1,0,0,0,0,1
233,1,1,1,0,0,0,1,1,0,0
234,1,0,1,0,0,0,1,1,1,1
235,1,1,0,0,0,0,1,0,0,1
236,1,1,1,0,1,0,1,0,1,0
237,0,0,0,1,0,0,1,1,0,1
238,0,0,1,1,1,1,1,0,0,0
239,0,0,1,1,0,1,0,1,1,0
240,1,1,1,1,1,1,1,0,0,1
241,0,0,1,1,0,0,0,1,0,1
242,0,0,0,0,1,1,1,0,1,1
243,1,1,0,1,0,0,1,1,1,0
244,1,0,1,1,0,1,0,0,1,1
245,1,0,0,1,0,0,0,1,0,1
246,0,0,0,0,1,1,1,1,1,1
247,0,1,1,0,1,0,1,1,0,0
248,1,0,0,0,0,0,1,1,0,0
249,0,1,0,0,1,0,0,0,0,1
250,1,1,1,1,0,0,1,0,0,1
251,1,1,1,0,0,1,1,1,0,1
252,0,1,0,0,0,1,0,1,0,0
253,1,0,0,1,1,1,0,1,1,0
254,1,1,1,0,0,0,1,0,0,0
255,1,0,1,0,1,0,1,1,1,1
256,0,1,0,0,0,0,1,1,0,1
257,1,0,1,1,0,0,0,1,0,0
258,1,1,1,0,0,1,1,1,0,0
259,0,1,0,0,1,1,1,0,1,0
260,1,0,0,0,0,1,0,1,1,0
261,1,1,0,0,0,1,1,0,0,0
262,0,0,0,1,1,1,0,1,1,0
263,1,0,1,0,1,0,0,0,1,1
264,0,0,1,0,0,0,0,1,1,0
265,0,0,0,1,0,0,0,0,0,1
266,0,1,0,0,0,1,0,1,0,0
