,noise,level,metric,model,ground
0,balanced,0.3,accuracy,LR_noisy,0.761 + 0.009 
1,balanced,0.3,accuracy,Reweight_noisy,0.798 + 0.004 
2,balanced,0.3,accuracy,Reduction_noisy,0.793 + 0.005 
3,balanced,0.3,accuracy,FR_fair,0.805 + 0.018
4,balanced,0.3,accuracy,FR_emp,0.823 + 0.007
5,balanced,0.3,accuracy,LR_fair,0.822 + 0.015
6,balanced,0.3,accuracy,Reweight_fair,0.822 + 0.016
7,balanced,0.3,accuracy,Reduction_fair,0.802 + 0.009
8,balanced,0.3,accuracy,FR_fair,0.805 + 0.018
9,balanced,0.3,accuracy,FR_emp,0.823 + 0.007
10,balanced,0.3,accuracy,LR_emp,0.822 +  0.015
11,balanced,0.3,accuracy,Reweight_emp,0.822 +  0.015
12,balanced,0.3,accuracy,Reduction_emp,0.802 +  0.009
13,balanced,0.3,accuracy,FR_fair,0.805 + 0.018
14,balanced,0.3,accuracy,FR_emp,0.823 + 0.007
15,balanced,0.3,Equal_Opportunity,LR_noisy,0.685 + 0.048 
16,balanced,0.3,Equal_Opportunity,Reweight_noisy,0.332 + 0.055 
17,balanced,0.3,Equal_Opportunity,Reduction_noisy,0.388 + 0.063 
18,balanced,0.3,Equal_Opportunity,FR_fair,0.245 + 0.081
19,balanced,0.3,Equal_Opportunity,FR_emp,0.057 + 0.052
20,balanced,0.3,Equal_Opportunity,LR_fair,0.126 + 0.107
21,balanced,0.3,Equal_Opportunity,Reweight_fair,0.106 + 0.090
22,balanced,0.3,Equal_Opportunity,Reduction_fair,0.106 + 0.101
23,balanced,0.3,Equal_Opportunity,FR_fair,0.245 + 0.081
24,balanced,0.3,Equal_Opportunity,FR_emp,0.057 + 0.052
25,balanced,0.3,Equal_Opportunity,LR_emp,0.126 +  0.105
26,balanced,0.3,Equal_Opportunity,Reweight_emp,0.103 +  0.088
27,balanced,0.3,Equal_Opportunity,Reduction_emp,0.105 +  0.098
28,balanced,0.3,Equal_Opportunity,FR_fair,0.245 + 0.081
29,balanced,0.3,Equal_Opportunity,FR_emp,0.057 + 0.052
30,balanced,0.3,equalized_odds,LR_noisy,0.685 + 0.048 
31,balanced,0.3,equalized_odds,Reweight_noisy,0.332 + 0.055 
32,balanced,0.3,equalized_odds,Reduction_noisy,0.388 + 0.063 
33,balanced,0.3,equalized_odds,FR_fair,0.245 + 0.081
34,balanced,0.3,equalized_odds,FR_emp,0.057 + 0.052
35,balanced,0.3,equalized_odds,LR_fair,0.133 + 0.100
36,balanced,0.3,equalized_odds,Reweight_fair,0.108 + 0.088
37,balanced,0.3,equalized_odds,Reduction_fair,0.112 + 0.097
38,balanced,0.3,equalized_odds,FR_fair,0.245 + 0.081
39,balanced,0.3,equalized_odds,FR_emp,0.057 + 0.052
40,balanced,0.3,equalized_odds,LR_emp,0.132 +  0.098
41,balanced,0.3,equalized_odds,Reweight_emp,0.104 +  0.087
42,balanced,0.3,equalized_odds,Reduction_emp,0.111 +  0.094
43,balanced,0.3,equalized_odds,FR_fair,0.245 + 0.081
44,balanced,0.3,equalized_odds,FR_emp,0.057 + 0.052
