,noise,level,metric,model,ground
0,bias,0.3,accuracy,LR_noisy,0.798 + 0.011 
1,bias,0.3,accuracy,Reweight_noisy,0.809 + 0.010 
2,bias,0.3,accuracy,Reduction_noisy,0.775 + 0.016 
3,bias,0.3,accuracy,FR_fair,0.779 + 0.030
4,bias,0.3,accuracy,FR_emp,0.820 + 0.007
5,bias,0.3,accuracy,LR_fair,0.828 + 0.013
6,bias,0.3,accuracy,Reweight_fair,0.825 + 0.017
7,bias,0.3,accuracy,Reduction_fair,0.805 + 0.028
8,bias,0.3,accuracy,FR_fair,0.779 + 0.030
9,bias,0.3,accuracy,FR_emp,0.820 + 0.007
10,bias,0.3,accuracy,LR_emp,0.828 +  0.012
11,bias,0.3,accuracy,Reweight_emp,0.825 +  0.017
12,bias,0.3,accuracy,Reduction_emp,0.805 +  0.028
13,bias,0.3,accuracy,FR_fair,0.779 + 0.030
14,bias,0.3,accuracy,FR_emp,0.820 + 0.007
15,bias,0.3,Equal_Opportunity,LR_noisy,0.335 + 0.061 
16,bias,0.3,Equal_Opportunity,Reweight_noisy,0.296 + 0.071 
17,bias,0.3,Equal_Opportunity,Reduction_noisy,0.394 + 0.061 
18,bias,0.3,Equal_Opportunity,FR_fair,0.252 + 0.070
19,bias,0.3,Equal_Opportunity,FR_emp,0.047 + 0.041
20,bias,0.3,Equal_Opportunity,LR_fair,0.133 + 0.081
21,bias,0.3,Equal_Opportunity,Reweight_fair,0.120 + 0.093
22,bias,0.3,Equal_Opportunity,Reduction_fair,0.113 + 0.100
23,bias,0.3,Equal_Opportunity,FR_fair,0.252 + 0.070
24,bias,0.3,Equal_Opportunity,FR_emp,0.047 + 0.041
25,bias,0.3,Equal_Opportunity,LR_emp,0.131 +  0.080
26,bias,0.3,Equal_Opportunity,Reweight_emp,0.115 +  0.093
27,bias,0.3,Equal_Opportunity,Reduction_emp,0.110 +  0.099
28,bias,0.3,Equal_Opportunity,FR_fair,0.252 + 0.070
29,bias,0.3,Equal_Opportunity,FR_emp,0.047 + 0.041
30,bias,0.3,equalized_odds,LR_noisy,0.335 + 0.061 
31,bias,0.3,equalized_odds,Reweight_noisy,0.296 + 0.071 
32,bias,0.3,equalized_odds,Reduction_noisy,0.394 + 0.061 
33,bias,0.3,equalized_odds,FR_fair,0.252 + 0.070
34,bias,0.3,equalized_odds,FR_emp,0.051 + 0.036
35,bias,0.3,equalized_odds,LR_fair,0.141 + 0.070
36,bias,0.3,equalized_odds,Reweight_fair,0.131 + 0.082
37,bias,0.3,equalized_odds,Reduction_fair,0.115 + 0.099
38,bias,0.3,equalized_odds,FR_fair,0.252 + 0.070
39,bias,0.3,equalized_odds,FR_emp,0.051 + 0.036
40,bias,0.3,equalized_odds,LR_emp,0.140 +  0.069
41,bias,0.3,equalized_odds,Reweight_emp,0.128 +  0.081
42,bias,0.3,equalized_odds,Reduction_emp,0.111 +  0.098
43,bias,0.3,equalized_odds,FR_fair,0.252 + 0.070
44,bias,0.3,equalized_odds,FR_emp,0.051 + 0.036
