,noise,level,metric,model,ground
0,flip,0.3,accuracy,LR_noisy,0.822 + 0.007 
1,flip,0.3,accuracy,Reweight_noisy,0.836 + 0.006 
2,flip,0.3,accuracy,Reduction_noisy,0.782 + 0.006 
3,flip,0.3,accuracy,FR_fair,0.795 + 0.006
4,flip,0.3,accuracy,FR_emp,0.828 + 0.005
5,flip,0.3,accuracy,LR_fair,0.818 + 0.016
6,flip,0.3,accuracy,Reweight_fair,0.817 + 0.012
7,flip,0.3,accuracy,Reduction_fair,0.812 + 0.008
8,flip,0.3,accuracy,FR_fair,0.795 + 0.006
9,flip,0.3,accuracy,FR_emp,0.828 + 0.005
10,flip,0.3,accuracy,LR_emp,0.818 +  0.015
11,flip,0.3,accuracy,Reweight_emp,0.817 +  0.012
12,flip,0.3,accuracy,Reduction_emp,0.812 +  0.008
13,flip,0.3,accuracy,FR_fair,0.795 + 0.006
14,flip,0.3,accuracy,FR_emp,0.828 + 0.005
15,flip,0.3,Equal_Opportunity,LR_noisy,0.676 + 0.015 
16,flip,0.3,Equal_Opportunity,Reweight_noisy,0.134 + 0.069 
17,flip,0.3,Equal_Opportunity,Reduction_noisy,0.054 + 0.048 
18,flip,0.3,Equal_Opportunity,FR_fair,0.130 + 0.048
19,flip,0.3,Equal_Opportunity,FR_emp,0.062 + 0.036
20,flip,0.3,Equal_Opportunity,LR_fair,0.231 + 0.096
21,flip,0.3,Equal_Opportunity,Reweight_fair,0.093 + 0.069
22,flip,0.3,Equal_Opportunity,Reduction_fair,0.142 + 0.077
23,flip,0.3,Equal_Opportunity,FR_fair,0.130 + 0.048
24,flip,0.3,Equal_Opportunity,FR_emp,0.062 + 0.036
25,flip,0.3,Equal_Opportunity,LR_emp,0.223 +  0.100
26,flip,0.3,Equal_Opportunity,Reweight_emp,0.090 +  0.068
27,flip,0.3,Equal_Opportunity,Reduction_emp,0.141 +  0.075
28,flip,0.3,Equal_Opportunity,FR_fair,0.130 + 0.048
29,flip,0.3,Equal_Opportunity,FR_emp,0.062 + 0.036
30,flip,0.3,equalized_odds,LR_noisy,0.676 + 0.015 
31,flip,0.3,equalized_odds,Reweight_noisy,0.144 + 0.059 
32,flip,0.3,equalized_odds,Reduction_noisy,0.055 + 0.048 
33,flip,0.3,equalized_odds,FR_fair,0.130 + 0.048
34,flip,0.3,equalized_odds,FR_emp,0.065 + 0.031
35,flip,0.3,equalized_odds,LR_fair,0.233 + 0.092
36,flip,0.3,equalized_odds,Reweight_fair,0.106 + 0.059
37,flip,0.3,equalized_odds,Reduction_fair,0.147 + 0.069
38,flip,0.3,equalized_odds,FR_fair,0.130 + 0.048
39,flip,0.3,equalized_odds,FR_emp,0.065 + 0.031
40,flip,0.3,equalized_odds,LR_emp,0.227 +  0.094
41,flip,0.3,equalized_odds,Reweight_emp,0.104 +  0.058
42,flip,0.3,equalized_odds,Reduction_emp,0.145 +  0.068
43,flip,0.3,equalized_odds,FR_fair,0.130 + 0.048
44,flip,0.3,equalized_odds,FR_emp,0.065 + 0.031
