,noise,level,metric,eval_type,LR,Reduction,Reweight
0,balanced,0.1,accuracy,noisy,-0.027 + 0.005,-0.021 + 0.004,-0.024 + 0.004
1,balanced,0.1,accuracy,fair_clean,-0.014 + 0.008,-0.003 + 0.009,-0.003 + 0.011
2,balanced,0.1,accuracy,emp_clean,-0.005 + 0.002,0.002 + 0.003,-0.000 + 0.003
3,balanced,0.1,Equal_Opportunity,noisy,0.098 + 0.081,-0.172 + 0.113,-0.146 + 0.106
4,balanced,0.1,Equal_Opportunity,fair_clean,-0.006 + 0.087,-0.096 + 0.052,-0.090 + 0.061
5,balanced,0.1,Equal_Opportunity,emp_clean,-0.025 + 0.062,-0.073 + 0.036,-0.057 + 0.042
6,balanced,0.1,equalized_odds,noisy,0.097 + 0.079,-0.171 + 0.113,-0.146 + 0.106
7,balanced,0.1,equalized_odds,fair_clean,0.027 + 0.064,-0.094 + 0.053,-0.090 + 0.061
8,balanced,0.1,equalized_odds,emp_clean,-0.012 + 0.046,-0.073 + 0.036,-0.057 + 0.042
9,balanced,0.3,accuracy,noisy,-0.011 + 0.008,-0.046 + 0.006,-0.042 + 0.005
10,balanced,0.3,accuracy,fair_clean,0.065 + 0.038,0.020 + 0.026,0.018 + 0.027
11,balanced,0.3,accuracy,emp_clean,0.047 + 0.005,0.038 + 0.008,0.044 + 0.004
12,balanced,0.3,Equal_Opportunity,noisy,-0.459 + 0.040,-0.357 + 0.077,-0.307 + 0.060
13,balanced,0.3,Equal_Opportunity,fair_clean,-0.091 + 0.136,-0.160 + 0.061,-0.191 + 0.074
14,balanced,0.3,Equal_Opportunity,emp_clean,-0.073 + 0.058,0.017 + 0.041,-0.051 + 0.024
15,balanced,0.3,equalized_odds,noisy,-0.458 + 0.043,-0.353 + 0.074,-0.307 + 0.060
16,balanced,0.3,equalized_odds,fair_clean,-0.089 + 0.131,-0.160 + 0.061,-0.191 + 0.074
17,balanced,0.3,equalized_odds,emp_clean,-0.073 + 0.058,0.017 + 0.041,-0.051 + 0.024
18,flip,0.1,accuracy,noisy,-0.040 + 0.005,-0.040 + 0.006,-0.041 + 0.006
19,flip,0.1,accuracy,fair_clean,-0.015 + 0.010,0.000 + 0.009,0.002 + 0.010
20,flip,0.1,accuracy,emp_clean,-0.012 + 0.004,-0.013 + 0.004,-0.013 + 0.004
21,flip,0.1,Equal_Opportunity,noisy,-0.100 + 0.013,-0.021 + 0.085,-0.024 + 0.071
22,flip,0.1,Equal_Opportunity,fair_clean,0.043 + 0.028,-0.000 + 0.047,0.000 + 0.031
23,flip,0.1,Equal_Opportunity,emp_clean,-0.036 + 0.011,-0.012 + 0.029,-0.027 + 0.025
24,flip,0.1,equalized_odds,noisy,-0.100 + 0.013,-0.019 + 0.079,-0.007 + 0.048
25,flip,0.1,equalized_odds,fair_clean,0.043 + 0.028,-0.000 + 0.047,0.026 + 0.027
26,flip,0.1,equalized_odds,emp_clean,-0.036 + 0.011,-0.014 + 0.027,-0.012 + 0.021
27,flip,0.3,accuracy,noisy,-0.117 + 0.008,-0.094 + 0.007,-0.119 + 0.009
28,flip,0.3,accuracy,fair_clean,0.010 + 0.006,0.088 + 0.012,0.050 + 0.007
29,flip,0.3,accuracy,emp_clean,0.055 + 0.007,0.002 + 0.007,0.052 + 0.009
30,flip,0.3,Equal_Opportunity,noisy,-0.255 + 0.018,-0.021 + 0.055,-0.033 + 0.125
31,flip,0.3,Equal_Opportunity,fair_clean,0.282 + 0.015,0.101 + 0.041,0.299 + 0.022
32,flip,0.3,Equal_Opportunity,emp_clean,0.125 + 0.019,0.016 + 0.011,0.121 + 0.024
33,flip,0.3,equalized_odds,noisy,-0.255 + 0.018,-0.021 + 0.054,0.013 + 0.060
34,flip,0.3,equalized_odds,fair_clean,0.282 + 0.015,0.101 + 0.041,0.289 + 0.014
35,flip,0.3,equalized_odds,emp_clean,0.125 + 0.019,0.016 + 0.011,0.112 + 0.020
