,noise,level,metric,eval_type,LR,Reduction,Reweight
0,bias,0.1,accuracy,noisy,-0.011693465323288344,-0.015444777312909119,-0.020044447048089265
1,bias,0.1,accuracy,fair_clean,0.03176346063594411,0.02734774958501668,0.023422700724492908
2,bias,0.1,accuracy,emp_clean,-0.0034753347831936177,-0.0072266467728143826,-0.011826316507994539
3,bias,0.1,Equal_Opportunity,noisy,-0.047316338722677986,-0.01686926487310127,0.007286207087282902
4,bias,0.1,Equal_Opportunity,fair_clean,-0.09826447198868156,0.01699207461330421,0.04755879319644545
5,bias,0.1,Equal_Opportunity,emp_clean,-0.025597052218046246,-0.02601942949813878,-0.002242912532633519
6,bias,0.1,equalized_odds,noisy,-0.01900484488596562,-0.011436551680858071,0.007664815653121042
7,bias,0.1,equalized_odds,fair_clean,0.08130396875422033,0.07396818039703688,0.09877930125976327
8,bias,0.1,equalized_odds,emp_clean,-0.020431894063939013,-0.01941136560808128,-0.00562173481272701
9,bias,0.3,accuracy,noisy,0.0031022210955084727,-0.02655049672700065,-0.04890503362847034
10,bias,0.3,accuracy,fair_clean,0.08975541964675988,0.04766310132930538,0.041438150211508804
11,bias,0.3,accuracy,emp_clean,0.05532926073972526,0.02309048421581872,0.0037921989818192393
12,bias,0.3,Equal_Opportunity,noisy,-0.10738948785750624,-0.08696253827555536,-0.11233748941441649
13,bias,0.3,Equal_Opportunity,fair_clean,-0.019884411750935544,-0.01147710825085253,-0.08132990115207239
14,bias,0.3,Equal_Opportunity,emp_clean,0.048449321606304926,0.00852636965711582,-0.014832376745488752
15,bias,0.3,equalized_odds,noisy,-0.00038335038382358855,-0.07771329348851654,-0.029380526828442378
16,bias,0.3,equalized_odds,fair_clean,0.002160086614361678,-0.01147710825085253,0.0335466140325028
17,bias,0.3,equalized_odds,emp_clean,0.02305668986906449,0.00852636965711582,-0.014832376745488752
18,flip,0.1,accuracy,noisy,-0.022993385608607274,-0.021705454365767707,-0.024322187388025072
19,flip,0.1,accuracy,fair_clean,0.011555389609767808,0.007098805410258946,0.01022658783035002
20,flip,0.1,accuracy,emp_clean,-0.008437906057121048,-0.007599725720856853,-0.009766707836538824
21,flip,0.1,Equal_Opportunity,noisy,0.07711890530197475,-0.027312771575187113,0.01935748099405239
22,flip,0.1,Equal_Opportunity,fair_clean,0.02174559606342802,-0.009679919726165309,0.0048731996146794175
23,flip,0.1,Equal_Opportunity,emp_clean,0.024772534336200407,-0.020940997903287597,-0.019839251497764398
24,flip,0.1,equalized_odds,noisy,0.07694973607028378,-0.02140121740414739,0.022409366181297918
25,flip,0.1,equalized_odds,fair_clean,0.05492371445055089,0.008623138147909649,0.03061358729073966
26,flip,0.1,equalized_odds,emp_clean,0.024603365104509427,-0.020382016247662327,0.00062760877771534
27,flip,0.3,accuracy,noisy,-0.07018115668393257,-0.06521348756334636,-0.07490352318015192
28,flip,0.3,accuracy,fair_clean,-0.037952708020705925,-0.037932411710987414,-0.0413053912305158
29,flip,0.3,accuracy,emp_clean,0.04907365933149821,0.04022179569254656,0.04431040714908201
30,flip,0.3,Equal_Opportunity,noisy,0.20352226023043932,-0.13968183328550046,0.02137254258990176
31,flip,0.3,Equal_Opportunity,fair_clean,0.13277018751529296,-0.08502339830879999,0.03871255766828374
32,flip,0.3,Equal_Opportunity,emp_clean,0.1550733864844073,0.13178023835209401,0.11616878217179998
33,flip,0.3,equalized_odds,noisy,0.2016573212569024,-0.13377726077913607,0.014511042099955657
34,flip,0.3,equalized_odds,fair_clean,0.14003631068119615,-0.08138785878423035,0.0325257095496626
35,flip,0.3,equalized_odds,emp_clean,0.15320844751087043,0.13178023835209401,0.13774803370370606
