,noise,level,metric,eval_type,LR,Reduction,Reweight
0,bias,0.1,accuracy,fair_clean,,,0.0029000000000000024
1,bias,0.1,accuracy,emp_clean,,,-0.015800000000000015
2,bias,0.1,accuracy,noisy,,,-0.015600000000000013
3,bias,0.1,Equal_Opportunity,fair_clean,,,-0.009989351918180577
4,bias,0.1,Equal_Opportunity,emp_clean,,,-0.0323268313271594
5,bias,0.1,Equal_Opportunity,noisy,,,-0.03225632006556395
6,bias,0.1,equalized_odds,fair_clean,,,-0.00687186899740814
7,bias,0.1,equalized_odds,emp_clean,,,-0.03112238985963109
8,bias,0.1,equalized_odds,noisy,,,-0.03132386389886545
9,bias,0.3,accuracy,fair_clean,,,0.009300000000000008
10,bias,0.3,accuracy,emp_clean,,,-0.011900000000000011
11,bias,0.3,accuracy,noisy,,,-0.012200000000000011
12,bias,0.3,Equal_Opportunity,fair_clean,,,-0.003724993093798925
13,bias,0.3,Equal_Opportunity,emp_clean,,,-0.08839138496041492
14,bias,0.3,Equal_Opportunity,noisy,,,-0.08944443578115467
15,bias,0.3,equalized_odds,fair_clean,,,-0.003724993093798925
16,bias,0.3,equalized_odds,emp_clean,,,-0.06322467258088679
17,bias,0.3,equalized_odds,noisy,,,-0.06323976050013777
18,balanced,0.3,accuracy,fair_clean,,,0.008700000000000008
19,balanced,0.3,accuracy,emp_clean,,,-0.044800000000000006
20,balanced,0.3,accuracy,noisy,,,-0.03890000000000001
21,balanced,0.3,Equal_Opportunity,fair_clean,,,-0.005505379713595928
22,balanced,0.3,Equal_Opportunity,emp_clean,,,0.00031321371434487184
23,balanced,0.3,Equal_Opportunity,noisy,,,-0.09094989515803352
24,balanced,0.3,equalized_odds,fair_clean,,,-0.0001794685011505287
25,balanced,0.3,equalized_odds,emp_clean,,,0.14066453163532064
26,balanced,0.3,equalized_odds,noisy,,,-0.07958613194154061
27,flip,0.1,accuracy,fair_clean,,,0.00030000000000000024
28,flip,0.1,accuracy,emp_clean,,,-0.07350000000000005
29,flip,0.1,accuracy,noisy,,,-0.014800000000000002
30,flip,0.1,Equal_Opportunity,fair_clean,,,-0.011706933072413852
31,flip,0.1,Equal_Opportunity,emp_clean,,,0.24265924466848104
32,flip,0.1,Equal_Opportunity,noisy,,,0.047190438083805214
33,flip,0.1,equalized_odds,fair_clean,,,-0.007169670826863564
34,flip,0.1,equalized_odds,emp_clean,,,0.23061822657807665
35,flip,0.1,equalized_odds,noisy,,,0.04956779379287888
36,flip,0.3,accuracy,fair_clean,,,0.0040999999999999925
37,flip,0.3,accuracy,emp_clean,,,-0.05380000000000005
38,flip,0.3,accuracy,noisy,,,-0.027900000000000025
39,flip,0.3,Equal_Opportunity,fair_clean,,,-0.007751006230510793
40,flip,0.3,Equal_Opportunity,emp_clean,,,0.15324571615298144
41,flip,0.3,Equal_Opportunity,noisy,,,0.08856143813810016
42,flip,0.3,equalized_odds,fair_clean,,,-0.007299355097155591
43,flip,0.3,equalized_odds,emp_clean,,,0.20709762599635848
44,flip,0.3,equalized_odds,noisy,,,0.08945059570333855
