,metric,model,ground,noisy,fair_clean,emp_clean
81,accuracy,LR_noisy,0.8217496580791023,0.7045544033301171,0.8313317224892295,0.8768768873543206
82,accuracy,Reweight_noisy,0.8359384323615211,0.7165933947596521,0.8862441054949498,0.8881788157655521
83,accuracy,Reduction_noisy,0.7823773629883547,0.6879700139333237,0.8700895595123412,0.7848035303285534
84,accuracy,LR_fair,0.8181713561785633,0.7086767844892047,0.8838618279458252,0.8485271762545005
85,accuracy,Reweight_fair,0.8166195949310859,0.7064138253923816,0.8805966506263841,0.8480099125793421
86,accuracy,Reduction_fair,0.8120454413438755,0.7051693284160198,0.8863674429843652,0.8458603629874416
87,accuracy,LR_emp,0.8184636483204951,0.7093148125866118,0.8831730363028336,0.8509257560167139
88,accuracy,Reweight_emp,0.8166209247668412,0.7067964510760795,0.8797025674808143,0.8500658051567631
89,accuracy,Reduction_emp,0.8123676164511288,0.7056141789485357,0.8858297833658595,0.8473787698994946
90,Equal_Opportunity,LR_noisy,0.6755522706325344,0.4202259330666537,0.9574769487571595,0.8010024509062574
91,Equal_Opportunity,Reweight_noisy,0.13411262243154864,0.10091568780664757,0.43265785959555886,0.2551387206225258
92,Equal_Opportunity,Reduction_noisy,0.05446859711493336,0.033187710023519765,0.15585377747736776,0.07087530319712829
93,Equal_Opportunity,LR_fair,0.23074065461983795,0.2586373814680139,0.30386540768496784,0.2733206034291232
94,Equal_Opportunity,Reweight_fair,0.09272913390183017,0.24389167255038965,0.16887774887599652,0.11838620931228057
95,Equal_Opportunity,Reduction_fair,0.1422874638726326,0.3050739725702385,0.10685844825060416,0.08846549512603274
96,Equal_Opportunity,LR_emp,0.22264306078822563,0.2528483695374703,0.3064896776233001,0.2715533576128467
97,Equal_Opportunity,Reweight_emp,0.08965323830735912,0.24383994606572731,0.1738159178838096,0.11936568320184623
98,Equal_Opportunity,Reduction_emp,0.14118469035528908,0.30537222199367464,0.10833508228968684,0.08483635356212012
99,equalized_odds,LR_noisy,0.6755522706325344,0.4202259330666537,0.9574769487571595,0.8010024509062574
100,equalized_odds,Reweight_noisy,0.14361823903177817,0.15677846999621597,0.43265785959555886,0.2551387206225258
101,equalized_odds,Reduction_noisy,0.0547545663591487,0.034105644783117214,0.15585377747736776,0.07087530319712829
102,equalized_odds,LR_fair,0.23344354245031407,0.2982644928822847,0.30386540768496784,0.2733206034291232
103,equalized_odds,Reweight_fair,0.10573910063242473,0.24445890332432157,0.1691438516847421,0.11846744235102467
104,equalized_odds,Reduction_fair,0.14674162134839708,0.3050739725702385,0.10864137057107517,0.09359363225189393
105,equalized_odds,LR_emp,0.22692764809801402,0.29163651850506955,0.3064896776233001,0.2715533576128467
106,equalized_odds,Reweight_emp,0.10379495686842848,0.24437881530096264,0.1740687155521179,0.11944285458865314
107,equalized_odds,Reduction_emp,0.14541613995726532,0.30537222199367464,0.11002885849413431,0.08970808383168824
