,noise,level,metric,model,ground
0,balanced,0.1,accuracy,LR_noisy,0.747543043475106 + 0.0031347665991310835 
1,balanced,0.1,accuracy,Reweight_noisy,0.7494800415816283 + 0.004400170723290983 
2,balanced,0.1,accuracy,Reduction_noisy,0.7461529163007967 + 0.0028359707408121726 
3,balanced,0.1,accuracy,FR_fair,0.7222548876731267 + 0.0031680239937323176
4,balanced,0.1,accuracy,FR_emp,nan + nan
5,balanced,0.1,accuracy,LR_fair,0.7413359340163933 + 0.005940134671941915
6,balanced,0.1,accuracy,Reweight_fair,0.7418254872052248 + 0.006274748044588329
7,balanced,0.1,accuracy,Reduction_fair,0.7238651681151155 + 0.02460426494933959
8,balanced,0.1,accuracy,FR_fair,0.7222548876731267 + 0.0031680239937323176
9,balanced,0.1,accuracy,FR_emp,nan + nan
10,balanced,0.1,accuracy,LR_emp,0.7419748513092361 +  0.0064492162529545165
11,balanced,0.1,accuracy,Reweight_emp,0.7423223759851046 +  0.006499092038009884
12,balanced,0.1,accuracy,Reduction_emp,0.7254134000497461 +  0.024928873318268423
13,balanced,0.1,accuracy,FR_fair,0.7222548876731267 + 0.0031680239937323176
14,balanced,0.1,accuracy,FR_emp,nan + nan
15,balanced,0.1,Equal_Opportunity,LR_noisy,0.188601760471022 + 0.010396568816404259 
16,balanced,0.1,Equal_Opportunity,Reweight_noisy,0.049471361068739124 + 0.0349893034611564 
17,balanced,0.1,Equal_Opportunity,Reduction_noisy,0.05446279052101562 + 0.007500047254700599 
18,balanced,0.1,Equal_Opportunity,FR_fair,0.029784141734322995 + 0.009546735641280023
19,balanced,0.1,Equal_Opportunity,FR_emp,nan + nan
20,balanced,0.1,Equal_Opportunity,LR_fair,0.10939408503113375 + 0.07434113369729228
21,balanced,0.1,Equal_Opportunity,Reweight_fair,0.04477593372218197 + 0.01872519256354022
22,balanced,0.1,Equal_Opportunity,Reduction_fair,0.04714554221611953 + 0.014190452834274728
23,balanced,0.1,Equal_Opportunity,FR_fair,0.029784141734322995 + 0.009546735641280023
24,balanced,0.1,Equal_Opportunity,FR_emp,nan + nan
25,balanced,0.1,Equal_Opportunity,LR_emp,0.11329314909084524 +  0.07442972703904752
26,balanced,0.1,Equal_Opportunity,Reweight_emp,0.04390129835520769 +  0.018640767613672043
27,balanced,0.1,Equal_Opportunity,Reduction_emp,0.04659634795238475 +  0.014028644715448341
28,balanced,0.1,Equal_Opportunity,FR_fair,0.029784141734322995 + 0.009546735641280023
29,balanced,0.1,Equal_Opportunity,FR_emp,nan + nan
30,balanced,0.1,equalized_odds,LR_noisy,0.19016724871254997 + 0.007220100750424879 
31,balanced,0.1,equalized_odds,Reweight_noisy,0.05030132889684965 + 0.03425860149967906 
32,balanced,0.1,equalized_odds,Reduction_noisy,0.05484450639007662 + 0.0068717961914987365 
33,balanced,0.1,equalized_odds,FR_fair,0.06455414492285395 + 0.010616577494502472
34,balanced,0.1,equalized_odds,FR_emp,nan + nan
35,balanced,0.1,equalized_odds,LR_fair,0.1161894124855351 + 0.06948714540552713
36,balanced,0.1,equalized_odds,Reweight_fair,0.05085303595672571 + 0.017760227780324076
37,balanced,0.1,equalized_odds,Reduction_fair,0.050143818984247045 + 0.009358149890334806
38,balanced,0.1,equalized_odds,FR_fair,0.06455414492285395 + 0.010616577494502472
39,balanced,0.1,equalized_odds,FR_emp,nan + nan
40,balanced,0.1,equalized_odds,LR_emp,0.11974871017252653 +  0.06948169345734785
41,balanced,0.1,equalized_odds,Reweight_emp,0.04967454547802424 +  0.018072109307686074
42,balanced,0.1,equalized_odds,Reduction_emp,0.04944471088210588 +  0.009630202657543224
43,balanced,0.1,equalized_odds,FR_fair,0.06455414492285395 + 0.010616577494502472
44,balanced,0.1,equalized_odds,FR_emp,nan + nan
