,noise,level,metric,model,ground
0,flip,0.1,accuracy,LR_noisy,0.745 + 0.003 
1,flip,0.1,accuracy,Reweight_noisy,0.745 + 0.003 
2,flip,0.1,accuracy,Reduction_noisy,0.708 + 0.014 
3,flip,0.1,accuracy,FR_fair,0.731 + 0.012
4,flip,0.1,accuracy,FR_emp,0.745 + 0.003
5,flip,0.1,accuracy,LR_fair,0.747 + 0.007
6,flip,0.1,accuracy,Reweight_fair,0.742 + 0.005
7,flip,0.1,accuracy,Reduction_fair,0.731 + 0.024
8,flip,0.1,accuracy,FR_fair,0.731 + 0.012
9,flip,0.1,accuracy,FR_emp,0.745 + 0.003
10,flip,0.1,accuracy,LR_emp,0.747 +  0.007
11,flip,0.1,accuracy,Reweight_emp,0.743 +  0.005
12,flip,0.1,accuracy,Reduction_emp,0.732 +  0.024
13,flip,0.1,accuracy,FR_fair,0.731 + 0.012
14,flip,0.1,accuracy,FR_emp,0.745 + 0.003
15,flip,0.1,Equal_Opportunity,LR_noisy,0.018 + 0.007 
16,flip,0.1,Equal_Opportunity,Reweight_noisy,0.028 + 0.011 
17,flip,0.1,Equal_Opportunity,Reduction_noisy,0.050 + 0.014 
18,flip,0.1,Equal_Opportunity,FR_fair,0.045 + 0.019
19,flip,0.1,Equal_Opportunity,FR_emp,0.017 + 0.007
20,flip,0.1,Equal_Opportunity,LR_fair,0.070 + 0.065
21,flip,0.1,Equal_Opportunity,Reweight_fair,0.038 + 0.020
22,flip,0.1,Equal_Opportunity,Reduction_fair,0.013 + 0.009
23,flip,0.1,Equal_Opportunity,FR_fair,0.045 + 0.019
24,flip,0.1,Equal_Opportunity,FR_emp,0.017 + 0.007
25,flip,0.1,Equal_Opportunity,LR_emp,0.073 +  0.065
26,flip,0.1,Equal_Opportunity,Reweight_emp,0.038 +  0.020
27,flip,0.1,Equal_Opportunity,Reduction_emp,0.013 +  0.009
28,flip,0.1,Equal_Opportunity,FR_fair,0.045 + 0.019
29,flip,0.1,Equal_Opportunity,FR_emp,0.017 + 0.007
30,flip,0.1,equalized_odds,LR_noisy,0.019 + 0.007 
31,flip,0.1,equalized_odds,Reweight_noisy,0.028 + 0.011 
32,flip,0.1,equalized_odds,Reduction_noisy,0.050 + 0.014 
33,flip,0.1,equalized_odds,FR_fair,0.060 + 0.008
34,flip,0.1,equalized_odds,FR_emp,0.021 + 0.004
35,flip,0.1,equalized_odds,LR_fair,0.072 + 0.063
36,flip,0.1,equalized_odds,Reweight_fair,0.040 + 0.019
37,flip,0.1,equalized_odds,Reduction_fair,0.025 + 0.015
38,flip,0.1,equalized_odds,FR_fair,0.060 + 0.008
39,flip,0.1,equalized_odds,FR_emp,0.021 + 0.004
40,flip,0.1,equalized_odds,LR_emp,0.075 +  0.063
41,flip,0.1,equalized_odds,Reweight_emp,0.040 +  0.019
42,flip,0.1,equalized_odds,Reduction_emp,0.024 +  0.015
43,flip,0.1,equalized_odds,FR_fair,0.060 + 0.008
44,flip,0.1,equalized_odds,FR_emp,0.021 + 0.004
