,noise,level,metric,model,ground
0,balanced,0.1,accuracy,LR_noisy,0.7968 + 0.01025020325001738 
1,balanced,0.1,accuracy,Reweight_noisy,0.7958000000000001 + 0.009863513009515882 
2,balanced,0.1,accuracy,Reduction_noisy,0.7942 + 0.00981835016690687 
3,balanced,0.1,accuracy,FR_fair,0.7929999999999999 + 0.0128668393770792
4,balanced,0.1,accuracy,FR_emp,0.7933000000000001 + 0.011576316819745016
5,balanced,0.1,accuracy,LR_fair,0.6447368421052632 + 0.16661093805138538
6,balanced,0.1,accuracy,Reweight_fair,0.6473157894736844 + 0.16002432198178812
7,balanced,0.1,accuracy,Reduction_fair,0.6428947368421053 + 0.16359261554131693
8,balanced,0.1,accuracy,FR_fair,0.7929999999999999 + 0.0128668393770792
9,balanced,0.1,accuracy,FR_emp,0.7933000000000001 + 0.011576316819745016
10,balanced,0.1,accuracy,LR_emp,0.6353500000000001 +  0.16751253684426132
11,balanced,0.1,accuracy,Reweight_emp,0.6379500000000002 +  0.16128969523647096
12,balanced,0.1,accuracy,Reduction_emp,0.63415 +  0.1639615728407759
13,balanced,0.1,accuracy,FR_fair,0.7929999999999999 + 0.0128668393770792
14,balanced,0.1,accuracy,FR_emp,0.7933000000000001 + 0.011576316819745016
15,balanced,0.1,Equal_Opportunity,LR_noisy,0.040905377925334094 + 0.028517531000771125 
16,balanced,0.1,Equal_Opportunity,Reweight_noisy,0.0536462606588348 + 0.04066335114340974 
17,balanced,0.1,Equal_Opportunity,Reduction_noisy,0.047269852542216405 + 0.03286517536003395 
18,balanced,0.1,Equal_Opportunity,FR_fair,0.039686786072961264 + 0.028314327747043705
19,balanced,0.1,Equal_Opportunity,FR_emp,0.11393624551902086 + 0.04232814698492518
20,balanced,0.1,Equal_Opportunity,LR_fair,0.11970414780994237 + 0.06583651198880253
21,balanced,0.1,Equal_Opportunity,Reweight_fair,0.2013794348851488 + 0.1912761400494629
22,balanced,0.1,Equal_Opportunity,Reduction_fair,0.03777787142055559 + 0.028439272191991057
23,balanced,0.1,Equal_Opportunity,FR_fair,0.039686786072961264 + 0.028314327747043705
24,balanced,0.1,Equal_Opportunity,FR_emp,0.11393624551902086 + 0.04232814698492518
25,balanced,0.1,Equal_Opportunity,LR_emp,0.11614893138602159 +  0.06602354757256942
26,balanced,0.1,Equal_Opportunity,Reweight_emp,0.21204217045796456 +  0.1921843693874783
27,balanced,0.1,Equal_Opportunity,Reduction_emp,0.03635871588024145 +  0.02839901831204775
28,balanced,0.1,Equal_Opportunity,FR_fair,0.039686786072961264 + 0.028314327747043705
29,balanced,0.1,Equal_Opportunity,FR_emp,0.11393624551902086 + 0.04232814698492518
30,balanced,0.1,equalized_odds,LR_noisy,0.22565960592690004 + 0.03411267525599099 
31,balanced,0.1,equalized_odds,Reweight_noisy,0.10604709967420474 + 0.03778129433843373 
32,balanced,0.1,equalized_odds,Reduction_noisy,0.08255362297488525 + 0.03929288143599505 
33,balanced,0.1,equalized_odds,FR_fair,0.053530188296792236 + 0.02599188019344829
34,balanced,0.1,equalized_odds,FR_emp,0.14894282596293887 + 0.01483627594808424
35,balanced,0.1,equalized_odds,LR_fair,0.13567274909061777 + 0.0489668948253221
36,balanced,0.1,equalized_odds,Reweight_fair,0.21812351236275354 + 0.1931789462818759
37,balanced,0.1,equalized_odds,Reduction_fair,0.061885803207679155 + 0.02625791230596249
38,balanced,0.1,equalized_odds,FR_fair,0.053530188296792236 + 0.02599188019344829
39,balanced,0.1,equalized_odds,FR_emp,0.14894282596293887 + 0.01483627594808424
40,balanced,0.1,equalized_odds,LR_emp,0.1349951402998008 +  0.047757116083091654
41,balanced,0.1,equalized_odds,Reweight_emp,0.22794904406168906 +  0.19309276512949677
42,balanced,0.1,equalized_odds,Reduction_emp,0.0624972941431697 +  0.025703464131071392
43,balanced,0.1,equalized_odds,FR_fair,0.053530188296792236 + 0.02599188019344829
44,balanced,0.1,equalized_odds,FR_emp,0.14894282596293887 + 0.01483627594808424
