,noise,level,metric,model,ground
0,bias,0.3,accuracy,LR_noisy,0.7905000000000001 + 0.006450667493454548 
1,bias,0.3,accuracy,Reweight_noisy,0.7877000000000001 + 0.009117138927438935 
2,bias,0.3,accuracy,Reduction_noisy,0.7638 + 0.009975525605756886 
3,bias,0.3,accuracy,FR_fair,0.7879 + 0.014325191486019007
4,bias,0.3,accuracy,FR_emp,0.7674000000000001 + 0.01591784463354817
5,bias,0.3,accuracy,LR_fair,0.776157894736842 + 0.029122849291873785
6,bias,0.3,accuracy,Reweight_fair,0.7717368421052632 + 0.02860621941944942
7,bias,0.3,accuracy,Reduction_fair,0.779578947368421 + 0.020766735659258562
8,bias,0.3,accuracy,FR_fair,0.7879 + 0.014325191486019007
9,bias,0.3,accuracy,FR_emp,0.7674000000000001 + 0.01591784463354817
10,bias,0.3,accuracy,LR_emp,0.775 +  0.028815200666899486
11,bias,0.3,accuracy,Reweight_emp,0.7708 +  0.028156704352604922
12,bias,0.3,accuracy,Reduction_emp,0.7788999999999999 +  0.020439641566534914
13,bias,0.3,accuracy,FR_fair,0.7879 + 0.014325191486019007
14,bias,0.3,accuracy,FR_emp,0.7674000000000001 + 0.01591784463354817
15,bias,0.3,Equal_Opportunity,LR_noisy,0.029758538128026868 + 0.013632089111121501 
16,bias,0.3,Equal_Opportunity,Reweight_noisy,0.07365580167000448 + 0.02514157015939153 
17,bias,0.3,Equal_Opportunity,Reduction_noisy,0.10978362036265137 + 0.024885347742480947 
18,bias,0.3,Equal_Opportunity,FR_fair,0.034487264416830074 + 0.02610884793083033
19,bias,0.3,Equal_Opportunity,FR_emp,0.1808752648680572 + 0.05536892406535747
20,bias,0.3,Equal_Opportunity,LR_fair,0.1442360187478546 + 0.05527460802288762
21,bias,0.3,Equal_Opportunity,Reweight_fair,0.08268360832504047 + 0.046878977133729974
22,bias,0.3,Equal_Opportunity,Reduction_fair,0.07586301355245141 + 0.04708194898368724
23,bias,0.3,Equal_Opportunity,FR_fair,0.034487264416830074 + 0.02610884793083033
24,bias,0.3,Equal_Opportunity,FR_emp,0.1808752648680572 + 0.05536892406535747
25,bias,0.3,Equal_Opportunity,LR_emp,0.1420197010986281 +  0.05470575142859316
26,bias,0.3,Equal_Opportunity,Reweight_emp,0.082235064765157 +  0.04567271767202922
27,bias,0.3,Equal_Opportunity,Reduction_emp,0.0760536027122272 +  0.04583412987606199
28,bias,0.3,Equal_Opportunity,FR_fair,0.034487264416830074 + 0.02610884793083033
29,bias,0.3,Equal_Opportunity,FR_emp,0.1808752648680572 + 0.05536892406535747
30,bias,0.3,equalized_odds,LR_noisy,0.37685210914359074 + 0.034179117694745 
31,bias,0.3,equalized_odds,Reweight_noisy,0.29504761480502645 + 0.033934775857329014 
32,bias,0.3,equalized_odds,Reduction_noisy,0.10978362036265137 + 0.024885347742480947 
33,bias,0.3,equalized_odds,FR_fair,0.048981824203191374 + 0.026941130452619245
34,bias,0.3,equalized_odds,FR_emp,0.2254372159727379 + 0.046171989513470284
35,bias,0.3,equalized_odds,LR_fair,0.17735697609965115 + 0.05921286887737238
36,bias,0.3,equalized_odds,Reweight_fair,0.08936795374664575 + 0.04093455965311928
37,bias,0.3,equalized_odds,Reduction_fair,0.0836471128919663 + 0.041128176104365276
38,bias,0.3,equalized_odds,FR_fair,0.048981824203191374 + 0.026941130452619245
39,bias,0.3,equalized_odds,FR_emp,0.2254372159727379 + 0.046171989513470284
40,bias,0.3,equalized_odds,LR_emp,0.18023119255200376 +  0.05904956651834759
41,bias,0.3,equalized_odds,Reweight_emp,0.08858519291568202 +  0.03999626209438541
42,bias,0.3,equalized_odds,Reduction_emp,0.08344849708476636 +  0.04004108021103272
43,bias,0.3,equalized_odds,FR_fair,0.048981824203191374 + 0.026941130452619245
44,bias,0.3,equalized_odds,FR_emp,0.2254372159727379 + 0.046171989513470284
