,noise,level,metric,model,ground
0,flip,0.1,accuracy,LR_noisy,0.7975000000000001 + 0.010157099323461717 
1,flip,0.1,accuracy,Reweight_noisy,0.7985000000000001 + 0.011345581616744998 
2,flip,0.1,accuracy,Reduction_noisy,0.7981 + 0.01104988687724901 
3,flip,0.1,accuracy,FR_fair,0.7942000000000001 + 0.012044362443345306
4,flip,0.1,accuracy,FR_emp,0.7958000000000001 + 0.011820885471627456
5,flip,0.1,accuracy,LR_fair,0.7794210526315789 + 0.02309236475421087
6,flip,0.1,accuracy,Reweight_fair,0.7788947368421053 + 0.019821129962301755
7,flip,0.1,accuracy,Reduction_fair,0.7480000000000001 + 0.050650216627813605
8,flip,0.1,accuracy,FR_fair,0.7942000000000001 + 0.012044362443345306
9,flip,0.1,accuracy,FR_emp,0.7958000000000001 + 0.011820885471627456
10,flip,0.1,accuracy,LR_emp,0.7784 +  0.022935607802348684
11,flip,0.1,accuracy,Reweight_emp,0.7783500000000001 +  0.019445673311210287
12,flip,0.1,accuracy,Reduction_emp,0.7460000000000001 +  0.050104102153731685
13,flip,0.1,accuracy,FR_fair,0.7942000000000001 + 0.012044362443345306
14,flip,0.1,accuracy,FR_emp,0.7958000000000001 + 0.011820885471627456
15,flip,0.1,Equal_Opportunity,LR_noisy,0.05026882372773413 + 0.04485942140124953 
16,flip,0.1,Equal_Opportunity,Reweight_noisy,0.06088514352301603 + 0.04606939225201278 
17,flip,0.1,Equal_Opportunity,Reduction_noisy,0.058049269850903876 + 0.04478111099265663 
18,flip,0.1,Equal_Opportunity,FR_fair,0.03802325858866352 + 0.030646274771670853
19,flip,0.1,Equal_Opportunity,FR_emp,0.07025280979663831 + 0.04905759244446905
20,flip,0.1,Equal_Opportunity,LR_fair,0.12362045653854069 + 0.041187654350610586
21,flip,0.1,Equal_Opportunity,Reweight_fair,0.040223604580492484 + 0.02966658743318653
22,flip,0.1,Equal_Opportunity,Reduction_fair,0.061062201547447896 + 0.03483490403780251
23,flip,0.1,Equal_Opportunity,FR_fair,0.03802325858866352 + 0.030646274771670853
24,flip,0.1,Equal_Opportunity,FR_emp,0.07025280979663831 + 0.04905759244446905
25,flip,0.1,Equal_Opportunity,LR_emp,0.1246210055273318 +  0.040338064185414406
26,flip,0.1,Equal_Opportunity,Reweight_emp,0.03909769987088972 +  0.02931106016910087
27,flip,0.1,Equal_Opportunity,Reduction_emp,0.06276067231921732 +  0.03474621890340489
28,flip,0.1,Equal_Opportunity,FR_fair,0.03802325858866352 + 0.030646274771670853
29,flip,0.1,Equal_Opportunity,FR_emp,0.07025280979663831 + 0.04905759244446905
30,flip,0.1,equalized_odds,LR_noisy,0.08160950011476815 + 0.027490008301705844 
31,flip,0.1,equalized_odds,Reweight_noisy,0.09137189871504922 + 0.0317809730146247 
32,flip,0.1,equalized_odds,Reduction_noisy,0.08854848973279927 + 0.02958299019755476 
33,flip,0.1,equalized_odds,FR_fair,0.05456125676634267 + 0.028828081797185913
34,flip,0.1,equalized_odds,FR_emp,0.09231539472180798 + 0.037763288858821714
35,flip,0.1,equalized_odds,LR_fair,0.48428508462893316 + 0.3786409082391462
36,flip,0.1,equalized_odds,Reweight_fair,0.37662949622800457 + 0.3412161829345789
37,flip,0.1,equalized_odds,Reduction_fair,0.18379010125186176 + 0.14811936815255589
38,flip,0.1,equalized_odds,FR_fair,0.05456125676634267 + 0.028828081797185913
39,flip,0.1,equalized_odds,FR_emp,0.09231539472180798 + 0.037763288858821714
40,flip,0.1,equalized_odds,LR_emp,0.5044512338556998 +  0.379416229671233
41,flip,0.1,equalized_odds,Reweight_emp,0.3934535926600525 +  0.3405314566830434
42,flip,0.1,equalized_odds,Reduction_emp,0.19393216302291466 +  0.15113528071203508
43,flip,0.1,equalized_odds,FR_fair,0.05456125676634267 + 0.028828081797185913
44,flip,0.1,equalized_odds,FR_emp,0.09231539472180798 + 0.037763288858821714
